goalCode	goalDescription	targetCode	targetDescription	indicatorCode	indicatorDescription	seriesCode	seriesDescription	seriesRelease	TAGS
1	End poverty in all its forms everywhere	1.3	Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable	1.3.1	Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable	SI_COV_SOCAST	Proportion of population covered by social assistance programs (%)	2017.Q2.G.01	poverty, standard of living, basic needs, social welfare
1	End poverty in all its forms everywhere	1.3	Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable	1.3.1	Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable	SI_COV_SOCAST	Proportion of population covered by social assistance programs (%)	2018.Q1.G.01	poverty, standard of living, basic needs, social welfare
1	End poverty in all its forms everywhere	1.3	Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable	1.3.1	Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable	SI_COV_SOCAST	Proportion of population covered by social assistance programs (%)	2018.Q2.G.01	poverty, standard of living, basic needs, social welfare
1	End poverty in all its forms everywhere	1.3	Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable	1.3.1	Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable	SI_COV_SOCASTPQ	Poorest quintile covered by social assistance programs (%)	2017.Q2.G.01	poverty, standard of living, basic needs, social welfare
1	End poverty in all its forms everywhere	1.3	Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable	1.3.1	Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable	SI_COV_SOCASTPQ	Poorest quintile covered by social assistance programs (%)	2018.Q1.G.01	poverty, standard of living, basic needs, social welfare
1	End poverty in all its forms everywhere	1.3	Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable	1.3.1	Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable	SI_COV_SOCASTPQ	Poorest quintile covered by social assistance programs (%)	2018.Q2.G.01	poverty, standard of living, basic needs, social welfare
1	End poverty in all its forms everywhere	1.3	Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable	1.3.1	Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable	SI_COV_SOCINS	Proportion of population covered by social insurance programs (%)	2017.Q2.G.01	poverty, standard of living, basic needs, social welfare, insurance
1	End poverty in all its forms everywhere	1.3	Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable	1.3.1	Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable	SI_COV_SOCINS	Proportion of population covered by social insurance programs (%)	2018.Q1.G.01	poverty, standard of living, basic needs, social welfare, insurance
1	End poverty in all its forms everywhere	1.3	Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable	1.3.1	Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable	SI_COV_SOCINS	Proportion of population covered by social insurance programs (%)	2018.Q2.G.01	poverty, standard of living, basic needs, social welfare, insurance
1	End poverty in all its forms everywhere	1.3	Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable	1.3.1	Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable	SI_COV_SOCINSPQ	Poorest quintile covered by social insurance programs (%)	2017.Q2.G.01	poverty, standard of living, basic needs, social welfare, insurance
1	End poverty in all its forms everywhere	1.3	Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable	1.3.1	Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable	SI_COV_SOCINSPQ	Poorest quintile covered by social insurance programs (%)	2018.Q1.G.01	poverty, standard of living, basic needs, social welfare, insurance
1	End poverty in all its forms everywhere	1.3	Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable	1.3.1	Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable	SI_COV_SOCINSPQ	Poorest quintile covered by social insurance programs (%)	2018.Q2.G.01	poverty, standard of living, basic needs, social welfare, insurance
1	End poverty in all its forms everywhere	1.3	Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable	1.3.1	Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable	SI_COV_UEMP	Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)	2017.Q2.G.01	poverty, standard of living, basic needs, social welfare, unemployment insurance, unemployment, insurance
1	End poverty in all its forms everywhere	1.3	Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable	1.3.1	Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable	SI_COV_UEMP	Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)	2018.Q1.G.01	poverty, standard of living, basic needs, social welfare, unemployment insurance, unemployment, insurance
1	End poverty in all its forms everywhere	1.3	Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable	1.3.1	Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable	SI_COV_UEMP	Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)	2018.Q2.G.01	poverty, standard of living, basic needs, social welfare, unemployment insurance, unemployment, insurance
1	End poverty in all its forms everywhere	1.3	Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable	1.3.1	Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable	SI_COV_VULN	Proportion of vulnerable population receiving social assistance cash benefit (%)	2017.Q2.G.01	poverty, standard of living, basic needs, social welfare
1	End poverty in all its forms everywhere	1.3	Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable	1.3.1	Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable	SI_COV_VULN	Proportion of vulnerable population receiving social assistance cash benefit (%)	2018.Q1.G.01	poverty, standard of living, basic needs, social welfare
1	End poverty in all its forms everywhere	1.3	Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable	1.3.1	Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable	SI_COV_VULN	Proportion of vulnerable population receiving social assistance cash benefit (%)	2018.Q2.G.01	poverty, standard of living, basic needs, social welfare
1	End poverty in all its forms everywhere	1.3	Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable	1.3.1	Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable	SI_COV_WKINJRY	Proportion of employed population covered in the event of work injury (%)	2017.Q2.G.01	poverty, standard of living, basic needs, social welfare, occupational safety, occupational accidents, insurance
1	End poverty in all its forms everywhere	1.3	Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable	1.3.1	Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable	SI_COV_WKINJRY	Proportion of employed population covered in the event of work injury (%)	2018.Q1.G.01	poverty, standard of living, basic needs, social welfare, occupational safety, occupational accidents, insurance
1	End poverty in all its forms everywhere	1.3	Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable	1.3.1	Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable	SI_COV_WKINJRY	Proportion of employed population covered in the event of work injury (%)	2018.Q2.G.01	poverty, standard of living, basic needs, social welfare, occupational safety, occupational accidents, insurance
1	End poverty in all its forms everywhere	1.5	By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters	1.5.1	Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population	VC_DSR_AFFCT	Number of people affected by disaster (number)	2017.Q2.G.01	disaster loss, disaster prevention, preparedness and relief, disaster victims
1	End poverty in all its forms everywhere	1.5	By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters	1.5.1	Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population	VC_DSR_AFFCT	Number of people affected by disaster (number)	2018.Q1.G.01	disaster loss, disaster prevention, preparedness and relief, disaster victims
1	End poverty in all its forms everywhere	1.5	By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters	1.5.1	Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population	VC_DSR_AFFCT	Number of people affected by disaster (number)	2018.Q2.G.01	disaster loss, disaster prevention, preparedness and relief, disaster victims
1	End poverty in all its forms everywhere	1.5	By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters	1.5.1	Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population	VC_DSR_DADN	Number damaged dwellings attributed to disasters (number)	2018.Q2.G.01	disaster loss, disaster prevention, preparedness and relief
1	End poverty in all its forms everywhere	1.5	By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters	1.5.1	Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population	VC_DSR_DAFF	Number of directly affected persons attributed to disasters per 100,000 population (number)	2018.Q2.G.01	disaster loss, disaster prevention, preparedness and relief, disaster victims
1	End poverty in all its forms everywhere	1.5	By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters	1.5.1	Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population	VC_DSR_DDHN	Number damaged dwellings attributed to disasters, by hazard type (number)	2018.Q2.G.01	disaster loss, disaster prevention, preparedness and relief
1	End poverty in all its forms everywhere	1.5	By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters	1.5.1	Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population	VC_DSR_DYDN	Number destroyed dwellings attributed to disasters (number)	2018.Q2.G.01	disaster loss, disaster prevention, preparedness and relief
1	End poverty in all its forms everywhere	1.5	By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters	1.5.1	Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population	VC_DSR_DYHN	Number destroyed dwellings attributed to disasters, by hazard type (number)	2018.Q2.G.01	disaster loss, disaster prevention, preparedness and relief
1	End poverty in all its forms everywhere	1.5	By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters	1.5.1	Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population	VC_DSR_IJILN	Number of injured or ill people attributed to disasters (number)	2018.Q2.G.01	disaster loss, disaster prevention, preparedness and relief, disaster victims
1	End poverty in all its forms everywhere	1.5	By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters	1.5.1	Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population	VC_DSR_MISS	Number of missing persons due to disaster (number)	2017.Q2.G.01	disaster loss, disaster prevention, preparedness and relief, disaster victims
1	End poverty in all its forms everywhere	1.5	By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters	1.5.1	Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population	VC_DSR_MISS	Number of missing persons due to disaster (number)	2018.Q1.G.01	disaster loss, disaster prevention, preparedness and relief, disaster victims
