"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Sex_Code","Sex_Desc","Value_2007","Value_2011","Value_2012","Value_2015","Value_2016","Latest_Year","Latest_Value","Nature_Desc","Source"
"4","Afghanistan","AFG","66.02688198","33.83160199","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.3","By 2030, ensure equal access for all women and men to affordable and quality technical, vocational and tertiary education, including university","4.3.1","Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex","1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","BOTHSEX","Both sexes","","","","","","","","",""
"4","Afghanistan","AFG","66.02688198","33.83160199","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.3","By 2030, ensure equal access for all women and men to affordable and quality technical, vocational and tertiary education, including university","4.3.1","Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex","1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","FEMALE","Female","","","","","","","","",""
"4","Afghanistan","AFG","66.02688198","33.83160199","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.3","By 2030, ensure equal access for all women and men to affordable and quality technical, vocational and tertiary education, including university","4.3.1","Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex","1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","MALE","Male","","","","","","","","",""
"8","Albania","ALB","20.06660928","41.13897007","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.3","By 2030, ensure equal access for all women and men to affordable and quality technical, vocational and tertiary education, including university","4.3.1","Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex","1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","BOTHSEX","Both sexes","","","","","","","","",""
"8","Albania","ALB","20.06660928","41.13897007","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.3","By 2030, ensure equal access for all women and men to affordable and quality technical, vocational and tertiary education, including university","4.3.1","Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex","1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","FEMALE","Female","","","","","","","","",""
"8","Albania","ALB","20.06660928","41.13897007","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.3","By 2030, ensure equal access for all women and men to affordable and quality technical, vocational and tertiary education, including university","4.3.1","Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex","1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","MALE","Male","","","","","","","","",""
"10","Antarctica","ATA","21.47585697","-80.40897662","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.3","By 2030, ensure equal access for all women and men to affordable and quality technical, vocational and tertiary education, including university","4.3.1","Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex","1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","BOTHSEX","Both sexes","","","","","","","","",""
"10","Antarctica","ATA","21.47585697","-80.40897662","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.3","By 2030, ensure equal access for all women and men to affordable and quality technical, vocational and tertiary education, including university","4.3.1","Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex","1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","FEMALE","Female","","","","","","","","",""
"10","Antarctica","ATA","21.47585697","-80.40897662","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.3","By 2030, ensure equal access for all women and men to affordable and quality technical, vocational and tertiary education, including university","4.3.1","Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex","1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","MALE","Male","","","","","","","","",""
"12","Algeria","DZA","2.678164227","28.15940032","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.3","By 2030, ensure equal access for all women and men to affordable and quality technical, vocational and tertiary education, including university","4.3.1","Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex","1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","FEMALE","Female","","","","","","","","",""
"12","Algeria","DZA","2.678164227","28.15940032","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.3","By 2030, ensure equal access for all women and men to affordable and quality technical, vocational and tertiary education, including university","4.3.1","Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex","1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","MALE","Male","","","","","","","","",""
"12","Algeria","DZA","2.678164227","28.15940032","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.3","By 2030, ensure equal access for all women and men to affordable and quality technical, vocational and tertiary education, including university","4.3.1","Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex","1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","BOTHSEX","Both sexes","","","","","","","","",""
"16","American Samoa","ASM","-170.7187269","-14.30587306","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.3","By 2030, ensure equal access for all women and men to affordable and quality technical, vocational and tertiary education, including university","4.3.1","Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex","1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","BOTHSEX","Both sexes","","","","","","","","",""
"16","American Samoa","ASM","-170.7187269","-14.30587306","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.3","By 2030, ensure equal access for all women and men to affordable and quality technical, vocational and tertiary education, including university","4.3.1","Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex","1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","FEMALE","Female","","","","","","","","",""
"16","American Samoa","ASM","-170.7187269","-14.30587306","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.3","By 2030, ensure equal access for all women and men to affordable and quality technical, vocational and tertiary education, including university","4.3.1","Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex","1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","MALE","Male","","","","","","","","",""
"20","Andorra","AND","1.576257417","42.54548611","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.3","By 2030, ensure equal access for all women and men to affordable and quality technical, vocational and tertiary education, including university","4.3.1","Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex","1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","MALE","Male","","","","","","","","",""
"20","Andorra","AND","1.576257417","42.54548611","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.3","By 2030, ensure equal access for all women and men to affordable and quality technical, vocational and tertiary education, including university","4.3.1","Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex","1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","FEMALE","Female","","","","","","","","",""
"20","Andorra","AND","1.576257417","42.54548611","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.3","By 2030, ensure equal access for all women and men to affordable and quality technical, vocational and tertiary education, including university","4.3.1","Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex","1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","BOTHSEX","Both sexes","","","","","","","","",""
"24","Angola","AGO","17.57817062","-12.33724746","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.3","By 2030, ensure equal access for all women and men to affordable and quality technical, vocational and tertiary education, including university","4.3.1","Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex","1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","BOTHSEX","Both sexes","","","","","","","","",""
"24","Angola","AGO","17.57817062","-12.33724746","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.3","By 2030, ensure equal access for all women and men to affordable and quality technical, vocational and tertiary education, including university","4.3.1","Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex","1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","FEMALE","Female","","","","","","","","",""
"24","Angola","AGO","17.57817062","-12.33724746","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.3","By 2030, ensure equal access for all women and men to affordable and quality technical, vocational and tertiary education, including university","4.3.1","Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex","1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","MALE","Male","","","","","","","","",""
"28","Antigua and Barbuda","ATG","-61.7999755","17.07761471","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.3","By 2030, ensure equal access for all women and men to affordable and quality technical, vocational and tertiary education, including university","4.3.1","Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex","1","SE_ADT_EDUCTRN","Participation rate in formal and non-formal education and training, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","BOTHSEX","Both sexes","","","","","","","","",""
