ISO3CD,X,Y,GeoArea_Code,GeoArea_Desc,GoalCode,GoalDesc,TargetCode,TargetDesc,IndicatorCode,IndicatorDesc,IndicatorTier,SeriesCode,SeriesDesc,SeriesRelease,TypeOfSkill_Code,TypeOfSkill_Desc,ReportingType_Code,ReportingType_Desc,Units_Code,Units_Desc,Footnotes_2014,Footnotes_2015,Footnotes_2016,Nature_Code_2014,Nature_Code_2015,Nature_Code_2016,Source_2014,Source_2015,Source_2016,TimeDetail_2014,TimeDetail_2015,TimeDetail_2016,Value_2014,Value_2015,Value_2016,Latest_Year,Latest_Value
BGR,25.23763153,42.75731323,100,Bulgaria,4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.5,"By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations",4.5.1,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",1,SE_GPI_ICTS,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",2019.Q1.G.01,ARSP,Using basic arithmetic formula in a spreadsheet,G,Global,Ratio,Ratio,,,,,,C,,,Eurostat,,,,,,1.08148,2016.0,1.08148
BGR,25.23763153,42.75731323,100,Bulgaria,4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.5,"By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations",4.5.1,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",1,SE_GPI_ICTS,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",2019.Q1.G.01,CMFL,Copying or moving a file or folder,G,Global,Ratio,Ratio,,,,,,C,,,Eurostat,,,,,,0.97938,2016.0,0.97938
BGR,25.23763153,42.75731323,100,Bulgaria,4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.5,"By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations",4.5.1,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",1,SE_GPI_ICTS,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",2019.Q1.G.01,COPA,Using copy and paste tools to duplicate or move information within a document,G,Global,Ratio,Ratio,,,,,,C,,,Eurostat,,,,,,1.08537,2016.0,1.08537
BGR,25.23763153,42.75731323,100,Bulgaria,4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.5,"By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations",4.5.1,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",1,SE_GPI_ICTS,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",2019.Q1.G.01,EMAIL,Sending e-mails with attached files,G,Global,Ratio,Ratio,,,,,,,,,,,,,,,,,
BGR,25.23763153,42.75731323,100,Bulgaria,4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.5,"By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations",4.5.1,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",1,SE_GPI_ICTS,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",2019.Q1.G.01,EPRS,Creating electronic presentations with presentation software,G,Global,Ratio,Ratio,,,,,,C,,,Eurostat,,,,,,1.06667,2016.0,1.06667
BGR,25.23763153,42.75731323,100,Bulgaria,4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.5,"By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations",4.5.1,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",1,SE_GPI_ICTS,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",2019.Q1.G.01,INST,Connecting and installing new devices,G,Global,Ratio,Ratio,,,,,,,,,,,,,,,,,
BGR,25.23763153,42.75731323,100,Bulgaria,4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.5,"By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations",4.5.1,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",1,SE_GPI_ICTS,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",2019.Q1.G.01,PCPR,Writing a computer program using a specialized programming language,G,Global,Ratio,Ratio,,,,,,C,,,Eurostat,,,,,,0.3125,2016.0,0.3125
BGR,25.23763153,42.75731323,100,Bulgaria,4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.5,"By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations",4.5.1,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",1,SE_GPI_ICTS,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",2019.Q1.G.01,SOFT,"Finding, downloading, installing and configuring software",G,Global,Ratio,Ratio,,,,,,C,,,Eurostat,,,,,,0.69822,2016.0,0.69822
BGR,25.23763153,42.75731323,100,Bulgaria,4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.5,"By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations",4.5.1,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",1,SE_GPI_ICTS,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",2019.Q1.G.01,TRAF,Transferring files between a computer and other devices,G,Global,Ratio,Ratio,,,,,,C,,,Eurostat,,,,,,0.96206,2016.0,0.96206
HRV,17.95874553,45.45172212,191,Croatia,4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.5,"By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations",4.5.1,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",1,SE_GPI_ICTS,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",2019.Q1.G.01,ARSP,Using basic arithmetic formula in a spreadsheet,G,Global,Ratio,Ratio,,,,,,C,,,Eurostat,,,,,,0.80226,2016.0,0.80226
