series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Sex	Units	Sex description	Units description	2000	2005	2010	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	4	66.02688198	33.83160199	AFG	Afghanistan	1	FEMALE	NUMBER	Female	Number	102	176	195	248	260	254	2016	260	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	4	66.02688198	33.83160199	AFG	Afghanistan	2	MALE	NUMBER	Male	Number	1038	1395	1277	1356	1358	1357	2016	1358	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	4	66.02688198	33.83160199	AFG	Afghanistan	3	BOTHSEX	NUMBER	Both	Number	1140	1571	1472	1604	1618	1611	2016	1618	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	8	20.06660928	41.13897007	ALB	Albania	1	FEMALE	NUMBER	Female	Number	53	87	90	63	68	65.5	2016	68	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	E
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	8	20.06660928	41.13897007	ALB	Albania	2	MALE	NUMBER	Male	Number	117	118	140	112	116	114	2016	116	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	E
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	8	20.06660928	41.13897007	ALB	Albania	3	BOTHSEX	NUMBER	Both	Number	171	206	230	175	184	179.5	2016	184	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	E
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	10	21.47585697	-80.40897662	ATA	Antarctica	1	FEMALE	NUMBER	Female	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	10	21.47585697	-80.40897662	ATA	Antarctica	2	MALE	NUMBER	Male	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	10	21.47585697	-80.40897662	ATA	Antarctica	3	BOTHSEX	NUMBER	Both	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	12	2.678164227	28.15940032	DZA	Algeria	1	FEMALE	NUMBER	Female	Number	388	366	323	332	339	335.5	2016	339	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	12	2.678164227	28.15940032	DZA	Algeria	2	MALE	NUMBER	Male	Number	889	888	885	958	960	959	2016	960	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	12	2.678164227	28.15940032	DZA	Algeria	3	BOTHSEX	NUMBER	Both	Number	1277	1254	1208	1290	1299	1294.5	2016	1299	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	FEMALE	NUMBER	Female	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	16	-170.7187269	-14.30587306	ASM	American Samoa	2	MALE	NUMBER	Male	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	16	-170.7187269	-14.30587306	ASM	American Samoa	3	BOTHSEX	NUMBER	Both	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	20	1.576257417	42.54548611	AND	Andorra	1	FEMALE	NUMBER	Female	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	20	1.576257417	42.54548611	AND	Andorra	2	MALE	NUMBER	Male	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	20	1.576257417	42.54548611	AND	Andorra	3	BOTHSEX	NUMBER	Both	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	24	17.57817062	-12.33724746	AGO	Angola	1	FEMALE	NUMBER	Female	Number	340	367	339	364	362	363	2016	362	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	24	17.57817062	-12.33724746	AGO	Angola	2	MALE	NUMBER	Male	Number	956	1048	1000	1018	984	1001	2016	984	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	24	17.57817062	-12.33724746	AGO	Angola	3	BOTHSEX	NUMBER	Both	Number	1296	1415	1338	1382	1347	1364.5	2016	1347	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	FEMALE	NUMBER	Female	Number	0	0	0	1	0	0.5	2016	0	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	2	MALE	NUMBER	Male	Number	2	1	0	0	0	0	2016	0	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
