"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2000","Value_2001","Value_2002","Value_2003","Value_2004","Value_2005","Value_2006","Value_2007","Value_2008","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Latest_Year","Latest_Value","Nature_Desc","Source"
"4","Afghanistan","AFG","66.02688198","33.83160199","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.b","Support domestic technology development, research and innovation in developing countries, including by ensuring a conducive policy environment for, inter alia, industrial diversification and value addition to commodities","9.b.1","Proportion of medium and high-tech industry value added in total value added","1","NV_IND_TECH","Proportion of medium and high-tech industry value added in total value added (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","13.59084","13.59084","13.59084","13.59084","14.27572","2.71766","2.70155","3.06396","9.5593","10.00684","9.48396","9.28515","8.92793","9.25812","9.50743","9.50743",2015.0,"9.50743","Modeled data","UNIDO CIP 2016 Database. Available at https://stat.unido.org."
"8","Albania","ALB","20.06660928","41.13897007","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.b","Support domestic technology development, research and innovation in developing countries, including by ensuring a conducive policy environment for, inter alia, industrial diversification and value addition to commodities","9.b.1","Proportion of medium and high-tech industry value added in total value added","1","NV_IND_TECH","Proportion of medium and high-tech industry value added in total value added (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","7.61097","12.30733","7.80105","6.4348","8.79562","16.98425","20.21227","18.95075","14.08801","14.36152","6.55594","10.54919","17.09505","5.63649","6.62827","6.6907",2015.0,"6.6907","Modeled data","UNIDO CIP 2016 Database. Available at https://stat.unido.org."
"10","Antarctica","ATA","21.47585697","-80.40897662","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.b","Support domestic technology development, research and innovation in developing countries, including by ensuring a conducive policy environment for, inter alia, industrial diversification and value addition to commodities","9.b.1","Proportion of medium and high-tech industry value added in total value added","1","NV_IND_TECH","Proportion of medium and high-tech industry value added in total value added (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","",""
"12","Algeria","DZA","2.678164227","28.15940032","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.b","Support domestic technology development, research and innovation in developing countries, including by ensuring a conducive policy environment for, inter alia, industrial diversification and value addition to commodities","9.b.1","Proportion of medium and high-tech industry value added in total value added","1","NV_IND_TECH","Proportion of medium and high-tech industry value added in total value added (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","11.27833","11.27833","14.36849","14.36849","14.36849","14.36849","14.36849","14.36849","15.15203","10.84891","9.66153","9.96336","10.14455","9.14079","9.14079","9.14079",2015.0,"9.14079","Modeled data","UNIDO CIP 2016 Database. Available at https://stat.unido.org."
"16","American Samoa","ASM","-170.7187269","-14.30587306","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.b","Support domestic technology development, research and innovation in developing countries, including by ensuring a conducive policy environment for, inter alia, industrial diversification and value addition to commodities","9.b.1","Proportion of medium and high-tech industry value added in total value added","1","NV_IND_TECH","Proportion of medium and high-tech industry value added in total value added (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","",""
"20","Andorra","AND","1.576257417","42.54548611","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.b","Support domestic technology development, research and innovation in developing countries, including by ensuring a conducive policy environment for, inter alia, industrial diversification and value addition to commodities","9.b.1","Proportion of medium and high-tech industry value added in total value added","1","NV_IND_TECH","Proportion of medium and high-tech industry value added in total value added (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","",""
"24","Angola","AGO","17.57817062","-12.33724746","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.b","Support domestic technology development, research and innovation in developing countries, including by ensuring a conducive policy environment for, inter alia, industrial diversification and value addition to commodities","9.b.1","Proportion of medium and high-tech industry value added in total value added","1","NV_IND_TECH","Proportion of medium and high-tech industry value added in total value added (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","4.51858","4.51858","4.51858","4.51858","4.51858","4.51858","4.51858","4.51858","4.51858","4.51858","4.51858","4.51858","4.51858","4.51858","4.51858","3.89201",2015.0,"3.89201","Modeled data","UNIDO CIP 2016 Database. Available at https://stat.unido.org."
"28","Antigua and Barbuda","ATG","-61.7999755","17.07761471","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.b","Support domestic technology development, research and innovation in developing countries, including by ensuring a conducive policy environment for, inter alia, industrial diversification and value addition to commodities","9.b.1","Proportion of medium and high-tech industry value added in total value added","1","NV_IND_TECH","Proportion of medium and high-tech industry value added in total value added (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","",""
"31","Azerbaijan","AZE","50.01064725","40.39229544","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.b","Support domestic technology development, research and innovation in developing countries, including by ensuring a conducive policy environment for, inter alia, industrial diversification and value addition to commodities","9.b.1","Proportion of medium and high-tech industry value added in total value added","1","NV_IND_TECH","Proportion of medium and high-tech industry value added in total value added (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","16.53477","23.81822","24.88587","19.81802","18.47081","38.5041","24.21891","19.92034","13.17337","13.8767","10.07076","12.49473","12.496","15.71798","17.53864","13.70048",2015.0,"13.70048","Modeled data","UNIDO CIP 2016 Database. Available at https://stat.unido.org."
"32","Argentina","ARG","-65.14563274","-35.19446255","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.b","Support domestic technology development, research and innovation in developing countries, including by ensuring a conducive policy environment for, inter alia, industrial diversification and value addition to commodities","9.b.1","Proportion of medium and high-tech industry value added in total value added","1","NV_IND_TECH","Proportion of medium and high-tech industry value added in total value added (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","28.59574","26.98261","26.00065","26.00065","26.00065","26.00065","26.00065","26.00065","26.00065","26.00065","26.00065","26.00065","26.00065","26.00065","26.00065","26.00065",2015.0,"26.00065","Modeled data","UNIDO CIP 2016 Database. Available at https://stat.unido.org."
"36","Australia","AUS","134.3499412","-25.57717202","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.b","Support domestic technology development, research and innovation in developing countries, including by ensuring a conducive policy environment for, inter alia, industrial diversification and value addition to commodities","9.b.1","Proportion of medium and high-tech industry value added in total value added","1","NV_IND_TECH","Proportion of medium and high-tech industry value added in total value added (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","27.2399","26.02618","24.7339","23.90711","24.66209","24.4889","25.08401","26.48138","26.17933","28.02983","27.81665","28.3043","29.42757","30.88139","30.69729","28.17006",2015.0,"28.17006","Modeled data","UNIDO CIP 2016 Database. Available at https://stat.unido.org."
"40","Austria","AUT","14.14172472","47.58704857","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.b","Support domestic technology development, research and innovation in developing countries, including by ensuring a conducive policy environment for, inter alia, industrial diversification and value addition to commodities","9.b.1","Proportion of medium and high-tech industry value added in total value added","1","NV_IND_TECH","Proportion of medium and high-tech industry value added in total value added (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","38.80752","38.24113","38.36056","39.70298","39.84123","41.67288","42.1483","42.61642","43.78164","42.69671","44.83634","46.00978","45.68698","45.9689","46.46337","45.93115",2015.0,"45.93115","Modeled data","UNIDO CIP 2016 Database. Available at https://stat.unido.org."
"44","Bahamas","BHS","-78.05111663","24.69546597","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.b","Support domestic technology development, research and innovation in developing countries, including by ensuring a conducive policy environment for, inter alia, industrial diversification and value addition to commodities","9.b.1","Proportion of medium and high-tech industry value added in total value added","1","NV_IND_TECH","Proportion of medium and high-tech industry value added in total value added (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","27.77352","27.77352","27.77352","27.77352","27.77352","27.77352","27.77352","27.77352","27.77352","27.77352","27.77352","27.77352","27.77352","27.77352","27.77352","27.77352",2015.0,"27.77352","Modeled data","UNIDO CIP 2016 Database. Available at https://stat.unido.org."
"48","Bahrain","BHR","50.5490754","26.04407747","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.b","Support domestic technology development, research and innovation in developing countries, including by ensuring a conducive policy environment for, inter alia, industrial diversification and value addition to commodities","9.b.1","Proportion of medium and high-tech industry value added in total value added","1","NV_IND_TECH","Proportion of medium and high-tech industry value added in total value added (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","12.55588","18.66667","18.15336","21.45576","21.81619","23.80719","25.71018","23.54546","28.24891","26.76049","24.91098","22.73156","21.68","22.50474","24.41092","24.41092",2015.0,"24.41092","Modeled data","UNIDO CIP 2016 Database. Available at https://stat.unido.org."
"50","Bangladesh","BGD","89.17660788","22.86961622","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.b","Support domestic technology development, research and innovation in developing countries, including by ensuring a conducive policy environment for, inter alia, industrial diversification and value addition to commodities","9.b.1","Proportion of medium and high-tech industry value added in total value added","1","NV_IND_TECH","Proportion of medium and high-tech industry value added in total value added (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","21.08197","21.08197","21.08197","20.54532","20.54532","17.52962","20.1694","17.52962","17.52962","9.13741","9.13741","9.75763","9.46513","9.46513","9.46513","9.46513",2015.0,"9.46513","Modeled data","UNIDO CIP 2016 Database. Available at https://stat.unido.org."
"51","Armenia","ARM","44.93839317","40.29499741","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.b","Support domestic technology development, research and innovation in developing countries, including by ensuring a conducive policy environment for, inter alia, industrial diversification and value addition to commodities","9.b.1","Proportion of medium and high-tech industry value added in total value added","1","NV_IND_TECH","Proportion of medium and high-tech industry value added in total value added (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","9.52627","9.95636","7.75273","7.54789","8.28324","7.47426","7.61688","7.97324","7.44113","5.88698","4.94857","4.22659","4.33074","4.02424","3.66358","3.66358",2015.0,"3.66358","Modeled data","UNIDO CIP 2016 Database. Available at https://stat.unido.org."
"52","Barbados","BRB","-59.5346489","13.13648273","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.b","Support domestic technology development, research and innovation in developing countries, including by ensuring a conducive policy environment for, inter alia, industrial diversification and value addition to commodities","9.b.1","Proportion of medium and high-tech industry value added in total value added","1","NV_IND_TECH","Proportion of medium and high-tech industry value added in total value added (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","38.1108","38.1108","38.1108","38.1108","38.1108","38.1108","38.1108","38.1108","38.1108","38.1108","38.1108","38.1108","38.1108","38.1108","38.1108","38.1108",2015.0,"38.1108","Modeled data","UNIDO CIP 2016 Database. Available at https://stat.unido.org."
"56","Belgium","BEL","4.660976456","50.64104975","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.b","Support domestic technology development, research and innovation in developing countries, including by ensuring a conducive policy environment for, inter alia, industrial diversification and value addition to commodities","9.b.1","Proportion of medium and high-tech industry value added in total value added","1","NV_IND_TECH","Proportion of medium and high-tech industry value added in total value added (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","43.92267","44.15808","44.00426","43.17389","42.71952","43.69927","45.14857","42.25224","43.38064","42.64512","35.04066","37.61569","48.05138","50.77392","49.78215","49.46894",2015.0,"49.46894","Modeled data","UNIDO CIP 2016 Database. Available at https://stat.unido.org."
"60","Bermuda","BMU","-64.78155012","32.27881922","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.b","Support domestic technology development, research and innovation in developing countries, including by ensuring a conducive policy environment for, inter alia, industrial diversification and value addition to commodities","9.b.1","Proportion of medium and high-tech industry value added in total value added","1","NV_IND_TECH","Proportion of medium and high-tech industry value added in total value added (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","16.83835","16.83835","16.83835","16.83835","16.83835","16.83835","16.83835","16.30631","18.85142","21.90021","19.882","20.18734","23.43977","19.69198","25.28958","25.28958",2015.0,"25.28958","Modeled data","UNIDO CIP 2016 Database. Available at https://stat.unido.org."
"64","Bhutan","BTN","90.45098484","27.39598568","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.b","Support domestic technology development, research and innovation in developing countries, including by ensuring a conducive policy environment for, inter alia, industrial diversification and value addition to commodities","9.b.1","Proportion of medium and high-tech industry value added in total value added","1","NV_IND_TECH","Proportion of medium and high-tech industry value added in total value added (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","",""
"68","Bolivia (Plurinational State of)","BOL","-64.66224284","-16.71273412","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.b","Support domestic technology development, research and innovation in developing countries, including by ensuring a conducive policy environment for, inter alia, industrial diversification and value addition to commodities","9.b.1","Proportion of medium and high-tech industry value added in total value added","1","NV_IND_TECH","Proportion of medium and high-tech industry value added in total value added (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","4.90853","5.0542","5.0542","5.0542","5.0542","5.0542","11.67377","11.67377","11.67377","11.67377","11.59005","11.67377","11.67377","11.67377","11.67377","11.67377",2015.0,"11.67377","Modeled data","UNIDO CIP 2016 Database. Available at https://stat.unido.org."
"70","Bosnia and Herzegovina","BIH","17.78584332","44.16845548","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.b","Support domestic technology development, research and innovation in developing countries, including by ensuring a conducive policy environment for, inter alia, industrial diversification and value addition to commodities","9.b.1","Proportion of medium and high-tech industry value added in total value added","1","NV_IND_TECH","Proportion of medium and high-tech industry value added in total value added (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","29.17025","16.13792","16.13792","16.13792","16.13792","16.13792","16.13792","16.13792","16.13792","16.13792","16.13792","17.12394","19.26365","17.69038","17.92425","17.54684",2015.0,"17.54684","Modeled data","UNIDO CIP 2016 Database. Available at https://stat.unido.org."
"72","Botswana","BWA","23.81380223","-22.18810073","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.b","Support domestic technology development, research and innovation in developing countries, including by ensuring a conducive policy environment for, inter alia, industrial diversification and value addition to commodities","9.b.1","Proportion of medium and high-tech industry value added in total value added","1","NV_IND_TECH","Proportion of medium and high-tech industry value added in total value added (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.85811","0.85811","77.68447","77.68447","77.68447","7.15601","7.15601","7.15601","8.04321","8.27571","9.68805","8.85727","9.00306","8.88414","7.97876","16.50533",2015.0,"16.50533","Modeled data","UNIDO CIP 2016 Database. Available at https://stat.unido.org."
"74","Bouvet Island","BVT","3.410732868","-54.43295905","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.b","Support domestic technology development, research and innovation in developing countries, including by ensuring a conducive policy environment for, inter alia, industrial diversification and value addition to commodities","9.b.1","Proportion of medium and high-tech industry value added in total value added","1","NV_IND_TECH","Proportion of medium and high-tech industry value added in total value added (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","",""
