series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Sex	Units	Age description	Sex description	Units description	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	4	66.02688198	33.83160199	AFG	Afghanistan	1	<15Y	FEMALE	PERCENT	under 15 years old	Female	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	4	66.02688198	33.83160199	AFG	Afghanistan	2	<15Y	MALE	PERCENT	under 15 years old	Male	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	4	66.02688198	33.83160199	AFG	Afghanistan	3	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	4	66.02688198	33.83160199	AFG	Afghanistan	4	15+	MALE	PERCENT	15 years old and over	Male	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	8	20.06660928	41.13897007	ALB	Albania	1	<15Y	FEMALE	PERCENT	under 15 years old	Female	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	8	20.06660928	41.13897007	ALB	Albania	2	<15Y	MALE	PERCENT	under 15 years old	Male	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	8	20.06660928	41.13897007	ALB	Albania	3	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	8	20.06660928	41.13897007	ALB	Albania	4	15+	MALE	PERCENT	15 years old and over	Male	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	10	21.47585697	-80.40897662	ATA	Antarctica	1	<15Y	FEMALE	PERCENT	under 15 years old	Female	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	10	21.47585697	-80.40897662	ATA	Antarctica	2	<15Y	MALE	PERCENT	under 15 years old	Male	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	10	21.47585697	-80.40897662	ATA	Antarctica	3	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	10	21.47585697	-80.40897662	ATA	Antarctica	4	15+	MALE	PERCENT	15 years old and over	Male	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	12	2.678164227	28.15940032	DZA	Algeria	1	<15Y	FEMALE	PERCENT	under 15 years old	Female	Percentage			40.63	40.63	2016	40.63	GLOTIP Database	C
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	12	2.678164227	28.15940032	DZA	Algeria	2	<15Y	MALE	PERCENT	under 15 years old	Male	Percentage			0	0	2016	0	GLOTIP Database	C
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	12	2.678164227	28.15940032	DZA	Algeria	3	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage			21.88	21.88	2016	21.88	GLOTIP Database	C
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	12	2.678164227	28.15940032	DZA	Algeria	4	15+	MALE	PERCENT	15 years old and over	Male	Percentage			31.25	31.25	2016	31.25	GLOTIP Database	C
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	<15Y	FEMALE	PERCENT	under 15 years old	Female	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	2	<15Y	MALE	PERCENT	under 15 years old	Male	Percentage								
