GoalCode,GoalDesc,TargetCode,TargetDesc,IndicatorCode,IndicatorDesc,IndicatorTier,SeriesCode,SeriesDesc,SeriesRelease,Freq_Code,Freq_Desc,ReportingType_Code,ReportingType_Desc,Nature_Code,Nature_Desc,Units_Code,Units_Desc,GeoArea_Code,GeoArea_Desc,Year,TimeDetail,Value,ValueType,Source,Footnotes,ISO3CD,X,Y
17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.15,Respect each country's policy space and leadership to establish and implement policies for poverty eradication and sustainable development,17.15.1,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation,1,SG_PLN_RECNDI,Proportion of new development interventions drawn from country-led result frameworks - data by recipient (%),2019.Q1.G.01,ANNUAL,Global,G,Global,NA,Data nature not available,PERCENT,Percentage,4,Afghanistan,2017.0,,76.923077,Float,Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).,,AFG,66.02688198,33.83160199
17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.15,Respect each country's policy space and leadership to establish and implement policies for poverty eradication and sustainable development,17.15.1,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation,1,SG_PLN_RECNDI,Proportion of new development interventions drawn from country-led result frameworks - data by recipient (%),2019.Q1.G.01,ANNUAL,Global,G,Global,NA,Data nature not available,PERCENT,Percentage,8,Albania,2017.0,,79.487179,Float,Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).,,ALB,20.06660928,41.13897007
17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.15,Respect each country's policy space and leadership to establish and implement policies for poverty eradication and sustainable development,17.15.1,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation,1,SG_PLN_RECNDI,Proportion of new development interventions drawn from country-led result frameworks - data by recipient (%),2019.Q1.G.01,ANNUAL,Global,G,Global,NA,Data nature not available,PERCENT,Percentage,24,Angola,2017.0,,94.117647,Float,Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).,,AGO,17.57817062,-12.33724746
17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.15,Respect each country's policy space and leadership to establish and implement policies for poverty eradication and sustainable development,17.15.1,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation,1,SG_PLN_RECNDI,Proportion of new development interventions drawn from country-led result frameworks - data by recipient (%),2019.Q1.G.01,ANNUAL,Global,G,Global,NA,Data nature not available,PERCENT,Percentage,51,Armenia,2017.0,,91.111111,Float,Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).,,ARM,44.93839317,40.29499741
17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.15,Respect each country's policy space and leadership to establish and implement policies for poverty eradication and sustainable development,17.15.1,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation,1,SG_PLN_RECNDI,Proportion of new development interventions drawn from country-led result frameworks - data by recipient (%),2019.Q1.G.01,ANNUAL,Global,G,Global,NA,Data nature not available,PERCENT,Percentage,50,Bangladesh,2017.0,,89.189189,Float,Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).,,BGD,89.17660788,22.86961622
17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.15,Respect each country's policy space and leadership to establish and implement policies for poverty eradication and sustainable development,17.15.1,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation,1,SG_PLN_RECNDI,Proportion of new development interventions drawn from country-led result frameworks - data by recipient (%),2019.Q1.G.01,ANNUAL,Global,G,Global,NA,Data nature not available,PERCENT,Percentage,112,Belarus,2017.0,,100,Float,Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).,,BLR,28.04940161,53.54193075
17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.15,Respect each country's policy space and leadership to establish and implement policies for poverty eradication and sustainable development,17.15.1,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation,1,SG_PLN_RECNDI,Proportion of new development interventions drawn from country-led result frameworks - data by recipient (%),2019.Q1.G.01,ANNUAL,Global,G,Global,NA,Data nature not available,PERCENT,Percentage,204,Benin,2017.0,,83.870968,Float,Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).,,BEN,2.339933594,9.65401646
17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.15,Respect each country's policy space and leadership to establish and implement policies for poverty eradication and sustainable development,17.15.1,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation,1,SG_PLN_RECNDI,Proportion of new development interventions drawn from country-led result frameworks - data by recipient (%),2019.Q1.G.01,ANNUAL,Global,G,Global,NA,Data nature not available,PERCENT,Percentage,64,Bhutan,2017.0,,90,Float,Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).,,BTN,90.45098484,27.39598568
17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.15,Respect each country's policy space and leadership to establish and implement policies for poverty eradication and sustainable development,17.15.1,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation,1,SG_PLN_RECNDI,Proportion of new development interventions drawn from country-led result frameworks - data by recipient (%),2019.Q1.G.01,ANNUAL,Global,G,Global,NA,Data nature not available,PERCENT,Percentage,68,Bolivia (Plurinational State of),2017.0,,87.5,Float,Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).,,BOL,-64.66224284,-16.71273412
17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.15,Respect each country's policy space and leadership to establish and implement policies for poverty eradication and sustainable development,17.15.1,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation,1,SG_PLN_RECNDI,Proportion of new development interventions drawn from country-led result frameworks - data by recipient (%),2019.Q1.G.01,ANNUAL,Global,G,Global,NA,Data nature not available,PERCENT,Percentage,854,Burkina Faso,2017.0,,100,Float,Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).,,BFA,-1.742843829,12.27491081
17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.15,Respect each country's policy space and leadership to establish and implement policies for poverty eradication and sustainable development,17.15.1,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation,1,SG_PLN_RECNDI,Proportion of new development interventions drawn from country-led result frameworks - data by recipient (%),2019.Q1.G.01,ANNUAL,Global,G,Global,NA,Data nature not available,PERCENT,Percentage,108,Burundi,2017.0,,26.666667,Float,Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).,,BDI,29.89080992,-3.366387428
