"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Sex_Code","Sex_Desc","Value_2000","Value_2005","Value_2010","Value_2015","Value_2016","Latest_Year","Latest_Value","Nature_Desc","Source"
"4","Afghanistan","AFG","66.02688198","33.83160199","3","Ensure healthy lives and promote well-being for all at all ages","3.9","By 2030, substantially reduce the number of deaths and illnesses from hazardous chemicals and air, water and soil pollution and contamination","3.9.3","Mortality rate attributed to unintentional poisoning","1","SH_STA_POISN","Mortality rate attributed to unintentional poisonings, by sex (deaths per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","BOTHSEX","Both sexes","1.7","1.5","1.4","1.2","1.2",2016.0,"1.2","Modeled data","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"4","Afghanistan","AFG","66.02688198","33.83160199","3","Ensure healthy lives and promote well-being for all at all ages","3.9","By 2030, substantially reduce the number of deaths and illnesses from hazardous chemicals and air, water and soil pollution and contamination","3.9.3","Mortality rate attributed to unintentional poisoning","1","SH_STA_POISN","Mortality rate attributed to unintentional poisonings, by sex (deaths per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","MALE","Male","1.2","0.9","0.8","0.6","0.5",2016.0,"0.5","Modeled data","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"4","Afghanistan","AFG","66.02688198","33.83160199","3","Ensure healthy lives and promote well-being for all at all ages","3.9","By 2030, substantially reduce the number of deaths and illnesses from hazardous chemicals and air, water and soil pollution and contamination","3.9.3","Mortality rate attributed to unintentional poisoning","1","SH_STA_POISN","Mortality rate attributed to unintentional poisonings, by sex (deaths per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","FEMALE","Female","2.2","2.2","2.1","1.9","1.9",2016.0,"1.9","Modeled data","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"8","Albania","ALB","20.06660928","41.13897007","3","Ensure healthy lives and promote well-being for all at all ages","3.9","By 2030, substantially reduce the number of deaths and illnesses from hazardous chemicals and air, water and soil pollution and contamination","3.9.3","Mortality rate attributed to unintentional poisoning","1","SH_STA_POISN","Mortality rate attributed to unintentional poisonings, by sex (deaths per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","MALE","Male","1.3","0.7","0.6","0.5","0.5",2016.0,"0.5","Estimated data","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"8","Albania","ALB","20.06660928","41.13897007","3","Ensure healthy lives and promote well-being for all at all ages","3.9","By 2030, substantially reduce the number of deaths and illnesses from hazardous chemicals and air, water and soil pollution and contamination","3.9.3","Mortality rate attributed to unintentional poisoning","1","SH_STA_POISN","Mortality rate attributed to unintentional poisonings, by sex (deaths per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","BOTHSEX","Both sexes","1","0.6","0.5","0.4","0.4",2016.0,"0.4","Estimated data","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"8","Albania","ALB","20.06660928","41.13897007","3","Ensure healthy lives and promote well-being for all at all ages","3.9","By 2030, substantially reduce the number of deaths and illnesses from hazardous chemicals and air, water and soil pollution and contamination","3.9.3","Mortality rate attributed to unintentional poisoning","1","SH_STA_POISN","Mortality rate attributed to unintentional poisonings, by sex (deaths per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","FEMALE","Female","0.7","0.5","0.4","0.4","0.4",2016.0,"0.4","Estimated data","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"10","Antarctica","ATA","21.47585697","-80.40897662","3","Ensure healthy lives and promote well-being for all at all ages","3.9","By 2030, substantially reduce the number of deaths and illnesses from hazardous chemicals and air, water and soil pollution and contamination","3.9.3","Mortality rate attributed to unintentional poisoning","1","SH_STA_POISN","Mortality rate attributed to unintentional poisonings, by sex (deaths per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","BOTHSEX","Both sexes","","","","","","","","",""
"10","Antarctica","ATA","21.47585697","-80.40897662","3","Ensure healthy lives and promote well-being for all at all ages","3.9","By 2030, substantially reduce the number of deaths and illnesses from hazardous chemicals and air, water and soil pollution and contamination","3.9.3","Mortality rate attributed to unintentional poisoning","1","SH_STA_POISN","Mortality rate attributed to unintentional poisonings, by sex (deaths per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","FEMALE","Female","","","","","","","","",""
"10","Antarctica","ATA","21.47585697","-80.40897662","3","Ensure healthy lives and promote well-being for all at all ages","3.9","By 2030, substantially reduce the number of deaths and illnesses from hazardous chemicals and air, water and soil pollution and contamination","3.9.3","Mortality rate attributed to unintentional poisoning","1","SH_STA_POISN","Mortality rate attributed to unintentional poisonings, by sex (deaths per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","MALE","Male","","","","","","","","",""
"12","Algeria","DZA","2.678164227","28.15940032","3","Ensure healthy lives and promote well-being for all at all ages","3.9","By 2030, substantially reduce the number of deaths and illnesses from hazardous chemicals and air, water and soil pollution and contamination","3.9.3","Mortality rate attributed to unintentional poisoning","1","SH_STA_POISN","Mortality rate attributed to unintentional poisonings, by sex (deaths per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","MALE","Male","1.4","1.2","1.1","1","0.9",2016.0,"0.9","Modeled data","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
