"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2000.0","Value_2010.0","Value_2017.0","Latest_Year","Latest_Value","Nature_Desc","Source"
"1","World","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.2","Proportion of births attended by skilled health personnel","1","SH_STA_BRTC","Proportion of births attended by skilled health personnel (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","",""
"2","Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.2","Proportion of births attended by skilled health personnel","1","SH_STA_BRTC","Proportion of births attended by skilled health personnel (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","",""
"5","South America","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.2","Proportion of births attended by skilled health personnel","1","SH_STA_BRTC","Proportion of births attended by skilled health personnel (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","",""
"9","Oceania","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.2","Proportion of births attended by skilled health personnel","1","SH_STA_BRTC","Proportion of births attended by skilled health personnel (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","",""
"11","Western Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.2","Proportion of births attended by skilled health personnel","1","SH_STA_BRTC","Proportion of births attended by skilled health personnel (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","",""
"13","Central America","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.2","Proportion of births attended by skilled health personnel","1","SH_STA_BRTC","Proportion of births attended by skilled health personnel (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","",""
"14","Eastern Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.2","Proportion of births attended by skilled health personnel","1","SH_STA_BRTC","Proportion of births attended by skilled health personnel (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","",""
"15","Northern Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.2","Proportion of births attended by skilled health personnel","1","SH_STA_BRTC","Proportion of births attended by skilled health personnel (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","",""
"17","Middle Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.2","Proportion of births attended by skilled health personnel","1","SH_STA_BRTC","Proportion of births attended by skilled health personnel (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","",""
"18","Southern Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.2","Proportion of births attended by skilled health personnel","1","SH_STA_BRTC","Proportion of births attended by skilled health personnel (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","",""
