series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Education level	Units description	Education level description	2000	2001	2003	2006	2009	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	SE_URP_REAACH	Rural to urban parity index for achievement in reading, by education level (ratio)	4	66.02688198	33.83160199	AFG	Afghanistan	1	Ratio	LOWSEC	Ratio	lower secondary															
2018.Q2.G.01	SE_URP_REAACH	Rural to urban parity index for achievement in reading, by education level (ratio)	4	66.02688198	33.83160199	AFG	Afghanistan	2	Ratio	GRAD23	Ratio	grades 2/3															
2018.Q2.G.01	SE_URP_REAACH	Rural to urban parity index for achievement in reading, by education level (ratio)	4	66.02688198	33.83160199	AFG	Afghanistan	3	Ratio	PRIMAR	Ratio	primary															
2018.Q2.G.01	SE_URP_REAACH	Rural to urban parity index for achievement in reading, by education level (ratio)	8	20.06660928	41.13897007	ALB	Albania	1	Ratio	LOWSEC	Ratio	lower secondary	0.32384				0.58105		0.90674			0.66903	0.787885	2015	0.66903	Programme for International Student Assessment (OECD)	C
2018.Q2.G.01	SE_URP_REAACH	Rural to urban parity index for achievement in reading, by education level (ratio)	8	20.06660928	41.13897007	ALB	Albania	2	Ratio	GRAD23	Ratio	grades 2/3															
2018.Q2.G.01	SE_URP_REAACH	Rural to urban parity index for achievement in reading, by education level (ratio)	8	20.06660928	41.13897007	ALB	Albania	3	Ratio	PRIMAR	Ratio	primary															
2018.Q2.G.01	SE_URP_REAACH	Rural to urban parity index for achievement in reading, by education level (ratio)	10	21.47585697	-80.40897662	ATA	Antarctica	1	Ratio	LOWSEC	Ratio	lower secondary															
2018.Q2.G.01	SE_URP_REAACH	Rural to urban parity index for achievement in reading, by education level (ratio)	10	21.47585697	-80.40897662	ATA	Antarctica	2	Ratio	GRAD23	Ratio	grades 2/3															
2018.Q2.G.01	SE_URP_REAACH	Rural to urban parity index for achievement in reading, by education level (ratio)	10	21.47585697	-80.40897662	ATA	Antarctica	3	Ratio	PRIMAR	Ratio	primary															
2018.Q2.G.01	SE_URP_REAACH	Rural to urban parity index for achievement in reading, by education level (ratio)	12	2.678164227	28.15940032	DZA	Algeria	1	Ratio	LOWSEC	Ratio	lower secondary										0.74517	0.74517	2015	0.74517	Programme for International Student Assessment (OECD)	C
2018.Q2.G.01	SE_URP_REAACH	Rural to urban parity index for achievement in reading, by education level (ratio)	12	2.678164227	28.15940032	DZA	Algeria	2	Ratio	GRAD23	Ratio	grades 2/3															
2018.Q2.G.01	SE_URP_REAACH	Rural to urban parity index for achievement in reading, by education level (ratio)	12	2.678164227	28.15940032	DZA	Algeria	3	Ratio	PRIMAR	Ratio	primary															
2018.Q2.G.01	SE_URP_REAACH	Rural to urban parity index for achievement in reading, by education level (ratio)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	Ratio	LOWSEC	Ratio	lower secondary															
2018.Q2.G.01	SE_URP_REAACH	Rural to urban parity index for achievement in reading, by education level (ratio)	16	-170.7187269	-14.30587306	ASM	American Samoa	2	Ratio	GRAD23	Ratio	grades 2/3															
2018.Q2.G.01	SE_URP_REAACH	Rural to urban parity index for achievement in reading, by education level (ratio)	16	-170.7187269	-14.30587306	ASM	American Samoa	3	Ratio	PRIMAR	Ratio	primary															
2018.Q2.G.01	SE_URP_REAACH	Rural to urban parity index for achievement in reading, by education level (ratio)	20	1.576257417	42.54548611	AND	Andorra	1	Ratio	LOWSEC	Ratio	lower secondary															
2018.Q2.G.01	SE_URP_REAACH	Rural to urban parity index for achievement in reading, by education level (ratio)	20	1.576257417	42.54548611	AND	Andorra	2	Ratio	GRAD23	Ratio	grades 2/3															
