"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Sex_Code","Sex_Desc","Value_2000","Value_2001","Value_2002","Value_2003","Value_2004","Value_2005","Value_2006","Value_2007","Value_2008","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Value_2016","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"4","Afghanistan","AFG","66.02688198","33.83160199","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.2","Proportion of women in managerial positions","1","IC_GEN_MGTN","Proportion of women in senior and middle management positions (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","FEMALE","Female","","","","","","","","","","","","","","","","","","","","","",""
"8","Albania","ALB","20.06660928","41.13897007","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.2","Proportion of women in managerial positions","1","IC_GEN_MGTN","Proportion of women in senior and middle management positions (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","FEMALE","Female","","","","","","","","","","22.47","","","","","","","",2009.0,"22.47","Country data","ILOSTAT - LFS - Labour Force Survey","Data reference period: Noncalendar year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"10","Antarctica","ATA","21.47585697","-80.40897662","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.2","Proportion of women in managerial positions","1","IC_GEN_MGTN","Proportion of women in senior and middle management positions (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","FEMALE","Female","","","","","","","","","","","","","","","","","","","","","",""
"12","Algeria","DZA","2.678164227","28.15940032","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.2","Proportion of women in managerial positions","1","IC_GEN_MGTN","Proportion of women in senior and middle management positions (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","FEMALE","Female","","","","","","","","","","","","","","","6.92","","",2014.0,"6.92","Country data","ILOSTAT - LFS - Household Employment Survey","Data reference period: September"
"16","American Samoa","ASM","-170.7187269","-14.30587306","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.2","Proportion of women in managerial positions","1","IC_GEN_MGTN","Proportion of women in senior and middle management positions (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","FEMALE","Female","","","","","","","","","","","","","","","","","","","","","",""
"20","Andorra","AND","1.576257417","42.54548611","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.2","Proportion of women in managerial positions","1","IC_GEN_MGTN","Proportion of women in senior and middle management positions (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","FEMALE","Female","","","","","","","","","","","","","","","","","","","","","",""
"24","Angola","AGO","17.57817062","-12.33724746","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.2","Proportion of women in managerial positions","1","IC_GEN_MGTN","Proportion of women in senior and middle management positions (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","FEMALE","Female","","","","","","","","","","","","","","","","","","","","","",""
"28","Antigua and Barbuda","ATG","-61.7999755","17.07761471","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.2","Proportion of women in managerial positions","1","IC_GEN_MGTN","Proportion of women in senior and middle management positions (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","FEMALE","Female","","","","","","","","","","","","","","","","","","","","","",""
"31","Azerbaijan","AZE","50.01064725","40.39229544","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.2","Proportion of women in managerial positions","1","IC_GEN_MGTN","Proportion of women in senior and middle management positions (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","FEMALE","Female","","","","","","","","","","","","","","","","","","","","","",""
"32","Argentina","ARG","-65.14563274","-35.19446255","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.2","Proportion of women in managerial positions","1","IC_GEN_MGTN","Proportion of women in senior and middle management positions (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","FEMALE","Female","","","","","28.61","26.26","29.41","","29.93","34.43","32.14","30.15","32.34","36.49","38.64","","",2014.0,"38.64","Country data","ILOSTAT - LFS - Permanent Household Survey (Urban)","[2006,2011]: Break in series: Methodology revised | Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution.  The INDEC, based on  what is stated in decrees 181/15 and 55/16,  is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures. | Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas // [2004-2005,2008-2010,2012-2014]: Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution.  The INDEC, based on  what is stated in decrees 181/15 and 55/16,  is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures. | Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
