"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2000","Value_2001","Value_2002","Value_2003","Value_2004","Value_2005","Value_2006","Value_2007","Value_2008","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Value_2016","Latest_Year","Latest_Value","Nature_Desc","Source"
"4","Afghanistan","AFG","66.02688198","33.83160199","3","Ensure healthy lives and promote well-being for all at all ages","3.b","Support the research and development of vaccines and medicines for the communicable and non-communicable diseases that primarily affect developing countries, provide access to affordable essential medicines and vaccines, in accordance with the Doha Declaration on the TRIPS Agreement and Public Health, which affirms the right of developing countries to use to the full the provisions in the Agreement on Trade-Related Aspects of Intellectual Property Rights regarding flexibilities to protect public health, and, in particular, provide access to medicines for all","3.b.1","Proportion of the target population covered by all vaccines included in their national programme","2","SH_ACS_MCV2","Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","2","9","18","4","23","24","29","31","33","35","39","39","39",2016.0,"39","Estimated data","WHO/UNICEF coverage estimates 2016 revision, July 2017"
"8","Albania","ALB","20.06660928","41.13897007","3","Ensure healthy lives and promote well-being for all at all ages","3.b","Support the research and development of vaccines and medicines for the communicable and non-communicable diseases that primarily affect developing countries, provide access to affordable essential medicines and vaccines, in accordance with the Doha Declaration on the TRIPS Agreement and Public Health, which affirms the right of developing countries to use to the full the provisions in the Agreement on Trade-Related Aspects of Intellectual Property Rights regarding flexibilities to protect public health, and, in particular, provide access to medicines for all","3.b.1","Proportion of the target population covered by all vaccines included in their national programme","2","SH_ACS_MCV2","Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","90","93","93","96","97","94","95","98","98","98","99","99","99","98","98","98",2016.0,"98","Estimated data","WHO/UNICEF coverage estimates 2016 revision, July 2017"
"10","Antarctica","ATA","21.47585697","-80.40897662","3","Ensure healthy lives and promote well-being for all at all ages","3.b","Support the research and development of vaccines and medicines for the communicable and non-communicable diseases that primarily affect developing countries, provide access to affordable essential medicines and vaccines, in accordance with the Doha Declaration on the TRIPS Agreement and Public Health, which affirms the right of developing countries to use to the full the provisions in the Agreement on Trade-Related Aspects of Intellectual Property Rights regarding flexibilities to protect public health, and, in particular, provide access to medicines for all","3.b.1","Proportion of the target population covered by all vaccines included in their national programme","2","SH_ACS_MCV2","Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","",""
"12","Algeria","DZA","2.678164227","28.15940032","3","Ensure healthy lives and promote well-being for all at all ages","3.b","Support the research and development of vaccines and medicines for the communicable and non-communicable diseases that primarily affect developing countries, provide access to affordable essential medicines and vaccines, in accordance with the Doha Declaration on the TRIPS Agreement and Public Health, which affirms the right of developing countries to use to the full the provisions in the Agreement on Trade-Related Aspects of Intellectual Property Rights regarding flexibilities to protect public health, and, in particular, provide access to medicines for all","3.b.1","Proportion of the target population covered by all vaccines included in their national programme","2","SH_ACS_MCV2","Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","78","73","93","96","94","94","98","95","96","98","95","96","95","93","99","99","96",2016.0,"96","Estimated data","WHO/UNICEF coverage estimates 2016 revision, July 2017"
"16","American Samoa","ASM","-170.7187269","-14.30587306","3","Ensure healthy lives and promote well-being for all at all ages","3.b","Support the research and development of vaccines and medicines for the communicable and non-communicable diseases that primarily affect developing countries, provide access to affordable essential medicines and vaccines, in accordance with the Doha Declaration on the TRIPS Agreement and Public Health, which affirms the right of developing countries to use to the full the provisions in the Agreement on Trade-Related Aspects of Intellectual Property Rights regarding flexibilities to protect public health, and, in particular, provide access to medicines for all","3.b.1","Proportion of the target population covered by all vaccines included in their national programme","2","SH_ACS_MCV2","Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","",""
"20","Andorra","AND","1.576257417","42.54548611","3","Ensure healthy lives and promote well-being for all at all ages","3.b","Support the research and development of vaccines and medicines for the communicable and non-communicable diseases that primarily affect developing countries, provide access to affordable essential medicines and vaccines, in accordance with the Doha Declaration on the TRIPS Agreement and Public Health, which affirms the right of developing countries to use to the full the provisions in the Agreement on Trade-Related Aspects of Intellectual Property Rights regarding flexibilities to protect public health, and, in particular, provide access to medicines for all","3.b.1","Proportion of the target population covered by all vaccines included in their national programme","2","SH_ACS_MCV2","Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","80","86","82","86","82","89","91","90","88","90",2016.0,"90","Estimated data","WHO/UNICEF coverage estimates 2016 revision, July 2017"
"24","Angola","AGO","17.57817062","-12.33724746","3","Ensure healthy lives and promote well-being for all at all ages","3.b","Support the research and development of vaccines and medicines for the communicable and non-communicable diseases that primarily affect developing countries, provide access to affordable essential medicines and vaccines, in accordance with the Doha Declaration on the TRIPS Agreement and Public Health, which affirms the right of developing countries to use to the full the provisions in the Agreement on Trade-Related Aspects of Intellectual Property Rights regarding flexibilities to protect public health, and, in particular, provide access to medicines for all","3.b.1","Proportion of the target population covered by all vaccines included in their national programme","2","SH_ACS_MCV2","Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","26","26",2016.0,"26","Estimated data","WHO/UNICEF coverage estimates 2016 revision, July 2017"
"28","Antigua and Barbuda","ATG","-61.7999755","17.07761471","3","Ensure healthy lives and promote well-being for all at all ages","3.b","Support the research and development of vaccines and medicines for the communicable and non-communicable diseases that primarily affect developing countries, provide access to affordable essential medicines and vaccines, in accordance with the Doha Declaration on the TRIPS Agreement and Public Health, which affirms the right of developing countries to use to the full the provisions in the Agreement on Trade-Related Aspects of Intellectual Property Rights regarding flexibilities to protect public health, and, in particular, provide access to medicines for all","3.b.1","Proportion of the target population covered by all vaccines included in their national programme","2","SH_ACS_MCV2","Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","46","68","78","83","94","92","89","90","87","87","87","87",2016.0,"87","Estimated data","WHO/UNICEF coverage estimates 2016 revision, July 2017"
"31","Azerbaijan","AZE","50.01064725","40.39229544","3","Ensure healthy lives and promote well-being for all at all ages","3.b","Support the research and development of vaccines and medicines for the communicable and non-communicable diseases that primarily affect developing countries, provide access to affordable essential medicines and vaccines, in accordance with the Doha Declaration on the TRIPS Agreement and Public Health, which affirms the right of developing countries to use to the full the provisions in the Agreement on Trade-Related Aspects of Intellectual Property Rights regarding flexibilities to protect public health, and, in particular, provide access to medicines for all","3.b.1","Proportion of the target population covered by all vaccines included in their national programme","2","SH_ACS_MCV2","Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","65","67","66","67","67","68","75","79","83","89","92","95","98","98","98","98",2016.0,"98","Estimated data","WHO/UNICEF coverage estimates 2016 revision, July 2017"
"32","Argentina","ARG","-65.14563274","-35.19446255","3","Ensure healthy lives and promote well-being for all at all ages","3.b","Support the research and development of vaccines and medicines for the communicable and non-communicable diseases that primarily affect developing countries, provide access to affordable essential medicines and vaccines, in accordance with the Doha Declaration on the TRIPS Agreement and Public Health, which affirms the right of developing countries to use to the full the provisions in the Agreement on Trade-Related Aspects of Intellectual Property Rights regarding flexibilities to protect public health, and, in particular, provide access to medicines for all","3.b.1","Proportion of the target population covered by all vaccines included in their national programme","2","SH_ACS_MCV2","Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","56","56","83","80","93","88","91","84","88","96","94","91","89","83","96","87","88",2016.0,"88","Estimated data","WHO/UNICEF coverage estimates 2016 revision, July 2017"
