"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","Age_Code","Age_Desc","ReportingType_Code","ReportingType_Desc","Sex_Code","Sex_Desc","Value_2002.0","Value_2007.0","Value_2012.0","Value_2017.0","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"1","World","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","8.2","7.5","6.4","5.0",2017.0,"5.0","Estimated data","DHS, MICS and other national surveys","Based on 106 countries covering 63 per cent of the regional population of women aged 20-24 years"
"2","Africa","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","",""
"5","South America","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","",""
"9","Oceania","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","",""
"11","Western Africa","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","",""
"13","Central America","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","",""
"14","Eastern Africa","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","",""
"15","Northern Africa","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","5.8","4.6","4.5","3.9",2017.0,"3.9","Estimated data","DHS, MICS and other national surveys","Based on 4 countries covering 82 per cent of the regional population of women aged 20-24 years"
"17","Middle Africa","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","",""
"18","Southern Africa","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","",""
"19","Americas","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","",""
"21","Northern America","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","",""
"29","Caribbean","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","",""
"30","Eastern Asia","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","",""
"34","Southern Asia","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","18.9","16.6","12.7","7.6",2017.0,"7.6","Estimated data","DHS, MICS and other national surveys","Based on 7 countries covering 99 per cent of the regional population of women aged 20-24 years"
"35","South-Eastern Asia","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","2.8","2.6","2.2","1.8",2017.0,"1.8","Estimated data","DHS, MICS and other national surveys","Based on 8 countries covering 94 per cent of the regional population of women aged 20-24 years"
"39","Southern Europe","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","",""
"53","Australia and New Zealand","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","",""
"54","Melanesia","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","",""
"57","Micronesia","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","",""
"61","Polynesia","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","",""
"62","Central and Southern Asia","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","18.6","16.3","12.4","7.4",2017.0,"7.4","Estimated data","DHS, MICS and other national surveys","Based on 11 countries covering 97 per cent of the regional population of women aged 20-24 years"
"97","European Union","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","",""
"127","Southern Asia (excluding India)","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","",""
"135","Caucasus and Central Asia","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","",""
"142","Asia","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","",""
"143","Central Asia","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","0.3","0.3","0.3","0.3",2017.0,"0.3","Estimated data","DHS, MICS and other national surveys","Based on 4 countries covering 52 per cent of the regional population of women aged 20-24 years"
"145","Western Asia","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","6.3","5.9","4.6","3.4",2017.0,"3.4","Estimated data","DHS, MICS and other national surveys","Based on 8 countries covering 70 per cent of the regional population of women aged 20-24 years"
"150","Europe","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","",""
"151","Eastern Europe","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","",""
