series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Bounds	Units description	Bounds description	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	ER_RSK_LSTI	Red List Index	4	66.02688198	33.83160199	AFG	Afghanistan	1	INDEX	LB	Index	Lower bound	0.82868	0.82951	0.8307	0.83028	0.83137	0.83192	0.83197	0.83227	0.83186	0.83178	0.83151	0.83061	0.82989	0.82978	0.82781	0.82699	0.82691	0.82623	0.82479	0.82337	0.82292	0.82196	0.82197	0.82109	0.81949	0.81772	0.820446	2018	0.81772	BirdLife International and IUCN (2018), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
2018.Q2.G.01	ER_RSK_LSTI	Red List Index	4	66.02688198	33.83160199	AFG	Afghanistan	2	INDEX	MP	Index	P	0.8406	0.84051	0.84031	0.84014	0.83989	0.83968	0.83933	0.83902	0.83875	0.83841	0.83814	0.83804	0.83792	0.83783	0.83784	0.83786	0.83777	0.83776	0.83767	0.83758	0.83751	0.83743	0.83735	0.8373	0.83719	0.83709	0.837272	2018	0.83709	BirdLife International and IUCN (2018), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
2018.Q2.G.01	ER_RSK_LSTI	Red List Index	4	66.02688198	33.83160199	AFG	Afghanistan	3	INDEX	UB	Index	Upper bound	0.84263	0.8418	0.84132	0.84083	0.84041	0.8402	0.84	0.83984	0.83967	0.83939	0.83912	0.8388	0.83852	0.83834	0.83827	0.83817	0.83835	0.83883	0.8392	0.8397	0.83996	0.84086	0.84149	0.84198	0.84158	0.84331	0.841844	2018	0.84331	BirdLife International and IUCN (2018), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
2018.Q2.G.01	ER_RSK_LSTI	Red List Index	8	20.06660928	41.13897007	ALB	Albania	1	INDEX	LB	Index	Lower bound	0.88817	0.8883	0.88686	0.88458	0.88703	0.88252	0.88136	0.87943	0.87684	0.87344	0.87031	0.86876	0.86445	0.86001	0.85545	0.84983	0.84623	0.84149	0.83886	0.8321	0.82434	0.81983	0.81385	0.81277	0.80106	0.80191	0.809884	2018	0.80191	BirdLife International and IUCN (2018), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
2018.Q2.G.01	ER_RSK_LSTI	Red List Index	8	20.06660928	41.13897007	ALB	Albania	2	INDEX	MP	Index	P	0.91477	0.91223	0.90954	0.9062	0.90413	0.90086	0.89692	0.89437	0.89165	0.88919	0.88669	0.88561	0.883	0.88091	0.87921	0.8767	0.87406	0.8716	0.86924	0.8665	0.86488	0.86203	0.85919	0.85707	0.85495	0.85201	0.85705	2018	0.85201	BirdLife International and IUCN (2018), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
2018.Q2.G.01	ER_RSK_LSTI	Red List Index	8	20.06660928	41.13897007	ALB	Albania	3	INDEX	UB	Index	Upper bound	0.9219	0.91795	0.91524	0.91217	0.90942	0.90679	0.90422	0.90164	0.89915	0.89667	0.89404	0.89156	0.88909	0.88664	0.88644	0.88669	0.88692	0.88735	0.8872	0.88777	0.88855	0.88839	0.889	0.88908	0.8898	0.89013	0.88928	2018	0.89013	BirdLife International and IUCN (2018), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
2018.Q2.G.01	ER_RSK_LSTI	Red List Index	10	21.47585697	-80.40897662	ATA	Antarctica	1	INDEX	LB	Index	Lower bound																															
2018.Q2.G.01	ER_RSK_LSTI	Red List Index	10	21.47585697	-80.40897662	ATA	Antarctica	2	INDEX	MP	Index	P																															
2018.Q2.G.01	ER_RSK_LSTI	Red List Index	10	21.47585697	-80.40897662	ATA	Antarctica	3	INDEX	UB	Index	Upper bound																															
2018.Q2.G.01	ER_RSK_LSTI	Red List Index	12	2.678164227	28.15940032	DZA	Algeria	1	INDEX	LB	Index	Lower bound	0.90332	0.90344	0.90309	0.90321	0.90322	0.90335	0.90364	0.90351	0.90337	0.90299	0.90238	0.90184	0.90169	0.90117	0.90068	0.89984	0.89982	0.89941	0.89869	0.89867	0.89787	0.89784	0.89704	0.89633	0.89587	0.89567	0.89655	2018	0.89567	BirdLife International and IUCN (2018), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
2018.Q2.G.01	ER_RSK_LSTI	Red List Index	12	2.678164227	28.15940032	DZA	Algeria	2	INDEX	MP	Index	P	0.90943	0.90902	0.90871	0.90842	0.90815	0.90786	0.90745	0.90706	0.90667	0.90639	0.90608	0.90584	0.90567	0.90567	0.90561	0.90553	0.90547	0.90539	0.90524	0.9051	0.90489	0.90475	0.90466	0.90451	0.90432	0.90421	0.90449	2018	0.90421	BirdLife International and IUCN (2018), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
