"ISO3CD","X","Y","GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","EducationLevel_Code","EducationLevel_Desc","ReportingType_Code","ReportingType_Desc","Units_Code","Units_Desc","Footnotes_2000","Footnotes_2003","Footnotes_2006","Footnotes_2009","Footnotes_2012","Footnotes_2013","Footnotes_2015","Nature_Code_2000","Nature_Code_2003","Nature_Code_2006","Nature_Code_2009","Nature_Code_2012","Nature_Code_2013","Nature_Code_2015","Source_2000","Source_2003","Source_2006","Source_2009","Source_2012","Source_2013","Source_2015","TimeDetail_2000","TimeDetail_2003","TimeDetail_2006","TimeDetail_2009","TimeDetail_2012","TimeDetail_2013","TimeDetail_2015","Value_2000","Value_2003","Value_2006","Value_2009","Value_2012","Value_2013","Value_2015","Latest_Year","Latest_Value"
"CHL","-71.23029019","-35.2652885","152","Chile","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_NAP_ACHIRE","Native parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","GRAD23","Grades 2/3","G","Global","Ratio","Ratio","","","","","","","","","","","","","C","","","","","","","Latin American Laboratory for Assessment of the Quality of Education (UNESCO Office in Santiago)","","","","","","","","","","","","","","0.93212","",2013.0,"0.93212"
"CHL","-71.23029019","-35.2652885","152","Chile","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_NAP_ACHIRE","Native parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","LOWSEC","Lower secondary","G","Global","Ratio","Ratio","","","","","","","","C","","C","C","C","","","Programme for International Student Assessment (OECD)","","Programme for International Student Assessment (OECD)","Programme for International Student Assessment (OECD)","Programme for International Student Assessment (OECD)","","","","","","","","","","0.94673","","1.20566","0.8008","1.05179","","",2012.0,"1.05179"
"CHL","-71.23029019","-35.2652885","152","Chile","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_NAP_ACHIRE","Native parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","PRIMAR","Primary","G","Global","Ratio","Ratio","","","","","","","","","","","","","C","","","","","","","Latin American Laboratory for Assessment of the Quality of Education (UNESCO Office in Santiago)","","","","","","","","","","","","","","1.03165","",2013.0,"1.03165"
"CRI","-84.19712782","9.970998683","188","Costa Rica","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_NAP_ACHIRE","Native parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","GRAD23","Grades 2/3","G","Global","Ratio","Ratio","","","","","","","","","","","","","C","","","","","","","Latin American Laboratory for Assessment of the Quality of Education (UNESCO Office in Santiago)","","","","","","","","","","","","","","1.07516","",2013.0,"1.07516"
"CRI","-84.19712782","9.970998683","188","Costa Rica","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_NAP_ACHIRE","Native parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","LOWSEC","Lower secondary","G","Global","Ratio","Ratio","","","","","","","","","","","C","C","","C","","","","Programme for International Student Assessment (OECD)","Programme for International Student Assessment (OECD)","","Programme for International Student Assessment (OECD)","","","","","","","","","","","0.86347","0.79073","","0.77164",2015.0,"0.77164"
"CRI","-84.19712782","9.970998683","188","Costa Rica","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_NAP_ACHIRE","Native parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","PRIMAR","Primary","G","Global","Ratio","Ratio","","","","","","","","","","","","","C","","","","","","","Latin American Laboratory for Assessment of the Quality of Education (UNESCO Office in Santiago)","","","","","","","","","","","","","","1.02574","",2013.0,"1.02574"
"DOM","-70.49847576","18.89832088","214","Dominican Republic","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_NAP_ACHIRE","Native parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","GRAD23","Grades 2/3","G","Global","Ratio","Ratio","","","","","","","","","","","","","C","","","","","","","Latin American Laboratory for Assessment of the Quality of Education (UNESCO Office in Santiago)","","","","","","","","","","","","","","0.77127","",2013.0,"0.77127"
"DOM","-70.49847576","18.89832088","214","Dominican Republic","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_NAP_ACHIRE","Native parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","LOWSEC","Lower secondary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","C","","","","","","","Programme for International Student Assessment (OECD)","","","","","","","","","","","","","","0.41822",2015.0,"0.41822"
"DOM","-70.49847576","18.89832088","214","Dominican Republic","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_NAP_ACHIRE","Native parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","PRIMAR","Primary","G","Global","Ratio","Ratio","","","","","","","","","","","","","C","","","","","","","Latin American Laboratory for Assessment of the Quality of Education (UNESCO Office in Santiago)","","","","","","","","","","","","","","0.69085","",2013.0,"0.69085"
"ARG","-65.14563274","-35.19446255","32","Argentina","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_NAP_ACHIRE","Native parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","GRAD23","Grades 2/3","G","Global","Ratio","Ratio","","","","","","","","","","","","","C","","","","","","","Latin American Laboratory for Assessment of the Quality of Education (UNESCO Office in Santiago)","","","","","","","","","","","","","","0.79894","",2013.0,"0.79894"
