"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2001.0","Value_2002.0","Value_2003.0","Value_2004.0","Value_2005.0","Value_2006.0","Value_2007.0","Value_2008.0","Value_2009.0","Value_2010.0","Value_2011.0","Value_2012.0","Value_2013.0","Value_2014.0","Value_2015.0","Value_2016.0","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"1","World","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.a","Increase investment, including through enhanced international cooperation, in rural infrastructure, agricultural research and extension services, technology development and plant and livestock gene banks in order to enhance agricultural productive capacity in developing countries, in particular least developed countries","2.a.1","The agriculture orientation index for government expenditures","1","AG_PRD_ORTIND","Agriculture orientation index for government expenditures","2019.Q1.G.01","INDEX","Index","G","Global","0.38","0.37","0.33","0.33","0.35","0.37","0.31","0.32","0.27","0.25","0.25","0.24","0.22","0.22","0.22","0.23",2016.0,"0.23","Data nature not available","Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.","Combined Budgetary and Central Government Expenditure"
"2","Africa","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.a","Increase investment, including through enhanced international cooperation, in rural infrastructure, agricultural research and extension services, technology development and plant and livestock gene banks in order to enhance agricultural productive capacity in developing countries, in particular least developed countries","2.a.1","The agriculture orientation index for government expenditures","1","AG_PRD_ORTIND","Agriculture orientation index for government expenditures","2019.Q1.G.01","INDEX","Index","G","Global","","","","","","","","","","","","","","","","","","","","",""
"5","South America","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.a","Increase investment, including through enhanced international cooperation, in rural infrastructure, agricultural research and extension services, technology development and plant and livestock gene banks in order to enhance agricultural productive capacity in developing countries, in particular least developed countries","2.a.1","The agriculture orientation index for government expenditures","1","AG_PRD_ORTIND","Agriculture orientation index for government expenditures","2019.Q1.G.01","INDEX","Index","G","Global","0.21","0.15","0.14","0.16","0.17","0.18","0.25","0.34","0.18","0.15","0.11","0.15","0.13","0.13","0.16","0.15",2016.0,"0.15","Data nature not available","Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.","Combined Budgetary and Central Government Expenditure"
"9","Oceania","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.a","Increase investment, including through enhanced international cooperation, in rural infrastructure, agricultural research and extension services, technology development and plant and livestock gene banks in order to enhance agricultural productive capacity in developing countries, in particular least developed countries","2.a.1","The agriculture orientation index for government expenditures","1","AG_PRD_ORTIND","Agriculture orientation index for government expenditures","2019.Q1.G.01","INDEX","Index","G","Global","0.24","0.30","0.31","0.31","0.30","0.49","0.45","0.57","0.36","0.36","0.30","0.32","0.25","0.24","0.24","0.20",2016.0,"0.20","Data nature not available","Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.","Combined Budgetary and Central Government Expenditure"
"11","Western Africa","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.a","Increase investment, including through enhanced international cooperation, in rural infrastructure, agricultural research and extension services, technology development and plant and livestock gene banks in order to enhance agricultural productive capacity in developing countries, in particular least developed countries","2.a.1","The agriculture orientation index for government expenditures","1","AG_PRD_ORTIND","Agriculture orientation index for government expenditures","2019.Q1.G.01","INDEX","Index","G","Global","0.17","0.21","0.07","0.14","0.18","0.24","0.22","0.23","0.16","0.11","0.13","0.11","0.09","0.23","0.20","",2015.0,"0.20","Data nature not available","Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.","Combined Budgetary and Central Government Expenditure"
"13","Central America","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.a","Increase investment, including through enhanced international cooperation, in rural infrastructure, agricultural research and extension services, technology development and plant and livestock gene banks in order to enhance agricultural productive capacity in developing countries, in particular least developed countries","2.a.1","The agriculture orientation index for government expenditures","1","AG_PRD_ORTIND","Agriculture orientation index for government expenditures","2019.Q1.G.01","INDEX","Index","G","Global","0.24","0.19","0.24","0.25","0.24","0.28","0.31","0.35","0.31","0.50","0.50","0.58","0.33","0.28","0.24","0.24",2016.0,"0.24","Data nature not available","Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.","Combined Budgetary and Central Government Expenditure"
"14","Eastern Africa","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.a","Increase investment, including through enhanced international cooperation, in rural infrastructure, agricultural research and extension services, technology development and plant and livestock gene banks in order to enhance agricultural productive capacity in developing countries, in particular least developed countries","2.a.1","The agriculture orientation index for government expenditures","1","AG_PRD_ORTIND","Agriculture orientation index for government expenditures","2019.Q1.G.01","INDEX","Index","G","Global","0.17","0.19","0.18","0.18","0.25","0.24","0.25","0.23","0.23","0.21","0.17","0.15","0.18","0.19","0.14","0.10",2016.0,"0.10","Data nature not available","Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.","Combined Budgetary and Central Government Expenditure"
"15","Northern Africa","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.a","Increase investment, including through enhanced international cooperation, in rural infrastructure, agricultural research and extension services, technology development and plant and livestock gene banks in order to enhance agricultural productive capacity in developing countries, in particular least developed countries","2.a.1","The agriculture orientation index for government expenditures","1","AG_PRD_ORTIND","Agriculture orientation index for government expenditures","2019.Q1.G.01","INDEX","Index","G","Global","1.05","1.14","0.95","0.37","0.26","0.26","0.21","0.31","0.22","0.14","0.13","0.17","0.17","0.14","0.13","0.12",2016.0,"0.12","Data nature not available","Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.","Combined Budgetary and Central Government Expenditure"
"17","Middle Africa","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.a","Increase investment, including through enhanced international cooperation, in rural infrastructure, agricultural research and extension services, technology development and plant and livestock gene banks in order to enhance agricultural productive capacity in developing countries, in particular least developed countries","2.a.1","The agriculture orientation index for government expenditures","1","AG_PRD_ORTIND","Agriculture orientation index for government expenditures","2019.Q1.G.01","INDEX","Index","G","Global","0.15","0.09","0.10","0.21","0.34","0.32","0.56","0.42","0.15","0.14","0.16","0.22","0.18","0.15","0.14","0.23",2016.0,"0.23","Data nature not available","Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.","Combined Budgetary and Central Government Expenditure"
"18","Southern Africa","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.a","Increase investment, including through enhanced international cooperation, in rural infrastructure, agricultural research and extension services, technology development and plant and livestock gene banks in order to enhance agricultural productive capacity in developing countries, in particular least developed countries","2.a.1","The agriculture orientation index for government expenditures","1","AG_PRD_ORTIND","Agriculture orientation index for government expenditures","2019.Q1.G.01","INDEX","Index","G","Global","0.59","0.50","0.68","0.62","0.89","0.83","0.92","0.78","0.71","0.81","0.78","0.81","0.81","0.79","0.75","2.08",2016.0,"2.08","Data nature not available","Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.","Combined Budgetary and Central Government Expenditure"
