series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Location	Units	Location description	Units description	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	4	66.02688198	33.83160199	AFG	Afghanistan	1	ALLAREA	PERCENT	All areas	Percentage	0.96	0.78	6.27	11.75	17.24	23	28.23	33.75	42.4	44.85	42.7	43.22	69.1	67.26	89.5	71.5	84.14	76.3	2016	84.14	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	4	66.02688198	33.83160199	AFG	Afghanistan	2	URBAN	PERCENT	Urban	Percentage	69.64	71.37	73.1	74.83	76.56	74	80.04	81.8	89.9	85.35	82.8	86.57	95	92.58	98.7	92.5	98.04	95.364	2016	98.04	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	4	66.02688198	33.83160199	AFG	Afghanistan	3	RURAL	PERCENT	Rural	Percentage						13	12.54	18.92	32.5	31.85	32.4	33.38	63.8	58.42	87.8	64.2	78.96	70.636	2016	78.96	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	8	20.06660928	41.13897007	ALB	Albania	1	ALLAREA	PERCENT	All areas	Percentage	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	8	20.06660928	41.13897007	ALB	Albania	2	URBAN	PERCENT	Urban	Percentage	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	8	20.06660928	41.13897007	ALB	Albania	3	RURAL	PERCENT	Rural	Percentage	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	10	21.47585697	-80.40897662	ATA	Antarctica	1	ALLAREA	PERCENT	All areas	Percentage																						
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	10	21.47585697	-80.40897662	ATA	Antarctica	2	URBAN	PERCENT	Urban	Percentage																						
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	10	21.47585697	-80.40897662	ATA	Antarctica	3	RURAL	PERCENT	Rural	Percentage																						
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	12	2.678164227	28.15940032	DZA	Algeria	1	ALLAREA	PERCENT	All areas	Percentage	98.97	98.94	98.91	98.87	98.83	98.8	98.77	98.77	99.3	98.83	98.88	98.96	98.76	99.13	99.23	99.34	99.44	99.18	2016	99.44	Source: Global Tracking Framework 2018	E
