"GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Age_Code","Age_Desc","ReportingType_Code","ReportingType_Desc","Nature_Code","Nature_Desc","Units_Code","Units_Desc","GeoArea_Code","GeoArea_Desc","Year","TimeDetail","Value","ValueType","Source","Footnotes","ISO3CD","X","Y"
"16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.9","By 2030, provide legal identity for all, including birth registration","16.9.1","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age","1","SG_REG_BRTH","Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age)","2019.Q1.G.01","<5Y","under 5 years old","G","Global","C","Country data","NUM_U5_M","Millions of children aged 0-59 months","4","Afghanistan",2015.0,"","42.3000000000000","Float","DHS","","AFG","66.02688198","33.83160199"
"16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.9","By 2030, provide legal identity for all, including birth registration","16.9.1","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age","1","SG_REG_BRTH","Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age)","2019.Q1.G.01","<5Y","under 5 years old","G","Global","C","Country data","NUM_U5_M","Millions of children aged 0-59 months","8","Albania",2009.0,"","98.6000000000000","Float","DHS","Not included in aggregates as falls outside year range","ALB","20.06660928","41.13897007"
"16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.9","By 2030, provide legal identity for all, including birth registration","16.9.1","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age","1","SG_REG_BRTH","Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age)","2019.Q1.G.01","<5Y","under 5 years old","G","Global","C","Country data","NUM_U5_M","Millions of children aged 0-59 months","12","Algeria",2013.0,"","99.6000000000000","Float","MICS","","DZA","2.678164227","28.15940032"
"16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.9","By 2030, provide legal identity for all, including birth registration","16.9.1","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age","1","SG_REG_BRTH","Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age)","2019.Q1.G.01","<5Y","under 5 years old","G","Global","E","Estimated data","NUM_U5_M","Millions of children aged 0-59 months","20","Andorra",2012.0,"","100.0000000000000","Float","UNSD","Estimates of 100% are assumed given the completeness of the civil registration system and all vital events (including births) are registered","AND","1.576257417","42.54548611"
"16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.9","By 2030, provide legal identity for all, including birth registration","16.9.1","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age","1","SG_REG_BRTH","Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age)","2019.Q1.G.01","<5Y","under 5 years old","G","Global","C","Country data","NUM_U5_M","Millions of children aged 0-59 months","24","Angola",2016.0,"","25","Float","DHS","","AGO","17.57817062","-12.33724746"
"16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.9","By 2030, provide legal identity for all, including birth registration","16.9.1","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age","1","SG_REG_BRTH","Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age)","2019.Q1.G.01","<5Y","under 5 years old","G","Global","C","Country data","NUM_U5_M","Millions of children aged 0-59 months","32","Argentina",2012.0,"","99.5000000000000","Float","MICS","Children with a birth certificate","ARG","-65.14563274","-35.19446255"
"16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.9","By 2030, provide legal identity for all, including birth registration","16.9.1","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age","1","SG_REG_BRTH","Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age)","2019.Q1.G.01","<5Y","under 5 years old","G","Global","C","Country data","NUM_U5_M","Millions of children aged 0-59 months","51","Armenia",2016.0,"","99.3","Float","DHS","","ARM","44.93839317","40.29499741"
"16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.9","By 2030, provide legal identity for all, including birth registration","16.9.1","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age","1","SG_REG_BRTH","Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age)","2019.Q1.G.01","<5Y","under 5 years old","G","Global","E","Estimated data","NUM_U5_M","Millions of children aged 0-59 months","36","Australia",2013.0,"","100.0000000000000","Float","UNSD","Estimates of 100% are assumed given the completeness of the civil registration system and all vital events (including births) are registered","AUS","134.3499412","-25.57717202"
"16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.9","By 2030, provide legal identity for all, including birth registration","16.9.1","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age","1","SG_REG_BRTH","Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age)","2019.Q1.G.01","<5Y","under 5 years old","G","Global","E","Estimated data","NUM_U5_M","Millions of children aged 0-59 months","53","Australia and New Zealand",2017.0,"","100.0","Float","DHS, MICS, other national surveys, censuses and vital registration systems","Based on 2 countries with a population coverage of 100 per cent","","",""
"16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.9","By 2030, provide legal identity for all, including birth registration","16.9.1","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age","1","SG_REG_BRTH","Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age)","2019.Q1.G.01","<5Y","under 5 years old","G","Global","E","Estimated data","NUM_U5_M","Millions of children aged 0-59 months","40","Austria",2014.0,"","100.0000000000000","Float","UNSD","Estimates of 100% are assumed given the completeness of the civil registration system and all vital events (including births) are registered","AUT","14.14172472","47.58704857"
