"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","Bounds_Code","Bounds_Desc","ReportingType_Code","ReportingType_Desc","Value_1985.0","Value_1986.0","Value_1987.0","Value_1988.0","Value_1989.0","Value_1990.0","Value_1991.0","Value_1992.0","Value_1993.0","Value_1994.0","Value_1995.0","Value_1996.0","Value_1997.0","Value_1998.0","Value_1999.0","Value_2000.0","Value_2001.0","Value_2002.0","Value_2003.0","Value_2004.0","Value_2005.0","Value_2006.0","Value_2007.0","Value_2008.0","Value_2009.0","Value_2010.0","Value_2011.0","Value_2012.0","Value_2013.0","Value_2014.0","Value_2015.0","Latest_Year","Latest_Value","Nature_Desc","Source"
"1","World","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","LB","Lower bound","G","Global","","","","","","359","356","354","353","351","348","346","342","338","332","325","318","308","298","287","277","266","259","249","244","237","229","223","217","212","207",2015.0,"207","Data nature not available","Trends in maternal mortality: 1990 to 2015, estimates by World Health Organisation (WHO), United Nations Children's Fund (UNICEF), United Nations Population Fund (UNFPA), World Bank Group and the United Nations Population Division."
"1","World","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","MP","Mid-point","G","Global","","","","","","385","381","378","375","372","369","366","361","356","349","341","332","322","310","299","288","277","268","258","254","246","237","232","226","221","216",2015.0,"216","Data nature not available","Trends in maternal mortality: 1990 to 2015, estimates by World Health Organisation (WHO), United Nations Children's Fund (UNICEF), United Nations Population Fund (UNFPA), World Bank Group and the United Nations Population Division."
"1","World","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","UB","Upper bound","G","Global","","","","","","427","420","416","413","409","404","399","394","387","379","370","359","348","335","322","310","298","290","280","277","271","263","259","255","252","249",2015.0,"249","Data nature not available","Trends in maternal mortality: 1990 to 2015, estimates by World Health Organisation (WHO), United Nations Children's Fund (UNICEF), United Nations Population Fund (UNFPA), World Bank Group and the United Nations Population Division."
"2","Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","LB","Lower bound","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","MP","Mid-point","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","UB","Upper bound","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","South America","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","LB","Lower bound","G","Global","","","","","","119","117","113","110","106","103","103","102","102","95","86","82","82","81","81","80","79","78","76","76","75","71","69","63","60","58",2015.0,"58","Data nature not available","Trends in maternal mortality: 1990 to 2015, estimates by World Health Organisation (WHO), United Nations Children's Fund (UNICEF), United Nations Population Fund (UNFPA), World Bank Group and the United Nations Population Division."
"5","South America","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","MP","Mid-point","G","Global","","","","","","127","124","120","117","112","108","107","106","106","98","88","85","85","84","84","83","82","81","80","79","78","74","72","66","64","62",2015.0,"62","Data nature not available","Trends in maternal mortality: 1990 to 2015, estimates by World Health Organisation (WHO), United Nations Children's Fund (UNICEF), United Nations Population Fund (UNFPA), World Bank Group and the United Nations Population Division."
"5","South America","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","UB","Upper bound","G","Global","","","","","","139","135","130","126","120","114","113","111","110","103","92","89","89","88","88","87","87","86","85","84","84","80","78","73","72","71",2015.0,"71","Data nature not available","Trends in maternal mortality: 1990 to 2015, estimates by World Health Organisation (WHO), United Nations Children's Fund (UNICEF), United Nations Population Fund (UNFPA), World Bank Group and the United Nations Population Division."
"9","Oceania","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.1","Maternal mortality ratio","1","SH_STA_MMR","Maternal mortality ratio","2019.Q1.G.01","PER_100000_LIVE_BIRTHS","Per 100,000 live births","MP","Mid-point","G","Global","","","","","","159","153","148","143","140","138","138","138","138","138","134","130","126","121","114","108","103","100","98","95","91","88","86","85","83","82",2015.0,"82","Data nature not available","Trends in maternal mortality: 1990 to 2015, estimates by World Health Organisation (WHO), United Nations Children's Fund (UNICEF), United Nations Population Fund (UNFPA), World Bank Group and the United Nations Population Division."
