"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","EducationLevel_Code","EducationLevel_Desc","ReportingType_Code","ReportingType_Desc","Value_2000","Value_2001","Value_2003","Value_2006","Value_2009","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Latest_Year","Latest_Value","Nature_Desc","Source"
"4","Afghanistan","AFG","66.02688198","33.83160199","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_URP_REAACH","Rural to urban parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","Ratio","Ratio","PRIMAR","Primary","G","Global","","","","","","","","","","","","","",""
"4","Afghanistan","AFG","66.02688198","33.83160199","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_URP_REAACH","Rural to urban parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","Ratio","Ratio","GRAD23","Grades 2/3","G","Global","","","","","","","","","","","","","",""
"4","Afghanistan","AFG","66.02688198","33.83160199","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_URP_REAACH","Rural to urban parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","Ratio","Ratio","LOWSEC","Lower secondary","G","Global","","","","","","","","","","","","","",""
"8","Albania","ALB","20.06660928","41.13897007","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_URP_REAACH","Rural to urban parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","Ratio","Ratio","GRAD23","Grades 2/3","G","Global","","","","","","","","","","","","","",""
"8","Albania","ALB","20.06660928","41.13897007","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_URP_REAACH","Rural to urban parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","Ratio","Ratio","PRIMAR","Primary","G","Global","","","","","","","","","","","","","",""
"8","Albania","ALB","20.06660928","41.13897007","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_URP_REAACH","Rural to urban parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","Ratio","Ratio","LOWSEC","Lower secondary","G","Global","0.32384","","","","0.58105","","0.90674","","","0.66903",2015.0,"0.66903","Country data","Programme for International Student Assessment (OECD)"
"10","Antarctica","ATA","21.47585697","-80.40897662","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_URP_REAACH","Rural to urban parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","Ratio","Ratio","GRAD23","Grades 2/3","G","Global","","","","","","","","","","","","","",""
"10","Antarctica","ATA","21.47585697","-80.40897662","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_URP_REAACH","Rural to urban parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","Ratio","Ratio","PRIMAR","Primary","G","Global","","","","","","","","","","","","","",""
"10","Antarctica","ATA","21.47585697","-80.40897662","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_URP_REAACH","Rural to urban parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","Ratio","Ratio","LOWSEC","Lower secondary","G","Global","","","","","","","","","","","","","",""
"12","Algeria","DZA","2.678164227","28.15940032","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_URP_REAACH","Rural to urban parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","Ratio","Ratio","LOWSEC","Lower secondary","G","Global","","","","","","","","","","0.74517",2015.0,"0.74517","Country data","Programme for International Student Assessment (OECD)"
