"ISO3CD","X","Y","GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","EducationLevel_Code","EducationLevel_Desc","ReportingType_Code","ReportingType_Desc","Units_Code","Units_Desc","Footnotes_2000","Footnotes_2001","Footnotes_2003","Footnotes_2006","Footnotes_2009","Footnotes_2011","Footnotes_2012","Footnotes_2013","Footnotes_2014","Footnotes_2015","Nature_Code_2000","Nature_Code_2001","Nature_Code_2003","Nature_Code_2006","Nature_Code_2009","Nature_Code_2011","Nature_Code_2012","Nature_Code_2013","Nature_Code_2014","Nature_Code_2015","Source_2000","Source_2001","Source_2003","Source_2006","Source_2009","Source_2011","Source_2012","Source_2013","Source_2014","Source_2015","TimeDetail_2000","TimeDetail_2001","TimeDetail_2003","TimeDetail_2006","TimeDetail_2009","TimeDetail_2011","TimeDetail_2012","TimeDetail_2013","TimeDetail_2014","TimeDetail_2015","Value_2000","Value_2001","Value_2003","Value_2006","Value_2009","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Latest_Year","Latest_Value"
"BDI","29.89080992","-3.366387428","108","Burundi","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_LGP_ACHIRE","Language test parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","GRAD23","Grades 2/3","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","C","","","","","","","","","","Programme d'analyse des systèmes éducatifs de la Confemen","","","","","","","","","","","","","","","","","","","","0.62651","",2014.0,"0.62651"
"BDI","29.89080992","-3.366387428","108","Burundi","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_LGP_ACHIRE","Language test parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","LOWSEC","Lower secondary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BDI","29.89080992","-3.366387428","108","Burundi","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_LGP_ACHIRE","Language test parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","PRIMAR","Primary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","C","","","","","","","","","","Programme d'analyse des systèmes éducatifs de la Confemen","","","","","","","","","","","","","","","","","","","","0.90724","",2014.0,"0.90724"
"CMR","12.7419827","5.692387031","120","Cameroon","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_LGP_ACHIRE","Language test parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","GRAD23","Grades 2/3","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","C","","","","","","","","","","Programme d'analyse des systèmes éducatifs de la Confemen","","","","","","","","","","","","","","","","","","","","0.24692","",2014.0,"0.24692"
"CMR","12.7419827","5.692387031","120","Cameroon","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_LGP_ACHIRE","Language test parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","LOWSEC","Lower secondary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CMR","12.7419827","5.692387031","120","Cameroon","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_LGP_ACHIRE","Language test parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","PRIMAR","Primary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","C","","","","","","","","","","Programme d'analyse des systèmes éducatifs de la Confemen","","","","","","","","","","","","","","","","","","","","0.52505","",2014.0,"0.52505"
"CAN","-101.6575058","57.72360191","124","Canada","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_LGP_ACHIRE","Language test parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","GRAD23","Grades 2/3","G","Global","Ratio","Ratio","","","","","","","","","","","","C","","","","C","","","","","","Progress in International Reading Literacy Study (IEA)","","","","Progress in International Reading Literacy Study (IEA)","","","","","","","","","","","","","","","","0.94742","","","","0.99022","","","","",2011.0,"0.99022"
"CAN","-101.6575058","57.72360191","124","Canada","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_LGP_ACHIRE","Language test parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","LOWSEC","Lower secondary","G","Global","Ratio","Ratio","","","","","","","","","","","C","","C","C","C","","C","","","C","Programme for International Student Assessment (OECD)","","Programme for International Student Assessment (OECD)","Programme for International Student Assessment (OECD)","Programme for International Student Assessment (OECD)","","Programme for International Student Assessment (OECD)","","","Programme for International Student Assessment (OECD)","","","","","","","","","","","0.91094","","0.92713","0.92244","0.94112","","0.98443","","","0.96578",2015.0,"0.96578"
"CAN","-101.6575058","57.72360191","124","Canada","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_LGP_ACHIRE","Language test parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","PRIMAR","Primary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TCD","18.66618401","15.36279341","148","Chad","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_LGP_ACHIRE","Language test parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","GRAD23","Grades 2/3","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","C","","","","","","","","","","Programme d'analyse des systèmes éducatifs de la Confemen","","","","","","","","","","","","","","","","","","","","0.33738","",2014.0,"0.33738"
