"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2000","Value_2001","Value_2002","Value_2003","Value_2004","Value_2005","Value_2006","Value_2007","Value_2008","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Value_2016","Value_2017","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"4","Afghanistan","AFG","66.02688198","33.83160199","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.2","Manufacturing employment as a proportion of total employment","1","SL_TLF_MANF","Manufacturing employment as a proportion of total employment (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","4.55","","","","6.77","","","","","",2012.0,"6.77","Country adjusted data","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Living Condition Survey","Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO-STATISTICS - Micro data processing"
"8","Albania","ALB","20.06660928","41.13897007","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.2","Manufacturing employment as a proportion of total employment","1","SL_TLF_MANF","Manufacturing employment as a proportion of total employment (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","4.82","7.07","8.05","8.23","7.66","7.16","7.49","8.65","9.25","","",2015.0,"9.25","[2007-2013]: Country adjusted data // [2014-2015]: Country data","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Labour Force Survey","[2014-2015]: Population coverage: Excluding both institutional population and armed forces and/or conscripts // [2008-2013]: Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO-STATISTICS - Micro data processing // [2007]: Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO-STATISTICS - Micro data processing; Break in series: Methodology revised"
"10","Antarctica","ATA","21.47585697","-80.40897662","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.2","Manufacturing employment as a proportion of total employment","1","SL_TLF_MANF","Manufacturing employment as a proportion of total employment (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"12","Algeria","DZA","2.678164227","28.15940032","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.2","Manufacturing employment as a proportion of total employment","1","SL_TLF_MANF","Manufacturing employment as a proportion of total employment (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","10.14","","9.23","10.86","","","","","","","","","","11.32","","","",2014.0,"11.32","Country data","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Enquête Emploi auprès des Ménages","Data reference period: September"
"16","American Samoa","ASM","-170.7187269","-14.30587306","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.2","Manufacturing employment as a proportion of total employment","1","SL_TLF_MANF","Manufacturing employment as a proportion of total employment (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"20","Andorra","AND","1.576257417","42.54548611","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.2","Manufacturing employment as a proportion of total employment","1","SL_TLF_MANF","Manufacturing employment as a proportion of total employment (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"24","Angola","AGO","17.57817062","-12.33724746","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.2","Manufacturing employment as a proportion of total employment","1","SL_TLF_MANF","Manufacturing employment as a proportion of total employment (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","3.03","","","","","","","1.65","","","","","","",2011.0,"1.65","Country adjusted data","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) - être","Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO-STATISTICS - Micro data processing"
"28","Antigua and Barbuda","ATG","-61.7999755","17.07761471","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.2","Manufacturing employment as a proportion of total employment","1","SL_TLF_MANF","Manufacturing employment as a proportion of total employment (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"31","Azerbaijan","AZE","50.01064725","40.39229544","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.2","Manufacturing employment as a proportion of total employment","1","SL_TLF_MANF","Manufacturing employment as a proportion of total employment (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","4.86","","","3.7","4.83","4.82","5.01","4.83","4.81","4.85","4.96","4.93","4.92","5.09","",2016.0,"5.09","Country data","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Labour Force Survey","[2009-2016]: Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts // [2003,2006-2008]: Population coverage: Excluding armed forces and/or conscripts"
"32","Argentina","ARG","-65.14563274","-35.19446255","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.2","Manufacturing employment as a proportion of total employment","1","SL_TLF_MANF","Manufacturing employment as a proportion of total employment (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","13.99","13.9","13.17","13.74","14.12","14.28","14.26","14.32","14.06","13.26","13.6","13.37","13.13","13.21","13.14","","","",2014.0,"13.14","[2004-2006,2008-2014]: Country adjusted data // [2000-2003,2007]: Country data","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Encuesta Permanente de Hogares (Urban)","[2000-2002]: Data reference period: Incomplete year | Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 10 years old | Age coverage - maximum age: None; Break in series: Methodology revised // [2003]: Data reference period: Second semester | Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 10 years old | Age coverage - maximum age: None; Break in series: Other or unspecified type of break // [2006,2011]: Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas; Break in series: Methodology revised | Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures. // [2004-2005,2008-2010,2012-2014]: Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas; Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures. // [2007]: Repository: NSO |Geographical coverage: Main cities or metropolitan areas"
