"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","Age_Code","Age_Desc","ReportingType_Code","ReportingType_Desc","Sex_Code","Sex_Desc","Value_2000.0","Value_2001.0","Value_2002.0","Value_2003.0","Value_2004.0","Value_2005.0","Value_2006.0","Value_2007.0","Value_2008.0","Value_2009.0","Value_2010.0","Value_2011.0","Value_2012.0","Value_2013.0","Value_2014.0","Value_2015.0","Value_2016.0","Value_2017.0","Latest_Year","Latest_Value","Nature_Desc","Source"
"1","World","3","Ensure healthy lives and promote well-being for all at all ages","3.2","By 2030, end preventable deaths of newborns and children under 5 years of age, with all countries aiming to reduce neonatal mortality to at least as low as 12 per 1,000 live births and under-5 mortality to at least as low as 25 per 1,000 live births","3.2.2","Neonatal mortality rate","1","SH_DYN_NMRT","Neonatal mortality rate (deaths per 1,000 live births)","2019.Q1.G.01","PER_1000_LIVE_BIRTHS","Per 1,000 live births","<1M","under 1 month old","G","Global","BOTHSEX","Both sexes","30.6","29.7","28.8","27.8","26.9","26","25.1","24.3","23.6","22.8","22.1","21.4","20.8","20.1","19.6","19","18.5","18",2017.0,"18","Estimated data","United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2018."
"2","Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.2","By 2030, end preventable deaths of newborns and children under 5 years of age, with all countries aiming to reduce neonatal mortality to at least as low as 12 per 1,000 live births and under-5 mortality to at least as low as 25 per 1,000 live births","3.2.2","Neonatal mortality rate","1","SH_DYN_NMRT","Neonatal mortality rate (deaths per 1,000 live births)","2019.Q1.G.01","PER_1000_LIVE_BIRTHS","Per 1,000 live births","<1M","under 1 month old","G","Global","BOTHSEX","Both sexes","","","","","","","","","","","","","","","","","","","","","",""
"5","South America","3","Ensure healthy lives and promote well-being for all at all ages","3.2","By 2030, end preventable deaths of newborns and children under 5 years of age, with all countries aiming to reduce neonatal mortality to at least as low as 12 per 1,000 live births and under-5 mortality to at least as low as 25 per 1,000 live births","3.2.2","Neonatal mortality rate","1","SH_DYN_NMRT","Neonatal mortality rate (deaths per 1,000 live births)","2019.Q1.G.01","PER_1000_LIVE_BIRTHS","Per 1,000 live births","<1M","under 1 month old","G","Global","BOTHSEX","Both sexes","16","15.3","14.6","14","13.4","12.9","12.3","11.8","11.4","11","10.7","10.3","10","9.8","9.7","9.5","9.7","9.3",2017.0,"9.3","Estimated data","United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2018."
"9","Oceania","3","Ensure healthy lives and promote well-being for all at all ages","3.2","By 2030, end preventable deaths of newborns and children under 5 years of age, with all countries aiming to reduce neonatal mortality to at least as low as 12 per 1,000 live births and under-5 mortality to at least as low as 25 per 1,000 live births","3.2.2","Neonatal mortality rate","1","SH_DYN_NMRT","Neonatal mortality rate (deaths per 1,000 live births)","2019.Q1.G.01","PER_1000_LIVE_BIRTHS","Per 1,000 live births","<1M","under 1 month old","G","Global","BOTHSEX","Both sexes","13.5","13.5","13.4","13.4","13.2","13","12.8","12.5","12.3","12.1","11.8","11.6","11.4","11.2","11","10.8","10.6","10.3",2017.0,"10.3","Estimated data","United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2018."
"11","Western Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.2","By 2030, end preventable deaths of newborns and children under 5 years of age, with all countries aiming to reduce neonatal mortality to at least as low as 12 per 1,000 live births and under-5 mortality to at least as low as 25 per 1,000 live births","3.2.2","Neonatal mortality rate","1","SH_DYN_NMRT","Neonatal mortality rate (deaths per 1,000 live births)","2019.Q1.G.01","PER_1000_LIVE_BIRTHS","Per 1,000 live births","<1M","under 1 month old","G","Global","BOTHSEX","Both sexes","45.9","44.8","43.7","42.6","41.5","40.5","39.5","38.5","37.6","36.7","35.8","35","34.2","33.4","32.7","31.9","31.2","30.6",2017.0,"30.6","Estimated data","United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2018."
"13","Central America","3","Ensure healthy lives and promote well-being for all at all ages","3.2","By 2030, end preventable deaths of newborns and children under 5 years of age, with all countries aiming to reduce neonatal mortality to at least as low as 12 per 1,000 live births and under-5 mortality to at least as low as 25 per 1,000 live births","3.2.2","Neonatal mortality rate","1","SH_DYN_NMRT","Neonatal mortality rate (deaths per 1,000 live births)","2019.Q1.G.01","PER_1000_LIVE_BIRTHS","Per 1,000 live births","<1M","under 1 month old","G","Global","BOTHSEX","Both sexes","14.4","13.5","12.7","12","11.3","10.7","10.3","10","9.9","9.7","9.6","9.4","9.1","8.9","8.7","8.6","8.4","8.4",2017.0,"8.4","Estimated data","United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2018."
"14","Eastern Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.2","By 2030, end preventable deaths of newborns and children under 5 years of age, with all countries aiming to reduce neonatal mortality to at least as low as 12 per 1,000 live births and under-5 mortality to at least as low as 25 per 1,000 live births","3.2.2","Neonatal mortality rate","1","SH_DYN_NMRT","Neonatal mortality rate (deaths per 1,000 live births)","2019.Q1.G.01","PER_1000_LIVE_BIRTHS","Per 1,000 live births","<1M","under 1 month old","G","Global","BOTHSEX","Both sexes","38.7","37.7","36.7","35.7","34.7","33.8","32.9","32.1","31.2","30.4","29.6","28.8","28","27.2","26.4","25.7","25","24.4",2017.0,"24.4","Estimated data","United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2018."
"15","Northern Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.2","By 2030, end preventable deaths of newborns and children under 5 years of age, with all countries aiming to reduce neonatal mortality to at least as low as 12 per 1,000 live births and under-5 mortality to at least as low as 25 per 1,000 live births","3.2.2","Neonatal mortality rate","1","SH_DYN_NMRT","Neonatal mortality rate (deaths per 1,000 live births)","2019.Q1.G.01","PER_1000_LIVE_BIRTHS","Per 1,000 live births","<1M","under 1 month old","G","Global","BOTHSEX","Both sexes","26.3","25.7","25.1","24.5","23.9","23.2","22.5","21.8","21.1","20.4","19.8","19.1","18.6","18","17.6","17.1","16.7","16.3",2017.0,"16.3","Estimated data","United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2018."
"17","Middle Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.2","By 2030, end preventable deaths of newborns and children under 5 years of age, with all countries aiming to reduce neonatal mortality to at least as low as 12 per 1,000 live births and under-5 mortality to at least as low as 25 per 1,000 live births","3.2.2","Neonatal mortality rate","1","SH_DYN_NMRT","Neonatal mortality rate (deaths per 1,000 live births)","2019.Q1.G.01","PER_1000_LIVE_BIRTHS","Per 1,000 live births","<1M","under 1 month old","G","Global","BOTHSEX","Both sexes","40.8","40.2","39.6","39","38.3","37.6","36.8","36","35.2","34.4","33.6","32.9","32.2","31.5","30.8","30.2","29.6","29",2017.0,"29","Estimated data","United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2018."
"18","Southern Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.2","By 2030, end preventable deaths of newborns and children under 5 years of age, with all countries aiming to reduce neonatal mortality to at least as low as 12 per 1,000 live births and under-5 mortality to at least as low as 25 per 1,000 live births","3.2.2","Neonatal mortality rate","1","SH_DYN_NMRT","Neonatal mortality rate (deaths per 1,000 live births)","2019.Q1.G.01","PER_1000_LIVE_BIRTHS","Per 1,000 live births","<1M","under 1 month old","G","Global","BOTHSEX","Both sexes","19.7","19.3","19","18.6","18.3","17.8","17.4","16.9","16.5","16","15.5","14.9","14.5","14.2","13.9","13.6","13.3","13",2017.0,"13","Estimated data","United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2018."
