"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2017.0","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"1","World","6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.2","Proportion of transboundary basin area with an operational arrangement for water cooperation","2","EG_TBA_H2CORL","Proportion of transboundary river and lake basins with an operational arrangement for water cooperation (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","63.51",2017.0,"63.51","Global monitoring data","Source: Values aggregated by custodian agencies; ","Based on 84 countries out of 149 countries sharing transboundary river and lake basins"
"2","Africa","6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.2","Proportion of transboundary basin area with an operational arrangement for water cooperation","2","EG_TBA_H2CORL","Proportion of transboundary river and lake basins with an operational arrangement for water cooperation (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"5","South America","6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.2","Proportion of transboundary basin area with an operational arrangement for water cooperation","2","EG_TBA_H2CORL","Proportion of transboundary river and lake basins with an operational arrangement for water cooperation (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"9","Oceania","6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.2","Proportion of transboundary basin area with an operational arrangement for water cooperation","2","EG_TBA_H2CORL","Proportion of transboundary river and lake basins with an operational arrangement for water cooperation (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"11","Western Africa","6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.2","Proportion of transboundary basin area with an operational arrangement for water cooperation","2","EG_TBA_H2CORL","Proportion of transboundary river and lake basins with an operational arrangement for water cooperation (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"13","Central America","6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.2","Proportion of transboundary basin area with an operational arrangement for water cooperation","2","EG_TBA_H2CORL","Proportion of transboundary river and lake basins with an operational arrangement for water cooperation (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"14","Eastern Africa","6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.2","Proportion of transboundary basin area with an operational arrangement for water cooperation","2","EG_TBA_H2CORL","Proportion of transboundary river and lake basins with an operational arrangement for water cooperation (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"15","Northern Africa","6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.2","Proportion of transboundary basin area with an operational arrangement for water cooperation","2","EG_TBA_H2CORL","Proportion of transboundary river and lake basins with an operational arrangement for water cooperation (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"17","Middle Africa","6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.2","Proportion of transboundary basin area with an operational arrangement for water cooperation","2","EG_TBA_H2CORL","Proportion of transboundary river and lake basins with an operational arrangement for water cooperation (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"18","Southern Africa","6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.2","Proportion of transboundary basin area with an operational arrangement for water cooperation","2","EG_TBA_H2CORL","Proportion of transboundary river and lake basins with an operational arrangement for water cooperation (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"19","Americas","6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.2","Proportion of transboundary basin area with an operational arrangement for water cooperation","2","EG_TBA_H2CORL","Proportion of transboundary river and lake basins with an operational arrangement for water cooperation (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"21","Northern America","6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.2","Proportion of transboundary basin area with an operational arrangement for water cooperation","2","EG_TBA_H2CORL","Proportion of transboundary river and lake basins with an operational arrangement for water cooperation (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"29","Caribbean","6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.2","Proportion of transboundary basin area with an operational arrangement for water cooperation","2","EG_TBA_H2CORL","Proportion of transboundary river and lake basins with an operational arrangement for water cooperation (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"30","Eastern Asia","6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.2","Proportion of transboundary basin area with an operational arrangement for water cooperation","2","EG_TBA_H2CORL","Proportion of transboundary river and lake basins with an operational arrangement for water cooperation (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
