series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Sex	Units	Age description	Sex description	Units description	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)	4	66.02688198	33.83160199	AFG	Afghanistan	1	15-49	FEMALE	PERCENT	15 to 49 years old	Female	Percentage																	42.1			42.1	2016	42.1	Afghanistan 2015 Demographic and Health Survey	C
2018.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)	8	20.06660928	41.13897007	ALB	Albania	1	15-49	FEMALE	PERCENT	15 to 49 years old	Female	Percentage										12.9											2009	12.9	Albania 2008-2009 Demographic and Health Survey	C
2018.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)	10	21.47585697	-80.40897662	ATA	Antarctica	1	15-49	FEMALE	PERCENT	15 to 49 years old	Female	Percentage																								
2018.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)	12	2.678164227	28.15940032	DZA	Algeria	1	15-49	FEMALE	PERCENT	15 to 49 years old	Female	Percentage														77.2							2013	77.2	Algeria 2012-2013 Multiple Indicator Cluster Survey	C
2018.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	15-49	FEMALE	PERCENT	15 to 49 years old	Female	Percentage																								
2018.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)	20	1.576257417	42.54548611	AND	Andorra	1	15-49	FEMALE	PERCENT	15 to 49 years old	Female	Percentage																								
2018.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)	24	17.57817062	-12.33724746	AGO	Angola	1	15-49	FEMALE	PERCENT	15 to 49 years old	Female	Percentage																	24.2			24.2	2016	24.2	Angola 2015-2016 Demographic and Health Survey	C
2018.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	15-49	FEMALE	PERCENT	15 to 49 years old	Female	Percentage																								
2018.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	15-49	FEMALE	PERCENT	15 to 49 years old	Female	Percentage		17.8					21.5														2006	21.5	Azerbaijan 2006 Demographic and Health Survey	C
2018.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)	32	-65.14563274	-35.19446255	ARG	Argentina	1	15-49	FEMALE	PERCENT	15 to 49 years old	Female	Percentage																								
2018.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)	36	134.3499412	-25.57717202	AUS	Australia	1	15-49	FEMALE	PERCENT	15 to 49 years old	Female	Percentage																								
2018.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)	40	14.14172472	47.58704857	AUT	Austria	1	15-49	FEMALE	PERCENT	15 to 49 years old	Female	Percentage																								
2018.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)	44	-78.05111663	24.69546597	BHS	Bahamas	1	15-49	FEMALE	PERCENT	15 to 49 years old	Female	Percentage																								
2018.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)	48	50.5490754	26.04407747	BHR	Bahrain	1	15-49	FEMALE	PERCENT	15 to 49 years old	Female	Percentage																								
2018.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)	50	89.17660788	22.86961622	BGD	Bangladesh	1	15-49	FEMALE	PERCENT	15 to 49 years old	Female	Percentage	60.7				64.8			65.4				69.7		78.3	72.5					72.5	2014	72.5	Bangladesh 2014 Demographic and Health Survey	C
2018.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)	51	44.93839317	40.29499741	ARM	Armenia	1	15-49	FEMALE	PERCENT	15 to 49 years old	Female	Percentage	28.4					26.9					39.2						40.2			40.2	2016	40.2	Armenia 2015 Demographic and Health Survey	C
2018.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)	52	-59.5346489	13.13648273	BRB	Barbados	1	15-49	FEMALE	PERCENT	15 to 49 years old	Female	Percentage													70								2012	70	Barbados 2012 Multiple Indicator Cluster Survey	C
2018.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)	56	4.660976456	50.64104975	BEL	Belgium	1	15-49	FEMALE	PERCENT	15 to 49 years old	Female	Percentage																								
2018.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)	60	-64.78155012	32.27881922	BMU	Bermuda	1	15-49	FEMALE	PERCENT	15 to 49 years old	Female	Percentage																								
2018.Q2.G.01	SH_FPL_MTMM	Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)	64	90.45098484	27.39598568	BTN	Bhutan	1	15-49	FEMALE	PERCENT	15 to 49 years old	Female	Percentage											84.6										2010	84.6	Bhutan 2010 Multiple Indicator Survey	C
