series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Sex	Units	Type of skill	Sex description	Units description	Type of skill description	2014	2015	2016	2017	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	SE_ADT_ACTS	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)	4	66.02688198	33.83160199	AFG	Afghanistan	1	BOTHSEX	PERCENT	PCPR	Both	Percentage	writing a computer program using a specialized programming language									
2018.Q2.G.01	SE_ADT_ACTS	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)	4	66.02688198	33.83160199	AFG	Afghanistan	2	MALE	PERCENT	PCPR	Male	Percentage	writing a computer program using a specialized programming language									
2018.Q2.G.01	SE_ADT_ACTS	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)	4	66.02688198	33.83160199	AFG	Afghanistan	3	FEMALE	PERCENT	CMFL	Female	Percentage	Copying or moving a file or folder									
2018.Q2.G.01	SE_ADT_ACTS	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)	4	66.02688198	33.83160199	AFG	Afghanistan	4	MALE	PERCENT	CMFL	Male	Percentage	Copying or moving a file or folder									
2018.Q2.G.01	SE_ADT_ACTS	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)	4	66.02688198	33.83160199	AFG	Afghanistan	5	MALE	PERCENT	TRAF	Male	Percentage	transferring files between a computer and other devices									
2018.Q2.G.01	SE_ADT_ACTS	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)	4	66.02688198	33.83160199	AFG	Afghanistan	6	FEMALE	PERCENT	TRAF	Female	Percentage	transferring files between a computer and other devices									
2018.Q2.G.01	SE_ADT_ACTS	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)	4	66.02688198	33.83160199	AFG	Afghanistan	7	BOTHSEX	PERCENT	TRAF	Both	Percentage	transferring files between a computer and other devices									
2018.Q2.G.01	SE_ADT_ACTS	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)	4	66.02688198	33.83160199	AFG	Afghanistan	8	FEMALE	PERCENT	PCPR	Female	Percentage	writing a computer program using a specialized programming language									
2018.Q2.G.01	SE_ADT_ACTS	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)	4	66.02688198	33.83160199	AFG	Afghanistan	9	BOTHSEX	PERCENT	CMFL	Both	Percentage	Copying or moving a file or folder									
2018.Q2.G.01	SE_ADT_ACTS	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)	4	66.02688198	33.83160199	AFG	Afghanistan	10	FEMALE	PERCENT	EPRS	Female	Percentage	creating electronic presentations with presentation software									
2018.Q2.G.01	SE_ADT_ACTS	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)	4	66.02688198	33.83160199	AFG	Afghanistan	11	MALE	PERCENT	EPRS	Male	Percentage	creating electronic presentations with presentation software									
2018.Q2.G.01	SE_ADT_ACTS	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)	4	66.02688198	33.83160199	AFG	Afghanistan	12	BOTHSEX	PERCENT	EPRS	Both	Percentage	creating electronic presentations with presentation software									
2018.Q2.G.01	SE_ADT_ACTS	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)	4	66.02688198	33.83160199	AFG	Afghanistan	13	BOTHSEX	PERCENT	SOFT	Both	Percentage	finding, downloading, installing and configuring software									
2018.Q2.G.01	SE_ADT_ACTS	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)	4	66.02688198	33.83160199	AFG	Afghanistan	14	BOTHSEX	PERCENT	COPA	Both	Percentage	using copy and paste tools to duplicate or move information within a document									
2018.Q2.G.01	SE_ADT_ACTS	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)	4	66.02688198	33.83160199	AFG	Afghanistan	15	BOTHSEX	PERCENT	EMAIL	Both	Percentage	sending e-mails with attached files									
2018.Q2.G.01	SE_ADT_ACTS	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)	4	66.02688198	33.83160199	AFG	Afghanistan	16	BOTHSEX	PERCENT	ARSP	Both	Percentage	using basic arithmetic formula in a spreadsheet									
2018.Q2.G.01	SE_ADT_ACTS	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)	4	66.02688198	33.83160199	AFG	Afghanistan	17	BOTHSEX	PERCENT	INST	Both	Percentage	connecting and installing new devices									
2018.Q2.G.01	SE_ADT_ACTS	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)	4	66.02688198	33.83160199	AFG	Afghanistan	18	FEMALE	PERCENT	SOFT	Female	Percentage	finding, downloading, installing and configuring software									
2018.Q2.G.01	SE_ADT_ACTS	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)	4	66.02688198	33.83160199	AFG	Afghanistan	19	MALE	PERCENT	SOFT	Male	Percentage	finding, downloading, installing and configuring software									
2018.Q2.G.01	SE_ADT_ACTS	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)	4	66.02688198	33.83160199	AFG	Afghanistan	20	FEMALE	PERCENT	COPA	Female	Percentage	using copy and paste tools to duplicate or move information within a document									
2018.Q2.G.01	SE_ADT_ACTS	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)	4	66.02688198	33.83160199	AFG	Afghanistan	21	MALE	PERCENT	COPA	Male	Percentage	using copy and paste tools to duplicate or move information within a document									
2018.Q2.G.01	SE_ADT_ACTS	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)	4	66.02688198	33.83160199	AFG	Afghanistan	22	MALE	PERCENT	EMAIL	Male	Percentage	sending e-mails with attached files									
2018.Q2.G.01	SE_ADT_ACTS	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)	4	66.02688198	33.83160199	AFG	Afghanistan	23	FEMALE	PERCENT	EMAIL	Female	Percentage	sending e-mails with attached files									
2018.Q2.G.01	SE_ADT_ACTS	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)	4	66.02688198	33.83160199	AFG	Afghanistan	24	MALE	PERCENT	INST	Male	Percentage	connecting and installing new devices									
2018.Q2.G.01	SE_ADT_ACTS	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)	4	66.02688198	33.83160199	AFG	Afghanistan	25	FEMALE	PERCENT	ARSP	Female	Percentage	using basic arithmetic formula in a spreadsheet									
2018.Q2.G.01	SE_ADT_ACTS	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)	4	66.02688198	33.83160199	AFG	Afghanistan	26	MALE	PERCENT	ARSP	Male	Percentage	using basic arithmetic formula in a spreadsheet									
2018.Q2.G.01	SE_ADT_ACTS	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)	4	66.02688198	33.83160199	AFG	Afghanistan	27	FEMALE	PERCENT	INST	Female	Percentage	connecting and installing new devices									
2018.Q2.G.01	SE_ADT_ACTS	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)	8	20.06660928	41.13897007	ALB	Albania	1	BOTHSEX	PERCENT	PCPR	Both	Percentage	writing a computer program using a specialized programming language									
2018.Q2.G.01	SE_ADT_ACTS	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)	8	20.06660928	41.13897007	ALB	Albania	2	MALE	PERCENT	PCPR	Male	Percentage	writing a computer program using a specialized programming language									
2018.Q2.G.01	SE_ADT_ACTS	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)	8	20.06660928	41.13897007	ALB	Albania	3	FEMALE	PERCENT	CMFL	Female	Percentage	Copying or moving a file or folder									
2018.Q2.G.01	SE_ADT_ACTS	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)	8	20.06660928	41.13897007	ALB	Albania	4	MALE	PERCENT	CMFL	Male	Percentage	Copying or moving a file or folder									
2018.Q2.G.01	SE_ADT_ACTS	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)	8	20.06660928	41.13897007	ALB	Albania	5	MALE	PERCENT	TRAF	Male	Percentage	transferring files between a computer and other devices									
2018.Q2.G.01	SE_ADT_ACTS	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)	8	20.06660928	41.13897007	ALB	Albania	6	FEMALE	PERCENT	TRAF	Female	Percentage	transferring files between a computer and other devices									
2018.Q2.G.01	SE_ADT_ACTS	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)	8	20.06660928	41.13897007	ALB	Albania	7	BOTHSEX	PERCENT	TRAF	Both	Percentage	transferring files between a computer and other devices									
2018.Q2.G.01	SE_ADT_ACTS	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)	8	20.06660928	41.13897007	ALB	Albania	8	FEMALE	PERCENT	PCPR	Female	Percentage	writing a computer program using a specialized programming language									
2018.Q2.G.01	SE_ADT_ACTS	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)	8	20.06660928	41.13897007	ALB	Albania	9	BOTHSEX	PERCENT	CMFL	Both	Percentage	Copying or moving a file or folder									
2018.Q2.G.01	SE_ADT_ACTS	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)	8	20.06660928	41.13897007	ALB	Albania	10	FEMALE	PERCENT	EPRS	Female	Percentage	creating electronic presentations with presentation software									
2018.Q2.G.01	SE_ADT_ACTS	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)	8	20.06660928	41.13897007	ALB	Albania	11	MALE	PERCENT	EPRS	Male	Percentage	creating electronic presentations with presentation software									
2018.Q2.G.01	SE_ADT_ACTS	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)	8	20.06660928	41.13897007	ALB	Albania	12	BOTHSEX	PERCENT	EPRS	Both	Percentage	creating electronic presentations with presentation software									
2018.Q2.G.01	SE_ADT_ACTS	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)	8	20.06660928	41.13897007	ALB	Albania	13	BOTHSEX	PERCENT	SOFT	Both	Percentage	finding, downloading, installing and configuring software									
2018.Q2.G.01	SE_ADT_ACTS	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)	8	20.06660928	41.13897007	ALB	Albania	14	BOTHSEX	PERCENT	COPA	Both	Percentage	using copy and paste tools to duplicate or move information within a document									
2018.Q2.G.01	SE_ADT_ACTS	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)	8	20.06660928	41.13897007	ALB	Albania	15	BOTHSEX	PERCENT	EMAIL	Both	Percentage	sending e-mails with attached files									
2018.Q2.G.01	SE_ADT_ACTS	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)	8	20.06660928	41.13897007	ALB	Albania	16	BOTHSEX	PERCENT	ARSP	Both	Percentage	using basic arithmetic formula in a spreadsheet									
2018.Q2.G.01	SE_ADT_ACTS	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)	8	20.06660928	41.13897007	ALB	Albania	17	BOTHSEX	PERCENT	INST	Both	Percentage	connecting and installing new devices									
2018.Q2.G.01	SE_ADT_ACTS	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)	8	20.06660928	41.13897007	ALB	Albania	18	FEMALE	PERCENT	SOFT	Female	Percentage	finding, downloading, installing and configuring software									
2018.Q2.G.01	SE_ADT_ACTS	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)	8	20.06660928	41.13897007	ALB	Albania	19	MALE	PERCENT	SOFT	Male	Percentage	finding, downloading, installing and configuring software									
2018.Q2.G.01	SE_ADT_ACTS	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)	8	20.06660928	41.13897007	ALB	Albania	20	FEMALE	PERCENT	COPA	Female	Percentage	using copy and paste tools to duplicate or move information within a document									
2018.Q2.G.01	SE_ADT_ACTS	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)	8	20.06660928	41.13897007	ALB	Albania	21	MALE	PERCENT	COPA	Male	Percentage	using copy and paste tools to duplicate or move information within a document									
2018.Q2.G.01	SE_ADT_ACTS	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)	8	20.06660928	41.13897007	ALB	Albania	22	MALE	PERCENT	EMAIL	Male	Percentage	sending e-mails with attached files									
2018.Q2.G.01	SE_ADT_ACTS	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)	8	20.06660928	41.13897007	ALB	Albania	23	FEMALE	PERCENT	EMAIL	Female	Percentage	sending e-mails with attached files									
2018.Q2.G.01	SE_ADT_ACTS	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)	8	20.06660928	41.13897007	ALB	Albania	24	MALE	PERCENT	INST	Male	Percentage	connecting and installing new devices									
2018.Q2.G.01	SE_ADT_ACTS	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)	8	20.06660928	41.13897007	ALB	Albania	25	FEMALE	PERCENT	ARSP	Female	Percentage	using basic arithmetic formula in a spreadsheet									
2018.Q2.G.01	SE_ADT_ACTS	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)	8	20.06660928	41.13897007	ALB	Albania	26	MALE	PERCENT	ARSP	Male	Percentage	using basic arithmetic formula in a spreadsheet									
