"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","Bounds_Code","Bounds_Desc","ReportingType_Code","ReportingType_Desc","Value_2000.0","Value_2001.0","Value_2002.0","Value_2003.0","Value_2004.0","Value_2005.0","Value_2006.0","Value_2007.0","Value_2008.0","Value_2009.0","Value_2010.0","Value_2011.0","Value_2012.0","Value_2013.0","Value_2014.0","Value_2015.0","Value_2016.0","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"1","World","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.2","Tuberculosis incidence per 100,000 population","1","SH_TBS_INCID","Tuberculosis incidence (per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","LB","Lower bound","G","Global","144","144","144","144","143","141","140","138","136","134","131","129","127","124","122","120","118",2016.0,"118","Estimated data","WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)","Data extracted as of 9 January 2018, based on data originally compiled for the 2017 WHO Global TB Report"
"1","World","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.2","Tuberculosis incidence per 100,000 population","1","SH_TBS_INCID","Tuberculosis incidence (per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","MP","Mid-point","G","Global","173","173","173","172","171","170","167","165","162","160","156","154","151","148","145","142","140",2016.0,"140","Estimated data","WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)","Data extracted as of 9 January 2018, based on data originally compiled for the 2017 WHO Global TB Report"
"1","World","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.2","Tuberculosis incidence per 100,000 population","1","SH_TBS_INCID","Tuberculosis incidence (per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","UB","Upper bound","G","Global","204","204","204","203","202","200","198","194","191","188","184","181","177","173","170","167","164",2016.0,"164","Estimated data","WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)","Data extracted as of 9 January 2018, based on data originally compiled for the 2017 WHO Global TB Report"
"2","Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.2","Tuberculosis incidence per 100,000 population","1","SH_TBS_INCID","Tuberculosis incidence (per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","LB","Lower bound","G","Global","","","","","","","","","","","","","","","","","","","","","",""
"2","Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.2","Tuberculosis incidence per 100,000 population","1","SH_TBS_INCID","Tuberculosis incidence (per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","MP","Mid-point","G","Global","","","","","","","","","","","","","","","","","","","","","",""
"2","Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.2","Tuberculosis incidence per 100,000 population","1","SH_TBS_INCID","Tuberculosis incidence (per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","UB","Upper bound","G","Global","","","","","","","","","","","","","","","","","","","","","",""
"5","South America","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.2","Tuberculosis incidence per 100,000 population","1","SH_TBS_INCID","Tuberculosis incidence (per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","LB","Lower bound","G","Global","","","","","","","","","","","","","","","","","","","","","",""
"5","South America","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.2","Tuberculosis incidence per 100,000 population","1","SH_TBS_INCID","Tuberculosis incidence (per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","MP","Mid-point","G","Global","","","","","","","","","","","","","","","","","","","","","",""
"5","South America","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.2","Tuberculosis incidence per 100,000 population","1","SH_TBS_INCID","Tuberculosis incidence (per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","UB","Upper bound","G","Global","","","","","","","","","","","","","","","","","","","","","",""
"9","Oceania","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.2","Tuberculosis incidence per 100,000 population","1","SH_TBS_INCID","Tuberculosis incidence (per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","UB","Upper bound","G","Global","117","118","119","120","122","123","124","124","125","126","126","127","127","119","112","114","115",2016.0,"115","Estimated data","WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)","Data extracted as of 9 January 2018, based on data originally compiled for the 2017 WHO Global TB Report"
