"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2016.0","Latest_Year","Latest_Value","Nature_Desc","Source"
"1","World","3","Ensure healthy lives and promote well-being for all at all ages","3.9","By 2030, substantially reduce the number of deaths and illnesses from hazardous chemicals and air, water and soil pollution and contamination","3.9.1","Mortality rate attributed to household and ambient air pollution","1","SH_STA_AIRP","Crude death rate attributed to household and ambient air pollution (deaths per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","95",2016.0,"95","Estimated data","Global Health Observatory (GHO), World Health Organisation (WHO)"
"2","Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.9","By 2030, substantially reduce the number of deaths and illnesses from hazardous chemicals and air, water and soil pollution and contamination","3.9.1","Mortality rate attributed to household and ambient air pollution","1","SH_STA_AIRP","Crude death rate attributed to household and ambient air pollution (deaths per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","",""
"5","South America","3","Ensure healthy lives and promote well-being for all at all ages","3.9","By 2030, substantially reduce the number of deaths and illnesses from hazardous chemicals and air, water and soil pollution and contamination","3.9.1","Mortality rate attributed to household and ambient air pollution","1","SH_STA_AIRP","Crude death rate attributed to household and ambient air pollution (deaths per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","",""
"9","Oceania","3","Ensure healthy lives and promote well-being for all at all ages","3.9","By 2030, substantially reduce the number of deaths and illnesses from hazardous chemicals and air, water and soil pollution and contamination","3.9.1","Mortality rate attributed to household and ambient air pollution","1","SH_STA_AIRP","Crude death rate attributed to household and ambient air pollution (deaths per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","35",2016.0,"35","Estimated data","Global Health Observatory (GHO), World Health Organisation (WHO)"
"11","Western Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.9","By 2030, substantially reduce the number of deaths and illnesses from hazardous chemicals and air, water and soil pollution and contamination","3.9.1","Mortality rate attributed to household and ambient air pollution","1","SH_STA_AIRP","Crude death rate attributed to household and ambient air pollution (deaths per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","",""
"13","Central America","3","Ensure healthy lives and promote well-being for all at all ages","3.9","By 2030, substantially reduce the number of deaths and illnesses from hazardous chemicals and air, water and soil pollution and contamination","3.9.1","Mortality rate attributed to household and ambient air pollution","1","SH_STA_AIRP","Crude death rate attributed to household and ambient air pollution (deaths per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","",""
"14","Eastern Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.9","By 2030, substantially reduce the number of deaths and illnesses from hazardous chemicals and air, water and soil pollution and contamination","3.9.1","Mortality rate attributed to household and ambient air pollution","1","SH_STA_AIRP","Crude death rate attributed to household and ambient air pollution (deaths per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","",""
"15","Northern Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.9","By 2030, substantially reduce the number of deaths and illnesses from hazardous chemicals and air, water and soil pollution and contamination","3.9.1","Mortality rate attributed to household and ambient air pollution","1","SH_STA_AIRP","Crude death rate attributed to household and ambient air pollution (deaths per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","66",2016.0,"66","Estimated data","Global Health Observatory (GHO), World Health Organisation (WHO)"
"17","Middle Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.9","By 2030, substantially reduce the number of deaths and illnesses from hazardous chemicals and air, water and soil pollution and contamination","3.9.1","Mortality rate attributed to household and ambient air pollution","1","SH_STA_AIRP","Crude death rate attributed to household and ambient air pollution (deaths per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","",""
"18","Southern Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.9","By 2030, substantially reduce the number of deaths and illnesses from hazardous chemicals and air, water and soil pollution and contamination","3.9.1","Mortality rate attributed to household and ambient air pollution","1","SH_STA_AIRP","Crude death rate attributed to household and ambient air pollution (deaths per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","",""
"19","Americas","3","Ensure healthy lives and promote well-being for all at all ages","3.9","By 2030, substantially reduce the number of deaths and illnesses from hazardous chemicals and air, water and soil pollution and contamination","3.9.1","Mortality rate attributed to household and ambient air pollution","1","SH_STA_AIRP","Crude death rate attributed to household and ambient air pollution (deaths per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","",""
"21","Northern America","3","Ensure healthy lives and promote well-being for all at all ages","3.9","By 2030, substantially reduce the number of deaths and illnesses from hazardous chemicals and air, water and soil pollution and contamination","3.9.1","Mortality rate attributed to household and ambient air pollution","1","SH_STA_AIRP","Crude death rate attributed to household and ambient air pollution (deaths per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","23",2016.0,"23","Estimated data","Global Health Observatory (GHO), World Health Organisation (WHO)"
"29","Caribbean","3","Ensure healthy lives and promote well-being for all at all ages","3.9","By 2030, substantially reduce the number of deaths and illnesses from hazardous chemicals and air, water and soil pollution and contamination","3.9.1","Mortality rate attributed to household and ambient air pollution","1","SH_STA_AIRP","Crude death rate attributed to household and ambient air pollution (deaths per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","",""
"30","Eastern Asia","3","Ensure healthy lives and promote well-being for all at all ages","3.9","By 2030, substantially reduce the number of deaths and illnesses from hazardous chemicals and air, water and soil pollution and contamination","3.9.1","Mortality rate attributed to household and ambient air pollution","1","SH_STA_AIRP","Crude death rate attributed to household and ambient air pollution (deaths per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","128",2016.0,"128","Estimated data","Global Health Observatory (GHO), World Health Organisation (WHO)"
