series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Type of product	Units description	Type of product description	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	4	66.02688198	33.83160199	AFG	Afghanistan	1	KG_PER_CON_USD	NMM	Kilograms per constant USD	Non-metallic minerals	0.44605	0.51016	0.32159	0.34904	0.39329	0.38255	0.36784	0.35101	0.21613	0.19712	0.22728	0.27109	0.22833	0.21373	0.21172	0.22152	0.21967	0.218994	2016	0.21967	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	4	66.02688198	33.83160199	AFG	Afghanistan	2	KG_PER_CON_USD	MEO	Kilograms per constant USD	Metal ores	0.08366	0.08624	0.04971	0.06099	0.06103	0.05809	0.05819	0.05217	0.04023	0.03666	0.04579	0.05402	0.04798	0.04796	0.04442	0.04663	0.04653	0.046704	2016	0.04653	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	4	66.02688198	33.83160199	AFG	Afghanistan	3	KG_PER_CON_USD	FOF	Kilograms per constant USD	Fossil fuels	0.11717	0.12702	0.09231	0.1029	0.09484	0.09719	0.09008	0.09503	0.08353	0.07895	0.10135	0.10713	0.09075	0.10851	0.11205	0.11785	0.11858	0.109548	2016	0.11858	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	4	66.02688198	33.83160199	AFG	Afghanistan	4	KG_PER_CON_USD	RAW	Kilograms per constant USD	All raw materials	2.19262	3.60423	2.47846	2.53277	2.67222	2.69221	2.35559	2.32261	2.06997	2.23045	2.42876	2.22243	2.06092	1.89708	1.88516	1.95728	1.92859	1.945806	2016	1.92859	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	4	66.02688198	33.83160199	AFG	Afghanistan	5	KG_PER_CON_USD	BIM	Kilograms per constant USD	Biomass	1.54574	2.88081	2.01485	2.01984	2.12306	2.15438	1.83949	1.8244	1.73009	1.91772	2.05434	1.79019	1.69386	1.52689	1.51697	1.57127	1.54381	1.57056	2016	1.54381	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	8	20.06660928	41.13897007	ALB	Albania	1	KG_PER_CON_USD	NMM	Kilograms per constant USD	Non-metallic minerals	1.64204	1.79614	1.69905	2.05191	2.14926	2.26046	2.08035	1.7792	1.72634	2.06768	1.46396	1.4443	1.41411	1.39493	1.52221	1.53894	1.53703	1.481444	2016	1.53703	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	8	20.06660928	41.13897007	ALB	Albania	2	KG_PER_CON_USD	MEO	Kilograms per constant USD	Metal ores	0.06145	0.05785	0.05862	0.06377	0.07821	0.09295	0.08832	0.11091	0.12347	0.09746	0.10666	0.11242	0.11706	0.13507	0.14638	0.14699	0.14599	0.138298	2016	0.14599	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	8	20.06660928	41.13897007	ALB	Albania	3	KG_PER_CON_USD	FOF	Kilograms per constant USD	Fossil fuels	0.18577	0.16491	0.17105	0.17712	0.18806	0.18269	0.18437	0.19495	0.19369	0.16792	0.17538	0.19071	0.19435	0.20471	0.20985	0.20924	0.20838	0.205306	2016	0.20838	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	8	20.06660928	41.13897007	ALB	Albania	4	KG_PER_CON_USD	RAW	Kilograms per constant USD	All raw materials	2.43011	2.51657	2.41244	2.78404	2.92438	3.01912	2.8138	2.55631	2.49974	2.77916	2.18474	2.22608	2.19744	2.21432	2.35767	2.37164	2.36281	2.300776	2016	2.36281	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	8	20.06660928	41.13897007	ALB	Albania	5	KG_PER_CON_USD	BIM	Kilograms per constant USD	Biomass	0.54085	0.49768	0.48372	0.49124	0.50885	0.48302	0.46076	0.47125	0.45624	0.4461	0.43875	0.47865	0.47193	0.47961	0.47923	0.47647	0.47141	0.47573	2016	0.47141	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	10	21.47585697	-80.40897662	ATA	Antarctica	1	KG_PER_CON_USD	NMM	Kilograms per constant USD	Non-metallic minerals																						
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	10	21.47585697	-80.40897662	ATA	Antarctica	2	KG_PER_CON_USD	MEO	Kilograms per constant USD	Metal ores																						
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	10	21.47585697	-80.40897662	ATA	Antarctica	3	KG_PER_CON_USD	FOF	Kilograms per constant USD	Fossil fuels																						
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	10	21.47585697	-80.40897662	ATA	Antarctica	4	KG_PER_CON_USD	RAW	Kilograms per constant USD	All raw materials																						
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	10	21.47585697	-80.40897662	ATA	Antarctica	5	KG_PER_CON_USD	BIM	Kilograms per constant USD	Biomass																						
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	12	2.678164227	28.15940032	DZA	Algeria	1	KG_PER_CON_USD	NMM	Kilograms per constant USD	Non-metallic minerals	0.20318	0.19299	0.19858	0.16786	0.16783	0.15988	0.1585	0.17306	0.19442	0.21383	0.21041	0.21045	0.20006	0.20349	0.20124	0.19852	0.1965	0.199962	2016	0.1965	Environment Live Global Material Flows Database	E
