series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Type of product	Units description	Type of product description	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	4	66.02688198	33.83160199	AFG	Afghanistan	1	TONNES	BIM	tonnes	Biomass	0.41597	0.70081	0.77144	0.79761	0.82052	0.88032	0.79444	0.88988	0.84213	1.06649	1.14673	1.05293	1.06958	0.99311	0.98503	0.97296	0.96371	0.95616	0.974194	2017	0.95616	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	4	66.02688198	33.83160199	AFG	Afghanistan	2	TONNES	NMM	tonnes	Non-metallic minerals	0.12003	0.12411	0.12313	0.13783	0.152	0.15632	0.15886	0.17121	0.1052	0.10962	0.12687	0.15945	0.14418	0.13901	0.13748	0.13717	0.13712	0.13731	0.137618	2017	0.13731	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	4	66.02688198	33.83160199	AFG	Afghanistan	3	TONNES	RAW	tonnes	All raw materials	0.59005	0.87679	0.94895	1.00016	1.03275	1.10009	1.01734	1.13289	1.00757	1.24041	1.35573	1.30716	1.30136	1.23389	1.22411	1.21198	1.2039	1.19783	1.214342	2017	1.19783	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	4	66.02688198	33.83160199	AFG	Afghanistan	4	TONNES	MEO	tonnes	Metal ores	0.02251	0.02098	0.01903	0.02408	0.02359	0.02374	0.02513	0.02544	0.01958	0.02039	0.02556	0.03177	0.03029	0.03119	0.02884	0.02887	0.02905	0.02925	0.02944	2017	0.02925	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	4	66.02688198	33.83160199	AFG	Afghanistan	5	TONNES	FOF	tonnes	Fossil fuels	0.03153	0.0309	0.03534	0.04063	0.03665	0.03971	0.0389	0.04635	0.04066	0.04391	0.05657	0.06301	0.05731	0.07057	0.07276	0.07298	0.07402	0.07511	0.073088	2017	0.07511	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	8	20.06660928	41.13897007	ALB	Albania	1	TONNES	BIM	tonnes	Biomass	1.20109	1.1967	1.21723	1.30785	1.43557	1.44668	1.47336	1.61314	1.69696	1.73171	1.7796	2.00029	2.00467	2.05849	2.09206	2.12449	2.17049	2.21589	2.132284	2017	2.21589	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	8	20.06660928	41.13897007	ALB	Albania	2	TONNES	NMM	tonnes	Non-metallic minerals	3.64653	4.31894	4.27544	5.46291	6.0635	6.77022	6.65223	6.09032	6.42109	8.0265	5.93791	6.03575	6.00691	5.98701	6.64513	6.86192	7.07687	7.2902	6.772226	2017	7.2902	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	8	20.06660928	41.13897007	ALB	Albania	3	TONNES	RAW	tonnes	All raw materials	5.39664	6.05126	6.07061	7.41209	8.25026	9.04246	8.99755	8.75044	9.29773	10.7884	8.86145	9.30281	9.33439	9.50379	10.29228	10.57481	10.87896	11.18085	10.486138	2017	11.18085	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	8	20.06660928	41.13897007	ALB	Albania	4	TONNES	MEO	tonnes	Metal ores	0.13646	0.1391	0.14752	0.16978	0.22065	0.2784	0.28242	0.37966	0.45925	0.37835	0.4326	0.4698	0.49724	0.5797	0.639	0.65542	0.67218	0.68876	0.647012	2017	0.68876	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	8	20.06660928	41.13897007	ALB	Albania	5	TONNES	FOF	tonnes	Fossil fuels	0.41255	0.39653	0.43042	0.47155	0.53055	0.54716	0.58954	0.66733	0.72043	0.65183	0.71134	0.79697	0.82557	0.8786	0.91608	0.93298	0.95941	0.98599	0.934612	2017	0.98599	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	10	21.47585697	-80.40897662	ATA	Antarctica	1	TONNES	BIM	tonnes	Biomass																							
2018.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	10	21.47585697	-80.40897662	ATA	Antarctica	2	TONNES	NMM	tonnes	Non-metallic minerals																							
2018.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	10	21.47585697	-80.40897662	ATA	Antarctica	3	TONNES	RAW	tonnes	All raw materials																							
2018.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	10	21.47585697	-80.40897662	ATA	Antarctica	4	TONNES	MEO	tonnes	Metal ores																							
2018.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	10	21.47585697	-80.40897662	ATA	Antarctica	5	TONNES	FOF	tonnes	Fossil fuels																							
2018.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	12	2.678164227	28.15940032	DZA	Algeria	1	TONNES	BIM	tonnes	Biomass	0.94245	1.05275	1.01055	1.20292	1.2568	1.19299	1.20803	1.1657	1.1273	1.47885	1.39633	1.46912	1.5595	1.64983	1.57758	1.59548	1.61447	1.63368	1.614208	2017	1.63368	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	12	2.678164227	28.15940032	DZA	Algeria	2	TONNES	NMM	tonnes	Non-metallic minerals	0.71956	0.69487	0.74552	0.66705	0.68655	0.68309	0.67874	0.75463	0.85416	0.93816	0.93916	0.94814	0.91344	0.93588	0.94166	0.94499	0.94875	0.95343	0.944942	2017	0.95343	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	12	2.678164227	28.15940032	DZA	Algeria	3	TONNES	RAW	tonnes	All raw materials	1.89235	1.98225	2.00861	2.12385	2.22975	2.1619	2.17309	2.24094	2.36168	2.82769	2.73211	2.81807	2.88569	3.01236	2.93381	2.95078	2.97438	2.99941	2.974148	2017	2.99941	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	12	2.678164227	28.15940032	DZA	Algeria	4	TONNES	MEO	tonnes	Metal ores	0.09487	0.09664	0.10394	0.10115	0.1044	0.1034	0.10608	0.12036	0.14317	0.1525	0.15029	0.15446	0.16001	0.16754	0.16157	0.16327	0.16507	0.1669	0.16487	2017	0.1669	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	12	2.678164227	28.15940032	DZA	Algeria	5	TONNES	FOF	tonnes	Fossil fuels	0.13546	0.13799	0.14859	0.15273	0.182	0.18242	0.18024	0.20026	0.23704	0.25818	0.24633	0.24635	0.25273	0.25912	0.25299	0.24703	0.24608	0.2454	0.250124	2017	0.2454	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	TONNES	BIM	tonnes	Biomass																							
2018.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	16	-170.7187269	-14.30587306	ASM	American Samoa	2	TONNES	NMM	tonnes	Non-metallic minerals																							
2018.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	16	-170.7187269	-14.30587306	ASM	American Samoa	3	TONNES	RAW	tonnes	All raw materials																							
2018.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	16	-170.7187269	-14.30587306	ASM	American Samoa	4	TONNES	MEO	tonnes	Metal ores																							
2018.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	16	-170.7187269	-14.30587306	ASM	American Samoa	5	TONNES	FOF	tonnes	Fossil fuels																							
2018.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	20	1.576257417	42.54548611	AND	Andorra	1	TONNES	BIM	tonnes	Biomass																							
2018.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	20	1.576257417	42.54548611	AND	Andorra	2	TONNES	NMM	tonnes	Non-metallic minerals																							
2018.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	20	1.576257417	42.54548611	AND	Andorra	3	TONNES	RAW	tonnes	All raw materials																							
2018.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	20	1.576257417	42.54548611	AND	Andorra	4	TONNES	MEO	tonnes	Metal ores																							
2018.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	20	1.576257417	42.54548611	AND	Andorra	5	TONNES	FOF	tonnes	Fossil fuels																							
2018.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	24	17.57817062	-12.33724746	AGO	Angola	1	TONNES	BIM	tonnes	Biomass	1.19032	1.30887	1.37766	1.43306	1.42965	1.47116	1.34906	1.55259	1.63202	1.99759	1.92365	1.93107	1.49904	2.05263	1.60965	1.61887	1.62848	1.63657	1.70924	2017	1.63657	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	24	17.57817062	-12.33724746	AGO	Angola	2	TONNES	NMM	tonnes	Non-metallic minerals	0.67236	0.86893	0.80604	0.90031	0.95258	1.07937	1.07353	1.29533	1.39817	1.57066	1.21546	1.1879	1.10753	1.16835	1.15933	1.13376	1.1093	1.08602	1.131352	2017	1.08602	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	24	17.57817062	-12.33724746	AGO	Angola	3	TONNES	RAW	tonnes	All raw materials	2.03668	2.41421	2.41516	2.61032	2.69486	2.90737	2.73432	3.26332	3.5552	4.22183	3.65457	3.60705	3.09409	3.74881	3.26211	3.24303	3.22796	3.21234	3.33885	2017	3.21234	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	24	17.57817062	-12.33724746	AGO	Angola	4	TONNES	MEO	tonnes	Metal ores	0.1004	0.15153	0.1467	0.18135	0.2124	0.23664	0.20823	0.27653	0.35006	0.42836	0.35699	0.33435	0.33078	0.36253	0.3329	0.33518	0.33724	0.339	0.34137	2017	0.339	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	24	17.57817062	-12.33724746	AGO	Angola	5	TONNES	FOF	tonnes	Fossil fuels	0.0736	0.08488	0.08475	0.09561	0.10022	0.1202	0.1035	0.13888	0.17494	0.22522	0.15848	0.15373	0.15675	0.1653	0.16023	0.15521	0.15294	0.15075	0.156886	2017	0.15075	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	TONNES	BIM	tonnes	Biomass	3.29346	3.22029	3.41151	3.35508	3.21974	3.32411	3.44139	3.60836	3.62757	3.11861	2.83501	2.8514	2.55925	2.73336	2.77545	2.77289	2.77261	2.77217	2.765296	2017	2.77217	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	2	TONNES	NMM	tonnes	Non-metallic minerals	9.715	10.79427	11.15269	10.93958	11.41062	12.09921	17.21921	14.69301	12.04809	8.42952	8.42305	9.74374	7.91123	7.92218	7.88238	7.84405	7.80834	7.77681	7.846752	2017	7.77681	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	3	TONNES	RAW	tonnes	All raw materials	16.76775	17.46398	18.31239	17.54811	17.83837	18.97221	24.33702	21.91041	19.27316	14.4686	14.13024	15.38807	13.04287	13.35536	13.38506	13.32089	13.31432	13.31128	13.337382	2017	13.31128	Environment Live Global Material Flows Database	E
