ISO3CD,X,Y,GeoArea_Code,GeoArea_Desc,GoalCode,GoalDesc,TargetCode,TargetDesc,IndicatorCode,IndicatorDesc,IndicatorTier,SeriesCode,SeriesDesc,SeriesRelease,ReportingType_Code,ReportingType_Desc,Units_Code,Units_Desc,Footnotes_2010,Footnotes_2011,Footnotes_2012,Footnotes_2013,Footnotes_2014,Footnotes_2015,Footnotes_2016,Footnotes_2017,Nature_Code_2010,Nature_Code_2011,Nature_Code_2012,Nature_Code_2013,Nature_Code_2014,Nature_Code_2015,Nature_Code_2016,Nature_Code_2017,Source_2010,Source_2011,Source_2012,Source_2013,Source_2014,Source_2015,Source_2016,Source_2017,TimeDetail_2010,TimeDetail_2011,TimeDetail_2012,TimeDetail_2013,TimeDetail_2014,TimeDetail_2015,TimeDetail_2016,TimeDetail_2017,Value_2010,Value_2011,Value_2012,Value_2013,Value_2014,Value_2015,Value_2016,Value_2017,Latest_Year,Latest_Value
,,,1,World,3,Ensure healthy lives and promote well-being for all at all ages,3.d,"Strengthen the capacity of all countries, in particular developing countries, for early warning, risk reduction and management of national and global health risks",3.d.1,International Health Regulations (IHR) capacity and health emergency preparedness,1,SH_IHR_CAPPRD,Average of 13 International Health Regulations (IHR) core capacities,2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,NA,,,,,,,,"Global Health Observatory (GHO), World Health Organisation (WHO).",,,,,,,,,,,,,,,,71.4,2017.0,71.4
BGR,25.23763153,42.75731323,100,Bulgaria,3,Ensure healthy lives and promote well-being for all at all ages,3.d,"Strengthen the capacity of all countries, in particular developing countries, for early warning, risk reduction and management of national and global health risks",3.d.1,International Health Regulations (IHR) capacity and health emergency preparedness,1,SH_IHR_CAPPRD,Average of 13 International Health Regulations (IHR) core capacities,2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,NA,,,NA,,,,,"Global Health Observatory (GHO), World Health Organisation (WHO).",,,"Global Health Observatory (GHO), World Health Organisation (WHO).",,,,,,,,,,,,,62,,,69,,,,2014.0,69
MMR,96.51752295,21.19332882,104,Myanmar,3,Ensure healthy lives and promote well-being for all at all ages,3.d,"Strengthen the capacity of all countries, in particular developing countries, for early warning, risk reduction and management of national and global health risks",3.d.1,International Health Regulations (IHR) capacity and health emergency preparedness,1,SH_IHR_CAPPRD,Average of 13 International Health Regulations (IHR) core capacities,2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,"Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).",,,,,,,,,73,93,82,84,84,86,84,62.18526,2017.0,62.18526
BDI,29.89080992,-3.366387428,108,Burundi,3,Ensure healthy lives and promote well-being for all at all ages,3.d,"Strengthen the capacity of all countries, in particular developing countries, for early warning, risk reduction and management of national and global health risks",3.d.1,International Health Regulations (IHR) capacity and health emergency preparedness,1,SH_IHR_CAPPRD,Average of 13 International Health Regulations (IHR) core capacities,2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,"Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).",,,,,,,,,,15,39,36,62,56,62,24.89843,2017.0,24.89843
BLR,28.04940161,53.54193075,112,Belarus,3,Ensure healthy lives and promote well-being for all at all ages,3.d,"Strengthen the capacity of all countries, in particular developing countries, for early warning, risk reduction and management of national and global health risks",3.d.1,International Health Regulations (IHR) capacity and health emergency preparedness,1,SH_IHR_CAPPRD,Average of 13 International Health Regulations (IHR) core capacities,2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,NA,,,NA,,,,,"Global Health Observatory (GHO), World Health Organisation (WHO).",,,"Global Health Observatory (GHO), World Health Organisation (WHO).",,,,,,,,,,,,,73,,,90,,,,2014.0,90
KHM,104.922836,12.71163737,116,Cambodia,3,Ensure healthy lives and promote well-being for all at all ages,3.d,"Strengthen the capacity of all countries, in particular developing countries, for early warning, risk reduction and management of national and global health risks",3.d.1,International Health Regulations (IHR) capacity and health emergency preparedness,1,SH_IHR_CAPPRD,Average of 13 International Health Regulations (IHR) core capacities,2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,"Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).",,,,,,,,,46,49,49,42,41,50,55,80.65395,2017.0,80.65395
DZA,2.678164227,28.15940032,12,Algeria,3,Ensure healthy lives and promote well-being for all at all ages,3.d,"Strengthen the capacity of all countries, in particular developing countries, for early warning, risk reduction and management of national and global health risks",3.d.1,International Health Regulations (IHR) capacity and health emergency preparedness,1,SH_IHR_CAPPRD,Average of 13 International Health Regulations (IHR) core capacities,2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,"Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).",,,,,,,,,51,11,19,40,71,72,73,75.28672,2017.0,75.28672
CMR,12.7419827,5.692387031,120,Cameroon,3,Ensure healthy lives and promote well-being for all at all ages,3.d,"Strengthen the capacity of all countries, in particular developing countries, for early warning, risk reduction and management of national and global health risks",3.d.1,International Health Regulations (IHR) capacity and health emergency preparedness,1,SH_IHR_CAPPRD,Average of 13 International Health Regulations (IHR) core capacities,2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,NA,NA,NA,NA,NA,,NA,NA,"Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).",,"Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).",,,,,,,,,46,65,65,89,91,,54,57.35698,2017.0,57.35698
CAN,-101.6575058,57.72360191,124,Canada,3,Ensure healthy lives and promote well-being for all at all ages,3.d,"Strengthen the capacity of all countries, in particular developing countries, for early warning, risk reduction and management of national and global health risks",3.d.1,International Health Regulations (IHR) capacity and health emergency preparedness,1,SH_IHR_CAPPRD,Average of 13 International Health Regulations (IHR) core capacities,2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,"Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).",,,,,,,,,71,95,98,99,100,100,100,100,2017.0,100
CPV,-23.63544151,15.07791834,132,Cabo Verde,3,Ensure healthy lives and promote well-being for all at all ages,3.d,"Strengthen the capacity of all countries, in particular developing countries, for early warning, risk reduction and management of national and global health risks",3.d.1,International Health Regulations (IHR) capacity and health emergency preparedness,1,SH_IHR_CAPPRD,Average of 13 International Health Regulations (IHR) core capacities,2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,NA,,,,,,NA,NA,"Global Health Observatory (GHO), World Health Organisation (WHO).",,,,,,"Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).",,,,,,,,,58,,,,,,62,64.51923,2017.0,64.51923
