series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Units	Age description	Units description	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	4	66.02688198	33.83160199	AFG	Afghanistan	1	15+	NUMBER	15 years old and over	Number	0.0159	0.06085	0.11813	0.20882	0.30245	0.45244	0.53206	0.62006	0.64222	0.71243	0.75881	0.92984	1.07422	0.823504	2016	1.07422	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	8	20.06660928	41.13897007	ALB	Albania	1	15+	NUMBER	15 years old and over	Number	4.22509	9.25753	13.86881	19.36159	28.62653	32.94144	34.13679	35.26453	35.6792	35.3069	34.55312	34.97922	33.80681	34.86505	2016	33.80681	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	10	21.47585697	-80.40897662	ATA	Antarctica	1	15+	NUMBER	15 years old and over	Number																		
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	12	2.678164227	28.15940032	DZA	Algeria	1	15+	NUMBER	15 years old and over	Number	1.26084	1.4953	2.37363	3.69927	4.17928	5.30143	5.89581	6.0697	6.17905	6.48133	7.46715	8.23633	8.6686	7.406492	2016	8.6686	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	16	-170.7187269	-14.30587306	ASM	American Samoa	1	15+	NUMBER	15 years old and over	Number																		
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	20	1.576257417	42.54548611	AND	Andorra	1	15+	NUMBER	15 years old and over	Number																		
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	24	17.57817062	-12.33724746	AGO	Angola	1	15+	NUMBER	15 years old and over	Number	0.85471	1.45324	3.0434	4.41332	6.2587	8.37917	10.46771	12.77843	15.2444	17.03617	18.21821	18.8292		17.331995	2015	18.8292	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	15+	NUMBER	15 years old and over	Number	49.17435	61.06631	60.07764	57.56791	64.04814	65.88387	69.08164	70.77441	72.38912	76.69131	74.116	71.63419	65.35094	72.036312	2016	65.35094	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	31	50.01064725	40.39229544	AZE	Azerbaijan	1	15+	NUMBER	15 years old and over	Number			17.06928	20.35947	22.70647	24.66996	27.07985	30.03258	31.39862	33.25921	35.43187	36.21634	32.7179	33.804788	2016	32.7179	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	32	-65.14563274	-35.19446255	ARG	Argentina	1	15+	NUMBER	15 years old and over	Number	21.69288	22.79436	25.40428	28.52194	32.9436	36.87114	41.90759	47.51679	50.91931	56.2096	58.84075	60.55437	60.10374	57.325554	2016	60.10374	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	36	134.3499412	-25.57717202	AUS	Australia	1	15+	NUMBER	15 years old and over	Number	139.554	146.4312	154.701	155.2583	157.8209	154.2996	168.6564	170.4668	164.6763	161.1614	165.2355	163.974	168.0283	164.6151	2016	168.0283	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	40	14.14172472	47.58704857	AUT	Austria	1	15+	NUMBER	15 years old and over	Number	116.1557	106.788	108.3359	108.6152	110.1537	112.3358	112.9183	113.8038	115.6367	117.2975	118.9683	117.9363	116.0586	117.17948	2016	116.0586	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	44	-78.05111663	24.69546597	BHS	Bahamas	1	15+	NUMBER	15 years old and over	Number	63.58832	64.49822	63.66259	65.54834	66.10958	66.90463	65.82761	76.08162	74.51591	104.362	110.4925	112.4353	129.2422	106.209582	2016	129.2422	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	48	50.5490754	26.04407747	BHR	Bahrain	1	15+	NUMBER	15 years old and over	Number																		
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	50	89.17660788	22.86961622	BGD	Bangladesh	1	15+	NUMBER	15 years old and over	Number	0.12518	0.19568	0.34394	0.49695	0.8192	1.24916	2.05348	3.60386	3.9249	4.81376	5.60574	6.84699	7.76732	5.791742	2016	7.76732	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	51	44.93839317	40.29499741	ARM	Armenia	1	15+	NUMBER	15 years old and over	Number	3.0416	4.95423	7.69467	14.48028	23.11356	30.23958	34.04729	43.54925	50.40783	53.92184	59.43566	60.56215	61.13944	57.093384	2016	61.13944	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	52	-59.5346489	13.13648273	BRB	Barbados	1	15+	NUMBER	15 years old and over	Number			30.65997	32.28036	37.03587	37.26418	37.07376	32.84874	36.65576	37.37857	43.36456	37.0894	23.88698	35.675054	2016	23.88698	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	56	4.660976456	50.64104975	BEL	Belgium	1	15+	NUMBER	15 years old and over	Number	83.89362	83.57977	83.11543	86.71142	87.6071	87.37488	91.76123	93.23571	93.93687	93.67056	93.91856	93.55449		93.77012	2015	93.55449	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	60	-64.78155012	32.27881922	BMU	Bermuda	1	15+	NUMBER	15 years old and over	Number																		
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	64	90.45098484	27.39598568	BTN	Bhutan	1	15+	NUMBER	15 years old and over	Number	0.48917	0.46813	0.45047	2.17403	3.15597	4.07924	8.31375	13.87604	7.69645	19.58441	21.98957	26.59658	32.25391	21.624184	2016	32.25391	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	15+	NUMBER	15 years old and over	Number				13.317	14.48983	16.96087	20.1142	24.58951	27.9803	31.56737	34.79165	38.30202		33.160335	2015	38.30202	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	15+	NUMBER	15 years old and over	Number			15.70272	20.83569	28.64668	43.12474	35.01306	38.61036	41.5579	44.61015	46.84301	49.90023	50.12078	46.606414	2016	50.12078	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	72	23.81380223	-22.18810073	BWA	Botswana	1	15+	NUMBER	15 years old and over	Number	14.76671	15.86329	18.83059	31.65102	28.68553	27.43091	28.96352	26.58342	25.92834	27.02839	27.93872	31.12437	30.93597	28.591158	2016	30.93597	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	15+	NUMBER	15 years old and over	Number																		
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	76	-53.08432878	-10.77668561	BRA	Brazil	1	15+	NUMBER	15 years old and over	Number	104.7998	108.2435	106.7809	108.9277	111.3984	113.9113	118.3567	115.7489	114.766	115.7655	114.9966	114.2723	108.82	113.72408	2016	108.82	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
