ISO3CD,X,Y,GeoArea_Code,GeoArea_Desc,GoalCode,GoalDesc,TargetCode,TargetDesc,IndicatorCode,IndicatorDesc,IndicatorTier,SeriesCode,SeriesDesc,SeriesRelease,Sex_Code,Sex_Desc,ReportingType_Code,ReportingType_Desc,Units_Code,Units_Desc,Footnotes_2000,Footnotes_2001,Footnotes_2002,Footnotes_2003,Footnotes_2004,Footnotes_2005,Footnotes_2006,Footnotes_2007,Footnotes_2008,Footnotes_2009,Footnotes_2010,Footnotes_2011,Footnotes_2012,Footnotes_2013,Footnotes_2014,Footnotes_2015,Footnotes_2016,Nature_Code_2000,Nature_Code_2001,Nature_Code_2002,Nature_Code_2003,Nature_Code_2004,Nature_Code_2005,Nature_Code_2006,Nature_Code_2007,Nature_Code_2008,Nature_Code_2009,Nature_Code_2010,Nature_Code_2011,Nature_Code_2012,Nature_Code_2013,Nature_Code_2014,Nature_Code_2015,Nature_Code_2016,Source_2000,Source_2001,Source_2002,Source_2003,Source_2004,Source_2005,Source_2006,Source_2007,Source_2008,Source_2009,Source_2010,Source_2011,Source_2012,Source_2013,Source_2014,Source_2015,Source_2016,TimeDetail_2000,TimeDetail_2001,TimeDetail_2002,TimeDetail_2003,TimeDetail_2004,TimeDetail_2005,TimeDetail_2006,TimeDetail_2007,TimeDetail_2008,TimeDetail_2009,TimeDetail_2010,TimeDetail_2011,TimeDetail_2012,TimeDetail_2013,TimeDetail_2014,TimeDetail_2015,TimeDetail_2016,Value_2000,Value_2001,Value_2002,Value_2003,Value_2004,Value_2005,Value_2006,Value_2007,Value_2008,Value_2009,Value_2010,Value_2011,Value_2012,Value_2013,Value_2014,Value_2015,Value_2016,Latest_Year,Latest_Value
BGR,25.23763153,42.75731323,100,Bulgaria,5,Achieve gender equality and empower all women and girls,5.5,"Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",5.5.2,Proportion of women in managerial positions,1,IC_GEN_MGTL,Proportion of women in managerial positions (%),2019.Q1.G.01,FEMALE,Female,G,Global,PERCENT,Percentage,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Break in series: Methodology revised | Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Break in series: Methodology revised | Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Break in series: Methodology revised | Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Break in series: Methodology revised | Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Break in series: Methodology revised | Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Break in series: Methodology revised | Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,,,,,,,,,,,,,,,,,,29.82,32.65,33.54,31.3,34.41,33.97,31.61,31.4,32.28,32.15,33.34,36.75,36.39,36.48,36.68,36.51,37.87,2016.0,37.87
MMR,96.51752295,21.19332882,104,Myanmar,5,Achieve gender equality and empower all women and girls,5.5,"Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",5.5.2,Proportion of women in managerial positions,1,IC_GEN_MGTL,Proportion of women in managerial positions (%),2019.Q1.G.01,FEMALE,Female,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,Break in series: Methodology revised | Repository: ILO-STATISTICS - Micro data processing | Data reference period: Annual or annual average,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,ILOSTAT - LFS - Labour force survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.36,,2015.0,28.36
BDI,29.89080992,-3.366387428,108,Burundi,5,Achieve gender equality and empower all women and girls,5.5,"Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",5.5.2,Proportion of women in managerial positions,1,IC_GEN_MGTL,Proportion of women in managerial positions (%),2019.Q1.G.01,FEMALE,Female,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,Data reference period: Annual or annual average | Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 10 years old,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,ILOSTAT - HS - Living standards survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.36,,,2014.0,27.36
BLR,28.04940161,53.54193075,112,Belarus,5,Achieve gender equality and empower all women and girls,5.5,"Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",5.5.2,Proportion of women in managerial positions,1,IC_GEN_MGTL,Proportion of women in managerial positions (%),2019.Q1.G.01,FEMALE,Female,G,Global,PERCENT,Percentage,,,,,,,,,,0,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,ILOSTAT - PC - Population census,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.25,,,,,,,,2009.0,46.25
KHM,104.922836,12.71163737,116,Cambodia,5,Achieve gender equality and empower all women and girls,5.5,"Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",5.5.2,Proportion of women in managerial positions,1,IC_GEN_MGTL,Proportion of women in managerial positions (%),2019.Q1.G.01,FEMALE,Female,G,Global,PERCENT,Percentage,Data reference period: November | Age coverage - minimum age: 10 years old,Data reference period: November | Age coverage - minimum age: 10 years old,,,,,,,Reference group coverage: Total employment,,Data reference period: Annual or annual average | Age coverage - maximum age: 64 years old,,Break in series: Methodology revised | Repository: ILO-STATISTICS - Micro data processing,,,,,C,C,,,,,,,C,,C,,C,,,,,ILOSTAT - LFS - Labour force survey,ILOSTAT - LFS - Labour force survey,,,,,,,ILOSTAT - PC - Population census,,ILOSTAT - HIES - National Socio-Economic Survey,,ILOSTAT - LFS - Labour force survey,,,,,,,,,,,,,,,,,,,,,,12.57,13.82,,,,,,,20.95,,17.95,,30.88,,,,,2012.0,30.88
DZA,2.678164227,28.15940032,12,Algeria,5,Achieve gender equality and empower all women and girls,5.5,"Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",5.5.2,Proportion of women in managerial positions,1,IC_GEN_MGTL,Proportion of women in managerial positions (%),2019.Q1.G.01,FEMALE,Female,G,Global,PERCENT,Percentage,,Data reference period: September,,Data reference period: September,Data reference period: September,,,,,,,,,Data reference period: September,Data reference period: September,,,,C,,C,C,,,,,,,,,C,C,,,,ILOSTAT - LFS - Household Employment Survey,,ILOSTAT - LFS - Household Employment Survey,ILOSTAT - LFS - Household Employment Survey,,,,,,,,,ILOSTAT - LFS - Household Employment Survey,ILOSTAT - LFS - Household Employment Survey,,,,,,,,,,,,,,,,,,,,,5.24,,5.69,4.87,,,,,,,,,10.61,9.89,,,2014.0,9.89
CAN,-101.6575058,57.72360191,124,Canada,5,Achieve gender equality and empower all women and girls,5.5,"Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",5.5.2,Proportion of women in managerial positions,1,IC_GEN_MGTL,Proportion of women in managerial positions (%),2019.Q1.G.01,FEMALE,Female,G,Global,PERCENT,Percentage,"Data reference period: Annual or annual average | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population","Data reference period: Annual or annual average | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population","Data reference period: Annual or annual average | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population","Data reference period: Annual or annual average | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population","Data reference period: Annual or annual average | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population","Data reference period: Annual or annual average | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population","Data reference period: Annual or annual average | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population","Data reference period: Annual or annual average | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population","Break in series: Methodology revised | Data reference period: Annual or annual average | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population","Data reference period: Annual or annual average | Geographical coverage: Total national, excluding some areas","Data reference period: Annual or annual average | Geographical coverage: Total national, excluding some areas","Data reference period: Annual or annual average | Geographical coverage: Total national, excluding some areas","Data reference period: Annual or annual average | Geographical coverage: Total national, excluding some areas","Data reference period: Annual or annual average | Geographical coverage: Total national, excluding some areas","Data reference period: Annual or annual average | Geographical coverage: Total national, excluding some areas",,,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,,ILOSTAT - LFS - Labour Force Survey,ILOSTAT - LFS - Labour Force Survey,ILOSTAT - LFS - Labour Force Survey,ILOSTAT - LFS - Labour Force Survey,ILOSTAT - LFS - Labour Force Survey,ILOSTAT - LFS - Labour Force Survey,ILOSTAT - LFS - Labour Force Survey,ILOSTAT - LFS - Labour Force Survey,ILOSTAT - LFS - Labour Force Survey,ILOSTAT - LFS - Labour Force Survey,ILOSTAT - LFS - Labour Force Survey,ILOSTAT - LFS - Labour Force Survey,ILOSTAT - LFS - Labour Force Survey,ILOSTAT - LFS - Labour Force Survey,ILOSTAT - LFS - Labour Force Survey,,,,,,,,,,,,,,,,,,,,35.47,34.95,34.06,35.71,36.49,35.9,36.25,36.92,35.99,37.01,36.76,37.1,36.43,35.78,35.52,,,2014.0,35.52
LKA,80.70489654,7.614693343,144,Sri Lanka,5,Achieve gender equality and empower all women and girls,5.5,"Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",5.5.2,Proportion of women in managerial positions,1,IC_GEN_MGTL,Proportion of women in managerial positions (%),2019.Q1.G.01,FEMALE,Female,G,Global,PERCENT,Percentage,,,"Data reference period: Annual or annual average | Geographical coverage: Total national, excluding some areas | Age coverage - minimum age: 10 years old","Data reference period: Annual or annual average | Geographical coverage: Total national, excluding some areas | Age coverage - minimum age: 10 years old","Data reference period: Annual or annual average | Geographical coverage: Total national, excluding some areas | Age coverage - minimum age: 10 years old",Data reference period: Annual or annual average | Age coverage - minimum age: 10 years old,"Data reference period: Annual or annual average | Geographical coverage: Total national, excluding some areas | Age coverage - minimum age: 10 years old","Data reference period: Annual or annual average | Geographical coverage: Total national, excluding some areas | Age coverage - minimum age: 10 years old","Data reference period: Annual or annual average | Geographical coverage: Total national, excluding some areas | Age coverage - minimum age: 10 years old","Data reference period: Annual or annual average | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 10 years old","Data reference period: Annual or annual average | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 10 years old",Data reference period: Annual or annual average,Data reference period: Annual or annual average,"Data reference period: Annual or annual average | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts","Data reference period: Annual or annual average | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts",,,,,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,ILOSTAT - LFS - Sri Lanka Labour Force Survey,ILOSTAT - LFS - Sri Lanka Labour Force Survey,ILOSTAT - LFS - Sri Lanka Labour Force Survey,ILOSTAT - LFS - Sri Lanka Labour Force Survey,ILOSTAT - LFS - Sri Lanka Labour Force Survey,ILOSTAT - LFS - Sri Lanka Labour Force Survey,ILOSTAT - LFS - Sri Lanka Labour Force Survey,ILOSTAT - LFS - Sri Lanka Labour Force Survey,ILOSTAT - LFS - Sri Lanka Labour Force Survey,ILOSTAT - LFS - Sri Lanka Labour Force Survey,ILOSTAT - LFS - Sri Lanka Labour Force Survey,ILOSTAT - LFS - Sri Lanka Labour Force Survey,ILOSTAT - LFS - Sri Lanka Labour Force Survey,,,,,,,,,,,,,,,,,,,,,,21.74,20.39,19.79,22.39,20.51,23.79,23.93,25.08,25.49,25.45,28.42,29.01,24.81,,,2014.0,24.81
CHL,-71.23029019,-35.2652885,152,Chile,5,Achieve gender equality and empower all women and girls,5.5,"Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",5.5.2,Proportion of women in managerial positions,1,IC_GEN_MGTL,Proportion of women in managerial positions (%),2019.Q1.G.01,FEMALE,Female,G,Global,PERCENT,Percentage,,,Data reference period: April,,,,,,,,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,,,C,,,,,,,,C,C,C,C,C,C,C,,,ILOSTAT - PC - Population Census,,,,,,,,ILOSTAT - LFS - National Employment Survey,ILOSTAT - LFS - National Employment Survey,ILOSTAT - LFS - National Employment Survey,ILOSTAT - LFS - National Employment Survey,ILOSTAT - LFS - National Employment Survey,ILOSTAT - LFS - National Employment Survey,ILOSTAT - LFS - National Employment Survey,,,,,,,,,,,,,,,,,,,,32.72,,,,,,,,23.79,23.56,24,24.98,26.94,27.41,27.39,2016.0,27.39
COL,-73.07446751,3.888209046,170,Colombia,5,Achieve gender equality and empower all women and girls,5.5,"Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",5.5.2,Proportion of women in managerial positions,1,IC_GEN_MGTL,Proportion of women in managerial positions (%),2019.Q1.G.01,FEMALE,Female,G,Global,PERCENT,Percentage,,,,,,,,,,Data reference period: Annual or annual average | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 10 years old in rural areas and 12 years old in urban areas,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,ILOSTAT - LFS - Integrated Household Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.44,,,,,,,,2009.0,53.44
