series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Type of product	Units description	Type of product description	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption, by type of raw material (tonnes)	4	66.02688198	33.83160199	AFG	Afghanistan	1	TONNES	WOD	tonnes	Wood	1847650.96	1869794.12	1925978.4	1989078.6	2073592.1	2102175.66	2146577.4	2188895.2	2158519.58	2256605.52	2294125.68	2350762.58	2335416.44	2324985.74	2327779.32	2327779.32	2361536.829	2395294.339	2347475.1096	2017	2395294.339	Environment Live Global Material Flows Database	C
2018.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption, by type of raw material (tonnes)	4	66.02688198	33.83160199	AFG	Afghanistan	2	TONNES	NMC	tonnes	Non-metallic minerals - construction dominant	333663.8	168831.9	201398.28	234964.66	231964.66	198398.28	330663.8	198398.28	290665.1948	822928.006	2869950.691	2801258.56	2618412.515	3890742.956	2429470.046	2457899.045	2486328.044	2514757.042	2755839.4266	2017	2514757.042	Environment Live Global Material Flows Database	C
2018.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption, by type of raw material (tonnes)	4	66.02688198	33.83160199	AFG	Afghanistan	3	TONNES	GAS	tonnes	Natural gas	81900	76500	200178	169974	83574	120798	120096	113076	108864	99738	99738	113076	112374	108517.401	108274.6717	108031.9425	107789.2132	107546.484	108031.94248	2017	107546.484	Environment Live Global Material Flows Database	C
2018.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption, by type of raw material (tonnes)	4	66.02688198	33.83160199	AFG	Afghanistan	4	TONNES	BIM	tonnes	Biomass	45569426.53	41132968.21	45602089.09	46412986.72	46652865.19	51402371.24	45651105.79	47766146.98	47038881.9	55310953.5	55777838.56	54197769.58	58497430.25	58162420.72	59623398.88	60794941.61	62000241.84	63205542.08	60757309.026	2017	63205542.08	Environment Live Global Material Flows Database	C
2018.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption, by type of raw material (tonnes)	4	66.02688198	33.83160199	AFG	Afghanistan	5	TONNES	FOF	tonnes	Fossil fuels	82900.01563	102500.4427	221178.3555	204974.5925	117574.5769	153798.5521	155096.5925	356080.098	455869.8507	599746.4329	824750.2313	838088.2313	862386.6493	1455709.401	1626020.272	1726736.587	1827452.902	1928169.217	1712817.6758	2017	1928169.217	Environment Live Global Material Flows Database	C
2018.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption, by type of raw material (tonnes)	4	66.02688198	33.83160199	AFG	Afghanistan	6	TONNES	NMA	tonnes	Non-metallic minerals - industrial or agricultural dominant	28000	28000	28000	28000	28000	1500	1500	1500	292564	328374.5	177390.181	178568.609	178678.4242	179138.2394	181428.0547	195246.906	209065.7574	222884.6087	197552.71324	2017	222884.6087	Environment Live Global Material Flows Database	C
2018.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption, by type of raw material (tonnes)	4	66.02688198	33.83160199	AFG	Afghanistan	7	TONNES	COL	tonnes	Coal	1000.01563	26000.44272	21000.35549	35000.59248	34000.57685	33000.55214	35000.59248	243004.098	347005.8507	500008.4329	725012.2313	725012.2313	750012.6493	1347192	1517745.6	1618704.644	1719663.689	1820622.733	1604785.7332	2017	1820622.733	Environment Live Global Material Flows Database	C
2018.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption, by type of raw material (tonnes)	4	66.02688198	33.83160199	AFG	Afghanistan	8	TONNES	CPR	tonnes	Crop residues	3644552.38	3978573.01	6658234.18	7530621.82	6519517.5	9250766.78	8083286	9865515.83	7033549.2	10936457.23	9975669.35	7997307.65	10662926.25	10956990.93	11332471.56	11797708.15	12262944.74	12728181.33	11815659.342	2017	12728181.33	Environment Live Global Material Flows Database	C
2018.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption, by type of raw material (tonnes)	4	66.02688198	33.83160199	AFG	Afghanistan	9	TONNES	GBO	tonnes	Grazed biomass and fodder crops	35095193.19	29620265.08	30071937.51	29284593.3	31541244.59	30922237.8	26911952.39	26066007.95	29516097.12	30721119.75	33306089.53	34440808.35	34749529.56	33693411.06	34373841.77	34627075.48	34880309.2	35133542.91	34541636.084	2017	35133542.91	Environment Live Global Material Flows Database	C
2018.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption, by type of raw material (tonnes)	4	66.02688198	33.83160199	AFG	Afghanistan	10	TONNES	RAW	tonnes	All raw materials	46019335.34	41437982.55	46058801.73	46887289.97	47036995.43	51762886.08	46145639.18	48328616.36	48124030.24	57089241.14	59721106.57	58080053.37	62204952.18	63727415.6	63887679.47	65190565.72	66527209.47	67863853.23	65439344.698	2017	67863853.23	Environment Live Global Material Flows Database	C
2018.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption, by type of raw material (tonnes)	4	66.02688198	33.83160199	AFG	Afghanistan	11	TONNES	CRO	tonnes	Crops	5457214	4982030	5664336	6945939	7608693	6518511	9127191	8509290	9645728	8330716	11396771	10201945	9408891	10749558	11187033	11589306.24	12042378.66	12948523.5	11703359.88	2017	12948523.5	Environment Live Global Material Flows Database	C
2018.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption, by type of raw material (tonnes)	4	66.02688198	33.83160199	AFG	Afghanistan	12	TONNES	NMM	tonnes	Non-metallic minerals	361663.8	196831.9	229398.28	262964.66	259964.66	199898.28	332163.8	199898.28	583229.1948	1145561.196	3039265.555	2938007.21	2737231.656	3991982.588	2514960.169	2539168.694	2563377.219	2587585.745	2839414.883	2017	2587585.745	Environment Live Global Material Flows Database	C
2018.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption, by type of raw material (tonnes)	4	66.02688198	33.83160199	AFG	Afghanistan	13	TONNES	MEO	tonnes	Metal ores	5345	5682	6136	6364	6591	6818	7273	6491	46049.289	32980.005	79252.229	106188.358	107903.6219	117302.8858	123300.1498	129718.828	136137.5062	142556.1844	129803.11084	2017	142556.1844	Environment Live Global Material Flows Database	C
