series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Level/Status	Units description	Level/Status description	2017	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	4	66.02688198	33.83160199	AFG	Afghanistan	1	NUMBER	CLDPR	Number	Clearly defined procedures	10	2017	10	Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.	C
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	4	66.02688198	33.83160199	AFG	Afghanistan	2	NUMBER	NA	Number	Not applicable					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	4	66.02688198	33.83160199	AFG	Afghanistan	3	NUMBER	NCDPR	Number	Not clearly defined procedures					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	8	20.06660928	41.13897007	ALB	Albania	1	NUMBER	CLDPR	Number	Clearly defined procedures	10	2017	10	Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.	C
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	8	20.06660928	41.13897007	ALB	Albania	2	NUMBER	NA	Number	Not applicable					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	8	20.06660928	41.13897007	ALB	Albania	3	NUMBER	NCDPR	Number	Not clearly defined procedures					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	10	21.47585697	-80.40897662	ATA	Antarctica	1	NUMBER	CLDPR	Number	Clearly defined procedures					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	10	21.47585697	-80.40897662	ATA	Antarctica	2	NUMBER	NA	Number	Not applicable					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	10	21.47585697	-80.40897662	ATA	Antarctica	3	NUMBER	NCDPR	Number	Not clearly defined procedures					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	12	2.678164227	28.15940032	DZA	Algeria	1	NUMBER	CLDPR	Number	Clearly defined procedures					
