series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	2002	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	SI_COV_LMKT	Proportion of population covered by labour market programs (%)	4	66.02688198	33.83160199	AFG	Afghanistan	1	PERCENT	Percentage																			
2018.Q2.G.01	SI_COV_LMKT	Proportion of population covered by labour market programs (%)	8	20.06660928	41.13897007	ALB	Albania	1	PERCENT	Percentage						6.04202				14.22281					14.22281	2012	14.22281	World Bank	
2018.Q2.G.01	SI_COV_LMKT	Proportion of population covered by labour market programs (%)	10	21.47585697	-80.40897662	ATA	Antarctica	1	PERCENT	Percentage																			
2018.Q2.G.01	SI_COV_LMKT	Proportion of population covered by labour market programs (%)	12	2.678164227	28.15940032	DZA	Algeria	1	PERCENT	Percentage																			
2018.Q2.G.01	SI_COV_LMKT	Proportion of population covered by labour market programs (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	PERCENT	Percentage																			
2018.Q2.G.01	SI_COV_LMKT	Proportion of population covered by labour market programs (%)	20	1.576257417	42.54548611	AND	Andorra	1	PERCENT	Percentage																			
2018.Q2.G.01	SI_COV_LMKT	Proportion of population covered by labour market programs (%)	24	17.57817062	-12.33724746	AGO	Angola	1	PERCENT	Percentage																			
2018.Q2.G.01	SI_COV_LMKT	Proportion of population covered by labour market programs (%)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	PERCENT	Percentage																			
2018.Q2.G.01	SI_COV_LMKT	Proportion of population covered by labour market programs (%)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	PERCENT	Percentage																			
2018.Q2.G.01	SI_COV_LMKT	Proportion of population covered by labour market programs (%)	32	-65.14563274	-35.19446255	ARG	Argentina	1	PERCENT	Percentage				1.61648				1.33174	1.40268	1.20645	0.49267				0.84956	2013	0.49267	World Bank	
2018.Q2.G.01	SI_COV_LMKT	Proportion of population covered by labour market programs (%)	36	134.3499412	-25.57717202	AUS	Australia	1	PERCENT	Percentage																			
2018.Q2.G.01	SI_COV_LMKT	Proportion of population covered by labour market programs (%)	40	14.14172472	47.58704857	AUT	Austria	1	PERCENT	Percentage																			
2018.Q2.G.01	SI_COV_LMKT	Proportion of population covered by labour market programs (%)	44	-78.05111663	24.69546597	BHS	Bahamas	1	PERCENT	Percentage																			
2018.Q2.G.01	SI_COV_LMKT	Proportion of population covered by labour market programs (%)	48	50.5490754	26.04407747	BHR	Bahrain	1	PERCENT	Percentage																			
2018.Q2.G.01	SI_COV_LMKT	Proportion of population covered by labour market programs (%)	50	89.17660788	22.86961622	BGD	Bangladesh	1	PERCENT	Percentage								4.32								2010	4.32	World Bank	
