"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","TypeOfProduct_Code","TypeOfProduct_Desc","Value_2000.0","Value_2005.0","Value_2010.0","Value_2011.0","Value_2012.0","Value_2013.0","Value_2014.0","Value_2015.0","Value_2016.0","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"1","World","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.12","Realize timely implementation of duty-free and quota-free market access on a lasting basis for all least developed countries, consistent with World Trade Organization decisions, including by ensuring that preferential rules of origin applicable to imports from least developed countries are transparent and simple, and contribute to facilitating market access","17.12.1","Average tariffs faced by developing countries, least developed countries and small island developing States","1","TM_TAX_ATRFD","Average tariff applied by developed countries, by type of product (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","TEX","Textiles","","","","","","","","","","","","","",""
"1","World","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.12","Realize timely implementation of duty-free and quota-free market access on a lasting basis for all least developed countries, consistent with World Trade Organization decisions, including by ensuring that preferential rules of origin applicable to imports from least developed countries are transparent and simple, and contribute to facilitating market access","17.12.1","Average tariffs faced by developing countries, least developed countries and small island developing States","1","TM_TAX_ATRFD","Average tariff applied by developed countries, by type of product (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","OIL","Oil","","","","","","","","","","","","","",""
"1","World","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.12","Realize timely implementation of duty-free and quota-free market access on a lasting basis for all least developed countries, consistent with World Trade Organization decisions, including by ensuring that preferential rules of origin applicable to imports from least developed countries are transparent and simple, and contribute to facilitating market access","17.12.1","Average tariffs faced by developing countries, least developed countries and small island developing States","1","TM_TAX_ATRFD","Average tariff applied by developed countries, by type of product (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","IND","Industrial products","","","","","","","","","","","","","",""
"1","World","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.12","Realize timely implementation of duty-free and quota-free market access on a lasting basis for all least developed countries, consistent with World Trade Organization decisions, including by ensuring that preferential rules of origin applicable to imports from least developed countries are transparent and simple, and contribute to facilitating market access","17.12.1","Average tariffs faced by developing countries, least developed countries and small island developing States","1","TM_TAX_ATRFD","Average tariff applied by developed countries, by type of product (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","CLO","Clothing","","","","","","","","","","","","","",""
"1","World","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.12","Realize timely implementation of duty-free and quota-free market access on a lasting basis for all least developed countries, consistent with World Trade Organization decisions, including by ensuring that preferential rules of origin applicable to imports from least developed countries are transparent and simple, and contribute to facilitating market access","17.12.1","Average tariffs faced by developing countries, least developed countries and small island developing States","1","TM_TAX_ATRFD","Average tariff applied by developed countries, by type of product (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","ARM","Arms","","","","","","","","","","","","","",""
"1","World","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.12","Realize timely implementation of duty-free and quota-free market access on a lasting basis for all least developed countries, consistent with World Trade Organization decisions, including by ensuring that preferential rules of origin applicable to imports from least developed countries are transparent and simple, and contribute to facilitating market access","17.12.1","Average tariffs faced by developing countries, least developed countries and small island developing States","1","TM_TAX_ATRFD","Average tariff applied by developed countries, by type of product (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AGR","Agricultural products","","","","","","","","","","","","","",""
"2","Africa","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.12","Realize timely implementation of duty-free and quota-free market access on a lasting basis for all least developed countries, consistent with World Trade Organization decisions, including by ensuring that preferential rules of origin applicable to imports from least developed countries are transparent and simple, and contribute to facilitating market access","17.12.1","Average tariffs faced by developing countries, least developed countries and small island developing States","1","TM_TAX_ATRFD","Average tariff applied by developed countries, by type of product (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AGR","Agricultural products","","","","","","","","","","","","","",""
"2","Africa","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.12","Realize timely implementation of duty-free and quota-free market access on a lasting basis for all least developed countries, consistent with World Trade Organization decisions, including by ensuring that preferential rules of origin applicable to imports from least developed countries are transparent and simple, and contribute to facilitating market access","17.12.1","Average tariffs faced by developing countries, least developed countries and small island developing States","1","TM_TAX_ATRFD","Average tariff applied by developed countries, by type of product (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","IND","Industrial products","","","","","","","","","","","","","",""
"2","Africa","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.12","Realize timely implementation of duty-free and quota-free market access on a lasting basis for all least developed countries, consistent with World Trade Organization decisions, including by ensuring that preferential rules of origin applicable to imports from least developed countries are transparent and simple, and contribute to facilitating market access","17.12.1","Average tariffs faced by developing countries, least developed countries and small island developing States","1","TM_TAX_ATRFD","Average tariff applied by developed countries, by type of product (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","OIL","Oil","","","","","","","","","","","","","",""
"2","Africa","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.12","Realize timely implementation of duty-free and quota-free market access on a lasting basis for all least developed countries, consistent with World Trade Organization decisions, including by ensuring that preferential rules of origin applicable to imports from least developed countries are transparent and simple, and contribute to facilitating market access","17.12.1","Average tariffs faced by developing countries, least developed countries and small island developing States","1","TM_TAX_ATRFD","Average tariff applied by developed countries, by type of product (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","ARM","Arms","","","","","","","","","","","","","",""
"2","Africa","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.12","Realize timely implementation of duty-free and quota-free market access on a lasting basis for all least developed countries, consistent with World Trade Organization decisions, including by ensuring that preferential rules of origin applicable to imports from least developed countries are transparent and simple, and contribute to facilitating market access","17.12.1","Average tariffs faced by developing countries, least developed countries and small island developing States","1","TM_TAX_ATRFD","Average tariff applied by developed countries, by type of product (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","TEX","Textiles","","","","","","","","","","","","","",""
"2","Africa","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.12","Realize timely implementation of duty-free and quota-free market access on a lasting basis for all least developed countries, consistent with World Trade Organization decisions, including by ensuring that preferential rules of origin applicable to imports from least developed countries are transparent and simple, and contribute to facilitating market access","17.12.1","Average tariffs faced by developing countries, least developed countries and small island developing States","1","TM_TAX_ATRFD","Average tariff applied by developed countries, by type of product (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","CLO","Clothing","","","","","","","","","","","","","",""
"5","South America","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.12","Realize timely implementation of duty-free and quota-free market access on a lasting basis for all least developed countries, consistent with World Trade Organization decisions, including by ensuring that preferential rules of origin applicable to imports from least developed countries are transparent and simple, and contribute to facilitating market access","17.12.1","Average tariffs faced by developing countries, least developed countries and small island developing States","1","TM_TAX_ATRFD","Average tariff applied by developed countries, by type of product (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","ARM","Arms","","","","","","","","","","","","","",""
