GoalCode,GoalDesc,TargetCode,TargetDesc,IndicatorCode,IndicatorDesc,IndicatorTier,SeriesCode,SeriesDesc,SeriesRelease,Age_Code,Age_Desc,Bounds_Code,Bounds_Desc,ReportingType_Code,ReportingType_Desc,Nature_Code,Nature_Desc,Unitmultiplier_Code,Unitmultiplier_Desc,Units_Code,Units_Desc,GeoArea_Code,GeoArea_Desc,Year,TimeDetail,Value,ValueType,Source,Footnotes
2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.2,"By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",2.2.1,Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age,1,SH_STA_STUNTN,Children moderately or severely stunted (number),2019.Q1.G.01,<5Y,under 5 years old,LB,Lower bound,G,Global,M,Modeled data,MILLION,Millions,NUM_U5_M,Millions of children aged 0-59 months,62,Central and Southern Asia,2000.0,,83.2,Float,"Source: Joint Child Malnutrition Estimates (2018 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",
2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.2,"By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",2.2.1,Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age,1,SH_STA_STUNTN,Children moderately or severely stunted (number),2019.Q1.G.01,<5Y,under 5 years old,MP,Mid-point,G,Global,M,Modeled data,MILLION,Millions,NUM_U5_M,Millions of children aged 0-59 months,62,Central and Southern Asia,2000.0,,91.2,Float,"Source: Joint Child Malnutrition Estimates (2018 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",
2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.2,"By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",2.2.1,Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age,1,SH_STA_STUNTN,Children moderately or severely stunted (number),2019.Q1.G.01,<5Y,under 5 years old,UB,Upper bound,G,Global,M,Modeled data,MILLION,Millions,NUM_U5_M,Millions of children aged 0-59 months,62,Central and Southern Asia,2000.0,,99.1,Float,"Source: Joint Child Malnutrition Estimates (2018 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",
2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.2,"By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",2.2.1,Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age,1,SH_STA_STUNTN,Children moderately or severely stunted (number),2019.Q1.G.01,<5Y,under 5 years old,MP,Mid-point,G,Global,M,Modeled data,MILLION,Millions,NUM_U5_M,Millions of children aged 0-59 months,62,Central and Southern Asia,2005.0,,82.5,Float,"Source: Joint Child Malnutrition Estimates (2018 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",
2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.2,"By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",2.2.1,Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age,1,SH_STA_STUNTN,Children moderately or severely stunted (number),2019.Q1.G.01,<5Y,under 5 years old,LB,Lower bound,G,Global,M,Modeled data,MILLION,Millions,NUM_U5_M,Millions of children aged 0-59 months,62,Central and Southern Asia,2005.0,,74.1,Float,"Source: Joint Child Malnutrition Estimates (2018 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",
2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.2,"By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",2.2.1,Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age,1,SH_STA_STUNTN,Children moderately or severely stunted (number),2019.Q1.G.01,<5Y,under 5 years old,UB,Upper bound,G,Global,M,Modeled data,MILLION,Millions,NUM_U5_M,Millions of children aged 0-59 months,62,Central and Southern Asia,2005.0,,90.9,Float,"Source: Joint Child Malnutrition Estimates (2018 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",
2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.2,"By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",2.2.1,Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age,1,SH_STA_STUNTN,Children moderately or severely stunted (number),2019.Q1.G.01,<5Y,under 5 years old,MP,Mid-point,G,Global,M,Modeled data,MILLION,Millions,NUM_U5_M,Millions of children aged 0-59 months,62,Central and Southern Asia,2010.0,,74.1,Float,"Source: Joint Child Malnutrition Estimates (2018 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",
2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.2,"By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",2.2.1,Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age,1,SH_STA_STUNTN,Children moderately or severely stunted (number),2019.Q1.G.01,<5Y,under 5 years old,LB,Lower bound,G,Global,M,Modeled data,MILLION,Millions,NUM_U5_M,Millions of children aged 0-59 months,62,Central and Southern Asia,2010.0,,65.1,Float,"Source: Joint Child Malnutrition Estimates (2018 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",
2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.2,"By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",2.2.1,Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age,1,SH_STA_STUNTN,Children moderately or severely stunted (number),2019.Q1.G.01,<5Y,under 5 years old,UB,Upper bound,G,Global,M,Modeled data,MILLION,Millions,NUM_U5_M,Millions of children aged 0-59 months,62,Central and Southern Asia,2010.0,,83.2,Float,"Source: Joint Child Malnutrition Estimates (2018 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",
2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.2,"By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",2.2.1,Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age,1,SH_STA_STUNTN,Children moderately or severely stunted (number),2019.Q1.G.01,<5Y,under 5 years old,MP,Mid-point,G,Global,M,Modeled data,MILLION,Millions,NUM_U5_M,Millions of children aged 0-59 months,62,Central and Southern Asia,2015.0,,63.5,Float,"Source: Joint Child Malnutrition Estimates (2018 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",
