series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Sex	Units	Name of non-communicable disease	Sex description	Units description	Name of non-communicable disease description	2000	2005	2010	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	4	66.02688198	33.83160199	AFG	Afghanistan	1	FEMALE	NUMBER	RES	Female	Number	chronic respiratory disease	1839	2362	2558	3008	3154	3081	2016	3154	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	4	66.02688198	33.83160199	AFG	Afghanistan	2	BOTHSEX	NUMBER	RES	Both	Number	chronic respiratory disease	4391	5496	5706	6440	6715	6577.5	2016	6715	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	4	66.02688198	33.83160199	AFG	Afghanistan	3	MALE	NUMBER	RES	Male	Number	chronic respiratory disease	2552	3134	3148	3432	3560	3496	2016	3560	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	4	66.02688198	33.83160199	AFG	Afghanistan	4	FEMALE	NUMBER	CAN	Female	Number	cancer	5491	6899	7659	8972	9263	9117.5	2016	9263	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	4	66.02688198	33.83160199	AFG	Afghanistan	5	MALE	NUMBER	CAN	Male	Number	cancer	5981	7675	8540	10319	10702	10510.5	2016	10702	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	4	66.02688198	33.83160199	AFG	Afghanistan	6	BOTHSEX	NUMBER	CAN	Both	Number	cancer	11473	14574	16199	19290	19965	19627.5	2016	19965	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	4	66.02688198	33.83160199	AFG	Afghanistan	7	MALE	NUMBER	CAR	Male	Number	cardiovascular disease	18021	22242	23248	25728	26828	26278	2016	26828	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	4	66.02688198	33.83160199	AFG	Afghanistan	8	BOTHSEX	NUMBER	CAR	Both	Number	cardiovascular disease	33427	41179	43842	49050	51244	50147	2016	51244	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	4	66.02688198	33.83160199	AFG	Afghanistan	9	FEMALE	NUMBER	CAR	Female	Number	cardiovascular disease	15406	18936	20594	23322	24416	23869	2016	24416	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	4	66.02688198	33.83160199	AFG	Afghanistan	10	BOTHSEX	NUMBER	DIA	Both	Number	diabetes	2975	4109	4852	6523	7056	6789.5	2016	7056	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
