"ISO3CD","X","Y","GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Sex_Code","Sex_Desc","ReportingType_Code","ReportingType_Desc","Units_Code","Units_Desc","Footnotes_2009","Footnotes_2010","Footnotes_2011","Footnotes_2012","Footnotes_2014","Footnotes_2015","Footnotes_2016","Nature_Code_2009","Nature_Code_2010","Nature_Code_2011","Nature_Code_2012","Nature_Code_2014","Nature_Code_2015","Nature_Code_2016","Source_2009","Source_2010","Source_2011","Source_2012","Source_2014","Source_2015","Source_2016","TimeDetail_2009","TimeDetail_2010","TimeDetail_2011","TimeDetail_2012","TimeDetail_2014","TimeDetail_2015","TimeDetail_2016","Value_2009","Value_2010","Value_2011","Value_2012","Value_2014","Value_2015","Value_2016","Latest_Year","Latest_Value"
"","","","1","World","1","End poverty in all its forms everywhere","1.3","Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable","1.3.1","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","1","SI_COV_PENSN","[ILO] Proportion of population above statutory pensionable age receiving a pension, by sex (%)","2019.Q1.G.01","BOTHSEX","Both sexes","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","E","","","","","","","ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)","","","","","","","","","","","","","","67.93243",2016.0,"67.93243"
"","","","1","World","1","End poverty in all its forms everywhere","1.3","Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable","1.3.1","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","1","SI_COV_PENSN","[ILO] Proportion of population above statutory pensionable age receiving a pension, by sex (%)","2019.Q1.G.01","FEMALE","Female","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","1","World","1","End poverty in all its forms everywhere","1.3","Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable","1.3.1","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","1","SI_COV_PENSN","[ILO] Proportion of population above statutory pensionable age receiving a pension, by sex (%)","2019.Q1.G.01","MALE","Male","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BGR","25.23763153","42.75731323","100","Bulgaria","1","End poverty in all its forms everywhere","1.3","Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable","1.3.1","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","1","SI_COV_PENSN","[ILO] Proportion of population above statutory pensionable age receiving a pension, by sex (%)","2019.Q1.G.01","BOTHSEX","Both sexes","G","Global","PERCENT","Percentage","","","","","","","ILO estimates based on country data","","","","","","","E","","","","","","","ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3","","","","","","","","","","","","","","100",2016.0,"100"
"BGR","25.23763153","42.75731323","100","Bulgaria","1","End poverty in all its forms everywhere","1.3","Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable","1.3.1","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","1","SI_COV_PENSN","[ILO] Proportion of population above statutory pensionable age receiving a pension, by sex (%)","2019.Q1.G.01","FEMALE","Female","G","Global","PERCENT","Percentage","","","","","","","ILO estimates based on country data","","","","","","","E","","","","","","","ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3","","","","","","","","","","","","","","100",2016.0,"100"
"BGR","25.23763153","42.75731323","100","Bulgaria","1","End poverty in all its forms everywhere","1.3","Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable","1.3.1","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","1","SI_COV_PENSN","[ILO] Proportion of population above statutory pensionable age receiving a pension, by sex (%)","2019.Q1.G.01","MALE","Male","G","Global","PERCENT","Percentage","","","","","","","ILO estimates based on country data","","","","","","","E","","","","","","","ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3","","","","","","","","","","","","","","100",2016.0,"100"
"MMR","96.51752295","21.19332882","104","Myanmar","1","End poverty in all its forms everywhere","1.3","Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable","1.3.1","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","1","SI_COV_PENSN","[ILO] Proportion of population above statutory pensionable age receiving a pension, by sex (%)","2019.Q1.G.01","BOTHSEX","Both sexes","G","Global","PERCENT","Percentage","","","","","","","ILO estimates based on country data","","","","","","","E","","","","","","","ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3","","","","","","","","","","","","","","0.93467",2016.0,"0.93467"
"MMR","96.51752295","21.19332882","104","Myanmar","1","End poverty in all its forms everywhere","1.3","Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable","1.3.1","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","1","SI_COV_PENSN","[ILO] Proportion of population above statutory pensionable age receiving a pension, by sex (%)","2019.Q1.G.01","FEMALE","Female","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MMR","96.51752295","21.19332882","104","Myanmar","1","End poverty in all its forms everywhere","1.3","Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable","1.3.1","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","1","SI_COV_PENSN","[ILO] Proportion of population above statutory pensionable age receiving a pension, by sex (%)","2019.Q1.G.01","MALE","Male","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BDI","29.89080992","-3.366387428","108","Burundi","1","End poverty in all its forms everywhere","1.3","Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable","1.3.1","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","1","SI_COV_PENSN","[ILO] Proportion of population above statutory pensionable age receiving a pension, by sex (%)","2019.Q1.G.01","BOTHSEX","Both sexes","G","Global","PERCENT","Percentage","","","","","","","ILO estimates based on country data","","","","","","","E","","","","","","","ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3","","","","","","","","","","","","","","3.95487",2016.0,"3.95487"
