"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2000.0","Value_2001.0","Value_2002.0","Value_2003.0","Value_2004.0","Value_2005.0","Value_2006.0","Value_2007.0","Value_2008.0","Value_2009.0","Value_2010.0","Value_2011.0","Value_2012.0","Value_2013.0","Value_2014.0","Value_2015.0","Value_2016.0","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"1","World","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.11","Significantly increase the exports of developing countries, in particular with a view to doubling the least developed countries' share of global exports by 2020","17.11.1","Developing countries’ and least developed countries’ share of global exports","1","TX_IMP_GBMRCH","Developing countries’ and least developed countries’ share of global merchandise imports (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00",2016.0,"100.00","Country adjusted data","UNCTADstat (available at http://unctadstat.unctad.org/EN/). Data compiled by UNCTAD and WTO.",""
"2","Africa","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.11","Significantly increase the exports of developing countries, in particular with a view to doubling the least developed countries' share of global exports by 2020","17.11.1","Developing countries’ and least developed countries’ share of global exports","1","TX_IMP_GBMRCH","Developing countries’ and least developed countries’ share of global merchandise imports (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","1.95","2.10","2.04","2.13","2.24","2.38","2.45","2.64","2.92","3.24","3.11","3.08","3.31","3.38","3.38","3.33","3.06",2016.0,"3.06","Country adjusted data","UNCTADstat (available at http://unctadstat.unctad.org/EN/). Data compiled by UNCTAD and WTO.","Excluding Mayotte, Réunion."
"5","South America","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.11","Significantly increase the exports of developing countries, in particular with a view to doubling the least developed countries' share of global exports by 2020","17.11.1","Developing countries’ and least developed countries’ share of global exports","1","TX_IMP_GBMRCH","Developing countries’ and least developed countries’ share of global merchandise imports (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","2.25","2.31","1.83","1.67","1.85","2.03","2.19","2.45","2.84","2.74","3.01","3.18","3.20","3.28","3.12","2.89","2.47",2016.0,"2.47","Country adjusted data","UNCTADstat (available at http://unctadstat.unctad.org/EN/). Data compiled by UNCTAD and WTO.",""
"9","Oceania","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.11","Significantly increase the exports of developing countries, in particular with a view to doubling the least developed countries' share of global exports by 2020","17.11.1","Developing countries’ and least developed countries’ share of global exports","1","TX_IMP_GBMRCH","Developing countries’ and least developed countries’ share of global merchandise imports (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","1.38","1.30","1.42","1.49","1.50","1.50","1.43","1.47","1.51","1.60","1.60","1.61","1.69","1.58","1.56","1.55","1.51",2016.0,"1.51","Country adjusted data","UNCTADstat (available at http://unctadstat.unctad.org/EN/). Data compiled by UNCTAD and WTO.",""
"11","Western Africa","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.11","Significantly increase the exports of developing countries, in particular with a view to doubling the least developed countries' share of global exports by 2020","17.11.1","Developing countries’ and least developed countries’ share of global exports","1","TX_IMP_GBMRCH","Developing countries’ and least developed countries’ share of global merchandise imports (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.32","0.38","0.31","0.34","0.36","0.42","0.43","0.48","0.56","0.54","0.55","0.57","0.58","0.62","0.63","0.60","0.55",2016.0,"0.55","Country adjusted data","UNCTADstat (available at http://unctadstat.unctad.org/EN/). Data compiled by UNCTAD and WTO.",""
"13","Central America","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.11","Significantly increase the exports of developing countries, in particular with a view to doubling the least developed countries' share of global exports by 2020","17.11.1","Developing countries’ and least developed countries’ share of global exports","1","TX_IMP_GBMRCH","Developing countries’ and least developed countries’ share of global merchandise imports (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","3.09","3.11","3.04","2.66","2.52","2.55","2.56","2.48","2.37","2.35","2.45","2.41","2.51","2.54","2.63","2.94","2.95",2016.0,"2.95","Country adjusted data","UNCTADstat (available at http://unctadstat.unctad.org/EN/). Data compiled by UNCTAD and WTO.",""
"14","Eastern Africa","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.11","Significantly increase the exports of developing countries, in particular with a view to doubling the least developed countries' share of global exports by 2020","17.11.1","Developing countries’ and least developed countries’ share of global exports","1","TX_IMP_GBMRCH","Developing countries’ and least developed countries’ share of global merchandise imports (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.25","0.28","0.26","0.28","0.27","0.29","0.30","0.32","0.36","0.41","0.40","0.41","0.46","0.48","0.49","0.53","0.49",2016.0,"0.49","Country adjusted data","UNCTADstat (available at http://unctadstat.unctad.org/EN/). Data compiled by UNCTAD and WTO.","[2000-2011]: Excluding Mayotte, Réunion, South Sudan. // [2012-2016]: Excluding Mayotte, Réunion."
"15","Northern Africa","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.11","Significantly increase the exports of developing countries, in particular with a view to doubling the least developed countries' share of global exports by 2020","17.11.1","Developing countries’ and least developed countries’ share of global exports","1","TX_IMP_GBMRCH","Developing countries’ and least developed countries’ share of global merchandise imports (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.74","0.78","0.79","0.74","0.79","0.83","0.82","0.92","1.05","1.25","1.16","1.04","1.18","1.20","1.18","1.17","1.11",2016.0,"1.11","Country adjusted data","UNCTADstat (available at http://unctadstat.unctad.org/EN/). Data compiled by UNCTAD and WTO.","Including South Sudan. "
"17","Middle Africa","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.11","Significantly increase the exports of developing countries, in particular with a view to doubling the least developed countries' share of global exports by 2020","17.11.1","Developing countries’ and least developed countries’ share of global exports","1","TX_IMP_GBMRCH","Developing countries’ and least developed countries’ share of global merchandise imports (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.11","0.14","0.16","0.17","0.16","0.18","0.18","0.22","0.26","0.35","0.27","0.28","0.30","0.31","0.33","0.29","0.24",2016.0,"0.24","Country adjusted data","UNCTADstat (available at http://unctadstat.unctad.org/EN/). Data compiled by UNCTAD and WTO.",""
"18","Southern Africa","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.11","Significantly increase the exports of developing countries, in particular with a view to doubling the least developed countries' share of global exports by 2020","17.11.1","Developing countries’ and least developed countries’ share of global exports","1","TX_IMP_GBMRCH","Developing countries’ and least developed countries’ share of global merchandise imports (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.53","0.52","0.52","0.60","0.66","0.66","0.71","0.70","0.70","0.69","0.73","0.78","0.79","0.77","0.75","0.74","0.67",2016.0,"0.67","Country adjusted data","UNCTADstat (available at http://unctadstat.unctad.org/EN/). Data compiled by UNCTAD and WTO.",""
"19","Americas","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.11","Significantly increase the exports of developing countries, in particular with a view to doubling the least developed countries' share of global exports by 2020","17.11.1","Developing countries’ and least developed countries’ share of global exports","1","TX_IMP_GBMRCH","Developing countries’ and least developed countries’ share of global merchandise imports (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","28.46","27.88","26.78","24.65","23.80","24.07","23.61","22.29","21.37","20.74","21.20","20.79","21.17","20.99","21.33","22.71","22.30",2016.0,"22.30","Country adjusted data","UNCTADstat (available at http://unctadstat.unctad.org/EN/). Data compiled by UNCTAD and WTO.","Excluding Guadeloupe, Martinique."
"21","Northern America","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.11","Significantly increase the exports of developing countries, in particular with a view to doubling the least developed countries' share of global exports by 2020","17.11.1","Developing countries’ and least developed countries’ share of global exports","1","TX_IMP_GBMRCH","Developing countries’ and least developed countries’ share of global merchandise imports (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","22.62","21.95","21.44","19.92","19.07","19.08","18.44","16.95","15.73","15.27","15.39","14.83","15.11","14.83","15.24","16.53","16.53",2016.0,"16.53","Country adjusted data","UNCTADstat (available at http://unctadstat.unctad.org/EN/). Data compiled by UNCTAD and WTO.","Including Puerto Rico, United States Virgin Islands. "
"29","Caribbean","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.11","Significantly increase the exports of developing countries, in particular with a view to doubling the least developed countries' share of global exports by 2020","17.11.1","Developing countries’ and least developed countries’ share of global exports","1","TX_IMP_GBMRCH","Developing countries’ and least developed countries’ share of global merchandise imports (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.50","0.50","0.46","0.41","0.37","0.41","0.42","0.41","0.43","0.39","0.35","0.37","0.35","0.36","0.34","0.35","0.35",2016.0,"0.35","Country adjusted data","UNCTADstat (available at http://unctadstat.unctad.org/EN/). Data compiled by UNCTAD and WTO.","Excluding Guadeloupe, Martinique, Puerto Rico, United States Virgin Islands."
"30","Eastern Asia","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.11","Significantly increase the exports of developing countries, in particular with a view to doubling the least developed countries' share of global exports by 2020","17.11.1","Developing countries’ and least developed countries’ share of global exports","1","TX_IMP_GBMRCH","Developing countries’ and least developed countries’ share of global merchandise imports (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","16.90","16.36","16.68","17.25","17.83","17.89","18.03","17.82","18.08","19.05","20.88","21.36","21.88","22.29","22.12","21.49","21.03",2016.0,"21.03","Country adjusted data","UNCTADstat (available at http://unctadstat.unctad.org/EN/). Data compiled by UNCTAD and WTO.",""
"34","Southern Asia","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.11","Significantly increase the exports of developing countries, in particular with a view to doubling the least developed countries' share of global exports by 2020","17.11.1","Developing countries’ and least developed countries’ share of global exports","1","TX_IMP_GBMRCH","Developing countries’ and least developed countries’ share of global merchandise imports (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","1.42","1.50","1.61","1.70","1.84","2.20","2.28","2.42","2.84","3.00","3.29","3.48","3.55","3.34","3.37","3.34","3.28",2016.0,"3.28","Country adjusted data","UNCTADstat (available at http://unctadstat.unctad.org/EN/). Data compiled by UNCTAD and WTO.",""
"35","South-Eastern Asia","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.11","Significantly increase the exports of developing countries, in particular with a view to doubling the least developed countries' share of global exports by 2020","17.11.1","Developing countries’ and least developed countries’ share of global exports","1","TX_IMP_GBMRCH","Developing countries’ and least developed countries’ share of global merchandise imports (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","5.72","5.41","5.50","5.29","5.42","5.59","5.57","5.45","5.70","5.73","6.18","6.27","6.57","6.57","6.49","6.56","6.73",2016.0,"6.73","Country adjusted data","UNCTADstat (available at http://unctadstat.unctad.org/EN/). Data compiled by UNCTAD and WTO.",""
"39","Southern Europe","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.11","Significantly increase the exports of developing countries, in particular with a view to doubling the least developed countries' share of global exports by 2020","17.11.1","Developing countries’ and least developed countries’ share of global exports","1","TX_IMP_GBMRCH","Developing countries’ and least developed countries’ share of global merchandise imports (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","7.53","7.75","7.86","8.33","8.28","7.97","7.96","8.20","7.88","7.41","6.84","6.51","5.72","5.63","5.73","5.62","5.78",2016.0,"5.78","Country adjusted data","UNCTADstat (available at http://unctadstat.unctad.org/EN/). Data compiled by UNCTAD and WTO.",""
