"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2000.0","Value_2001.0","Value_2002.0","Value_2003.0","Value_2004.0","Value_2005.0","Value_2006.0","Value_2007.0","Value_2008.0","Value_2009.0","Value_2010.0","Value_2011.0","Value_2012.0","Value_2013.0","Value_2014.0","Value_2015.0","Value_2016.0","Value_2017.0","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"1","World","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.1","Manufacturing value added as a proportion of GDP and per capita","1","NV_IND_MANFPC","Manufacturing value added per capita (constant 2010 United States dollars)","2019.Q1.G.01","CON_10USD","Constant 2010 United States dollars","G","Global","1232.56295","1216.29936","1222.92462","1262.36157","1320.80304","1354.2446","1424.81551","1490.81327","1488.67099","1377.37935","1496.30911","1538.71513","1553.05714","1578.809","1611.60258","1642.79748","1667.7414","1707.7669",2017.0,"1707.7669","Modeled data","UNIDO MVA 2018 Database. Available at https://stat.unido.org","NA"
"2","Africa","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.1","Manufacturing value added as a proportion of GDP and per capita","1","NV_IND_MANFPC","Manufacturing value added per capita (constant 2010 United States dollars)","2019.Q1.G.01","CON_10USD","Constant 2010 United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"5","South America","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.1","Manufacturing value added as a proportion of GDP and per capita","1","NV_IND_MANFPC","Manufacturing value added per capita (constant 2010 United States dollars)","2019.Q1.G.01","CON_10USD","Constant 2010 United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"9","Oceania","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.1","Manufacturing value added as a proportion of GDP and per capita","1","NV_IND_MANFPC","Manufacturing value added per capita (constant 2010 United States dollars)","2019.Q1.G.01","CON_10USD","Constant 2010 United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"11","Western Africa","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.1","Manufacturing value added as a proportion of GDP and per capita","1","NV_IND_MANFPC","Manufacturing value added per capita (constant 2010 United States dollars)","2019.Q1.G.01","CON_10USD","Constant 2010 United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"13","Central America","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.1","Manufacturing value added as a proportion of GDP and per capita","1","NV_IND_MANFPC","Manufacturing value added per capita (constant 2010 United States dollars)","2019.Q1.G.01","CON_10USD","Constant 2010 United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"14","Eastern Africa","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.1","Manufacturing value added as a proportion of GDP and per capita","1","NV_IND_MANFPC","Manufacturing value added per capita (constant 2010 United States dollars)","2019.Q1.G.01","CON_10USD","Constant 2010 United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"15","Northern Africa","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.1","Manufacturing value added as a proportion of GDP and per capita","1","NV_IND_MANFPC","Manufacturing value added per capita (constant 2010 United States dollars)","2019.Q1.G.01","CON_10USD","Constant 2010 United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"17","Middle Africa","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.1","Manufacturing value added as a proportion of GDP and per capita","1","NV_IND_MANFPC","Manufacturing value added per capita (constant 2010 United States dollars)","2019.Q1.G.01","CON_10USD","Constant 2010 United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"18","Southern Africa","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.1","Manufacturing value added as a proportion of GDP and per capita","1","NV_IND_MANFPC","Manufacturing value added per capita (constant 2010 United States dollars)","2019.Q1.G.01","CON_10USD","Constant 2010 United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
