series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment (%)	4	66.02688198	33.83160199	AFG	Afghanistan	1	PERCENT	Percentage	46.1	46.4	43.7	39.8	36.1	33.2	30.2	27.1	24.6	23	22.3	22.2	22.7	23.4	23.8	23	23.02	2015	23	FAO, Statistics Division	E
2018.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment (%)	8	20.06660928	41.13897007	ALB	Albania	1	PERCENT	Percentage	7.2	7.8	8.7	9.7	10.7	11.1	11	10.5	9.7	8.7	7.6	6.7	6	5.5	5.1	4.9	5.64	2015	4.9	FAO, Statistics Division	E
2018.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment (%)	10	21.47585697	-80.40897662	ATA	Antarctica	1	PERCENT	Percentage																					
2018.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment (%)	12	2.678164227	28.15940032	DZA	Algeria	1	PERCENT	Percentage	10.7	10.2	9.7	9.3	9	8.8	8.4	8	7.5	7	6.3	5.6	5	4.7	4.6	4.6	4.9	2015	4.6	FAO, Statistics Division	E
2018.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	PERCENT	Percentage																					
2018.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment (%)	20	1.576257417	42.54548611	AND	Andorra	1	PERCENT	Percentage																					
2018.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment (%)	24	17.57817062	-12.33724746	AGO	Angola	1	PERCENT	Percentage	50	46.7	42.7	38.6	35	32.1	29.3	26.5	23.7	21.3	19.4	17.9	16.7	15.3	14.4	14	15.66	2015	14	FAO, Statistics Division	E
2018.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment (%)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	PERCENT	Percentage	40	42.1	43.5	41.9	37.6	31.5	27.4	25.4	26.1	27	28.1	27.8	27.8	27.1	27.2	26.7	27.32	2015	26.7	FAO, Statistics Division	E
2018.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment (%)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	PERCENT	Percentage	23.2	18.8	15	11.6	8.4	5.7	3.8	2.9	2.6	2.6								2009	2.6	FAO, Statistics Division	E
2018.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment (%)	32	-65.14563274	-35.19446255	ARG	Argentina	1	PERCENT	Percentage	3.5	4.1	4.9	5.3	5.2	4.7	4.4	4.2	4.1	4.1	4	3.9	3.7	3.6	3.4	3.6	3.64	2015	3.6	FAO, Statistics Division	E
2018.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment (%)	36	134.3499412	-25.57717202	AUS	Australia	1	PERCENT	Percentage																					
2018.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment (%)	40	14.14172472	47.58704857	AUT	Austria	1	PERCENT	Percentage																					
2018.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment (%)	44	-78.05111663	24.69546597	BHS	Bahamas	1	PERCENT	Percentage	6.9	6.8	7.5	8.3	9.2	10	10.8	11.4	11.9	12.2	12.3	11.9	11.2	10.7	10.3	10	10.82	2015	10	FAO, Statistics Division	E
2018.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment (%)	48	50.5490754	26.04407747	BHR	Bahrain	1	PERCENT	Percentage																					
2018.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment (%)	50	89.17660788	22.86961622	BGD	Bangladesh	1	PERCENT	Percentage	20.8	18.7	18.2	17.5	17.1	16.6	16.3	16.3	16.4	16.6	16.9	16.9	16.8	16.4	16	15.1	16.24	2015	15.1	FAO, Statistics Division	E
2018.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment (%)	51	44.93839317	40.29499741	ARM	Armenia	1	PERCENT	Percentage	23.8	23.6	20.8	15.7	11.1	8	6.3	5.5	5.2	5.5	5.8	5.7	5.2	4.6	4.2	4.4	4.82	2015	4.4	FAO, Statistics Division	E
2018.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment (%)	52	-59.5346489	13.13648273	BRB	Barbados	1	PERCENT	Percentage	5.4	5.8	6.3	6.3	6.3	5.9	5.6	5.3	5.1	5	5	4.9	4.8	4.6	4.5	4.4	4.64	2015	4.4	FAO, Statistics Division	E
2018.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment (%)	56	4.660976456	50.64104975	BEL	Belgium	1	PERCENT	Percentage																					
2018.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment (%)	60	-64.78155012	32.27881922	BMU	Bermuda	1	PERCENT	Percentage	12.3	13.7	15.3	17	17.5	16.6	14.8	13	11.7	11.3	11.7	12.2	12.5	12.6	12.5	12.8	12.52	2015	12.8	FAO, Statistics Division	E
2018.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment (%)	64	90.45098484	27.39598568	BTN	Bhutan	1	PERCENT	Percentage																					
2018.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment (%)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	PERCENT	Percentage	33.4	31.6	31.2	31.4	31.4	30.3	28.7	28	28.1	28	26.5	24.6	23.1	21.9	20.8	20.2	22.12	2015	20.2	FAO, Statistics Division	E
2018.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment (%)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	PERCENT	Percentage	4.7	5	4.8	4.4	3.7	3.4	3.1	3	2.8	2.6		2.5					2.5	2011	2.5	FAO, Statistics Division	E
2018.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment (%)	72	23.81380223	-22.18810073	BWA	Botswana	1	PERCENT	Percentage	35.6	35	34.7	33.5	32.5	32	32.3	32.5	31.9	30.5	28.6	26.6	25.1	24.6	24.6	26	25.38	2015	26	FAO, Statistics Division	E
2018.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment (%)	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	PERCENT	Percentage																					
2018.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment (%)	76	-53.08432878	-10.77668561	BRA	Brazil	1	PERCENT	Percentage	12	10.6	8.7	6.9	5.5	4.5	3.8	3.1	2.6									2008	2.6	FAO, Statistics Division	E
2018.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment (%)	84	-88.70199554	17.19965901	BLZ	Belize	1	PERCENT	Percentage	5.8	5	4.7	4.5	4.6	4.6	4.9	5.3	5.5	5.6	5.6	5.8	6.2	6.3	6.3	6.2	6.16	2015	6.2	FAO, Statistics Division	E
2018.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment (%)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	PERCENT	Percentage																					
2018.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment (%)	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	PERCENT	Percentage	15.1	14.6	13.6	12.9	12.3	11.9	11.4	11.2	10.9	10.7	10.6	11.2	12.2	13.2	13.8	13.9	12.86	2015	13.9	FAO, Statistics Division	E
2018.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment (%)	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	PERCENT	Percentage																					
2018.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment (%)	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	PERCENT	Percentage	3.1	2.8						2.7	3	3.2	3.2	3	2.8	2.6	2.5		2.725	2014	2.5	FAO, Statistics Division	E
2018.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment (%)	100	25.23763153	42.75731323	BGR	Bulgaria	1	PERCENT	Percentage	4.8	5.1	5.6	6	6.3	6.5	6.4	6.2	5.8	5.7	5.6	5.4	5	4.4	3.8	3.4	4.4	2015	3.4	FAO, Statistics Division	E
2018.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment (%)	104	96.51752295	21.19332882	MMR	Myanmar	1	PERCENT	Percentage	48.4	45	41.4	38.3	35.3	32.1	28.5	25	21.7	19.1	16.9	15.5	14.7	14.4	14.4	16.9	15.18	2015	16.9	FAO, Statistics Division	E
2018.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment (%)	108	29.89080992	-3.366387428	BDI	Burundi	1	PERCENT	Percentage																					
2018.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment (%)	112	28.04940161	53.54193075	BLR	Belarus	1	PERCENT	Percentage			3.2	3.7	3.6	3												2005	3	FAO, Statistics Division	E
2018.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment (%)	116	104.922836	12.71163737	KHM	Cambodia	1	PERCENT	Percentage	29.2	25.9	23.3	21.8	20.8	20	19.2	18.8	18.7	18.8	18.8	18.6	18	17.1	16.1	15.3	17.02	2015	15.3	FAO, Statistics Division	E
2018.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment (%)	120	12.7419827	5.692387031	CMR	Cameroon	1	PERCENT	Percentage	30.6	28.3	26.3	24.2	22.3	20.2	18.2	16.3	14.5	13	11.6	10.2	9.1	8.3	7.9	7.9	8.68	2015	7.9	FAO, Statistics Division	E
2018.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment (%)	124	-101.6575058	57.72360191	CAN	Canada	1	PERCENT	Percentage																					
2018.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment (%)	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	PERCENT	Percentage	17.8	17.9	17.6	16.6	15.2	14.4	14.3	14.5	15	15.5	15.8	15.5	15.1	14.6	14.1	13.7	14.6	2015	13.7	FAO, Statistics Division	E
2018.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment (%)	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	PERCENT	Percentage																					
2018.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment (%)	140	20.93559492	7.003720791	CAF	Central African Republic	1	PERCENT	Percentage	42.6	42	41.6	41.6	41.1	39.9	38.3	36.4	34.7	33.6	33.3	35.6	40.9	48.6	55.1	58.6	47.76	2015	58.6	FAO, Statistics Division	E
2018.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment (%)	144	80.70489654	7.614693343	LKA	Sri Lanka	1	PERCENT	Percentage	29.6	29.6	29.9	29.9	29.8	29.4	28.8	28	27.1	26.4	25.7	25.1	24.5	23.7	23	22.1	23.68	2015	22.1	FAO, Statistics Division	E
2018.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment (%)	148	18.66618401	15.36279341	TCD	Chad	1	PERCENT	Percentage	40.1	39.8	39.7	39.1	39.1	39.2	39.7	40.3	40.7	40.7	39.9	38.9	37.6	36.9	35.3	32.5	36.24	2015	32.5	FAO, Statistics Division	E
2018.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment (%)	152	-71.23029019	-35.2652885	CHL	Chile	1	PERCENT	Percentage	4.7	4.4	4.2	4.1	4	4	3.9	4	4.1	4.3	4.2	4.1	3.9	3.8	3.8	3.7	3.86	2015	3.7	FAO, Statistics Division	E
2018.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment (%)	156	104.1403375	32.30955217	CHN	China	1	PERCENT	Percentage	15.9	15.8	15.8	15.7	15.6	15.3	14.9	14.2	13.5	12.7	11.9	11.3	10.8	10.3	9.9	9.6	10.38	2015	9.6	FAO, Statistics Division	E
2018.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment (%)	162	105.6426067	-10.4882473	CXR	Christmas Island	1	PERCENT	Percentage																					
2018.Q2.G.01	SN_ITK_DEFC	Prevalence of undernourishment (%)	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	PERCENT	Percentage																					
