"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2000","Value_2001","Value_2002","Value_2003","Value_2004","Value_2005","Value_2006","Value_2007","Value_2008","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Value_2016","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"4","Afghanistan","AFG","66.02688198","33.83160199","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.3","Increase the access of small-scale industrial and other enterprises, in particular in developing countries, to financial services, including affordable credit, and their integration into value chains and markets","9.3.1","Proportion of small-scale industries in total industry value added","2","NV_IND_SSIS","Proportion of small-scale industries in total industry value added (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","",""
"8","Albania","ALB","20.06660928","41.13897007","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.3","Increase the access of small-scale industrial and other enterprises, in particular in developing countries, to financial services, including affordable credit, and their integration into value chains and markets","9.3.1","Proportion of small-scale industries in total industry value added","2","NV_IND_SSIS","Proportion of small-scale industries in total industry value added (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","25.82817","22.28566","23.4329","21.18623","21.04768","","","",2013.0,"21.04768","Country data","Structural Survey of Economic Enterprises, INSTAT","Value added at basic prices"
"10","Antarctica","ATA","21.47585697","-80.40897662","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.3","Increase the access of small-scale industrial and other enterprises, in particular in developing countries, to financial services, including affordable credit, and their integration into value chains and markets","9.3.1","Proportion of small-scale industries in total industry value added","2","NV_IND_SSIS","Proportion of small-scale industries in total industry value added (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","",""
"12","Algeria","DZA","2.678164227","28.15940032","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.3","Increase the access of small-scale industrial and other enterprises, in particular in developing countries, to financial services, including affordable credit, and their integration into value chains and markets","9.3.1","Proportion of small-scale industries in total industry value added","2","NV_IND_SSIS","Proportion of small-scale industries in total industry value added (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","",""
"16","American Samoa","ASM","-170.7187269","-14.30587306","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.3","Increase the access of small-scale industrial and other enterprises, in particular in developing countries, to financial services, including affordable credit, and their integration into value chains and markets","9.3.1","Proportion of small-scale industries in total industry value added","2","NV_IND_SSIS","Proportion of small-scale industries in total industry value added (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","",""
"20","Andorra","AND","1.576257417","42.54548611","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.3","Increase the access of small-scale industrial and other enterprises, in particular in developing countries, to financial services, including affordable credit, and their integration into value chains and markets","9.3.1","Proportion of small-scale industries in total industry value added","2","NV_IND_SSIS","Proportion of small-scale industries in total industry value added (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","",""
"24","Angola","AGO","17.57817062","-12.33724746","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.3","Increase the access of small-scale industrial and other enterprises, in particular in developing countries, to financial services, including affordable credit, and their integration into value chains and markets","9.3.1","Proportion of small-scale industries in total industry value added","2","NV_IND_SSIS","Proportion of small-scale industries in total industry value added (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","",""
"28","Antigua and Barbuda","ATG","-61.7999755","17.07761471","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.3","Increase the access of small-scale industrial and other enterprises, in particular in developing countries, to financial services, including affordable credit, and their integration into value chains and markets","9.3.1","Proportion of small-scale industries in total industry value added","2","NV_IND_SSIS","Proportion of small-scale industries in total industry value added (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","",""
"31","Azerbaijan","AZE","50.01064725","40.39229544","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.3","Increase the access of small-scale industrial and other enterprises, in particular in developing countries, to financial services, including affordable credit, and their integration into value chains and markets","9.3.1","Proportion of small-scale industries in total industry value added","2","NV_IND_SSIS","Proportion of small-scale industries in total industry value added (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","",""
"32","Argentina","ARG","-65.14563274","-35.19446255","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.3","Increase the access of small-scale industrial and other enterprises, in particular in developing countries, to financial services, including affordable credit, and their integration into value chains and markets","9.3.1","Proportion of small-scale industries in total industry value added","2","NV_IND_SSIS","Proportion of small-scale industries in total industry value added (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","",""
