ISO3CD,X,Y,GeoArea_Code,GeoArea_Desc,GoalCode,GoalDesc,TargetCode,TargetDesc,IndicatorCode,IndicatorDesc,IndicatorTier,SeriesCode,SeriesDesc,SeriesRelease,ReportingType_Code,ReportingType_Desc,Units_Code,Units_Desc,Footnotes_1995,Footnotes_2000,Footnotes_2005,Footnotes_2010,Footnotes_2012,Footnotes_2014,Footnotes_2016,Footnotes_2017,Nature_Code_1995,Nature_Code_2000,Nature_Code_2005,Nature_Code_2010,Nature_Code_2012,Nature_Code_2014,Nature_Code_2016,Nature_Code_2017,Source_1995,Source_2000,Source_2005,Source_2010,Source_2012,Source_2014,Source_2016,Source_2017,TimeDetail_1995,TimeDetail_2000,TimeDetail_2005,TimeDetail_2010,TimeDetail_2012,TimeDetail_2014,TimeDetail_2016,TimeDetail_2017,Value_1995,Value_2000,Value_2005,Value_2010,Value_2012,Value_2014,Value_2016,Value_2017,Latest_Year,Latest_Value
,,,1,World,2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.5,"By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed",2.5.1,Number of plant and animal genetic resources for food and agriculture secured in either medium or long-term conservation facilities,1,ER_GRF_PLNTSTOR,Plant breeds for which sufficient genetic resources are stored (number),2019.Q1.G.01,G,Global,NUMBER,Number,"Estimate based on the acquisition date of each conserved accession as reported in 2014, 2016 and 2017.","Estimate based on the acquisition date of each conserved accession as reported in 2014, 2016 and 2017.","Estimate based on the acquisition date of each conserved accession as reported in 2014, 2016 and 2017.","Estimate based on the acquisition date of each conserved accession as reported in 2014, 2016 and 2017.","Estimate based on the acquisition date of each conserved accession as reported in 2014, 2016 and 2017.",,,,E,E,E,E,E,C,C,C,FAO-WIEWS,FAO-WIEWS,FAO-WIEWS,FAO-WIEWS,FAO-WIEWS,FAO-WIEWS,FAO-WIEWS,FAO-WIEWS,,,,,,,,,2843859,3190075,3939929,4471214,4646019,4742907,4841461,4892145,2017.0,4892145
BGR,25.23763153,42.75731323,100,Bulgaria,2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.5,"By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed",2.5.1,Number of plant and animal genetic resources for food and agriculture secured in either medium or long-term conservation facilities,1,ER_GRF_PLNTSTOR,Plant breeds for which sufficient genetic resources are stored (number),2019.Q1.G.01,G,Global,NUMBER,Number,Estimate based on the acquisition date of each conserved accession as reported in 2014.,Estimate based on the acquisition date of each conserved accession as reported in 2014.,Estimate based on the acquisition date of each conserved accession as reported in 2014.,Estimate based on the acquisition date of each conserved accession as reported in 2014.,Estimate based on the acquisition date of each conserved accession as reported in 2014.,,,,E,E,E,E,E,C,C,C,FAO-WIEWS and EURISCO (http://eurisco.ipk-gatersleben.de),FAO-WIEWS and EURISCO (http://eurisco.ipk-gatersleben.de),FAO-WIEWS and EURISCO (http://eurisco.ipk-gatersleben.de),FAO-WIEWS and EURISCO (http://eurisco.ipk-gatersleben.de),FAO-WIEWS and EURISCO (http://eurisco.ipk-gatersleben.de),FAO-WIEWS and EURISCO (http://eurisco.ipk-gatersleben.de),FAO-WIEWS and EURISCO (http://eurisco.ipk-gatersleben.de),FAO-WIEWS and EURISCO (http://eurisco.ipk-gatersleben.de),,,,,,,,,62131,62131,62131,65875,65878,66126,67012,67510,2017.0,67510
MMR,96.51752295,21.19332882,104,Myanmar,2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.5,"By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed",2.5.1,Number of plant and animal genetic resources for food and agriculture secured in either medium or long-term conservation facilities,1,ER_GRF_PLNTSTOR,Plant breeds for which sufficient genetic resources are stored (number),2019.Q1.G.01,G,Global,NUMBER,Number,Estimate based on the acquisition date of each conserved accession as reported in 2017.,Estimate based on the acquisition date of each conserved accession as reported in 2017.,Estimate based on the acquisition date of each conserved accession as reported in 2017.,Estimate based on the acquisition date of each conserved accession as reported in 2017.,Estimate based on the acquisition date of each conserved accession as reported in 2017.,Estimate based on the acquisition date of each conserved accession as reported in 2017.,Estimate based on the acquisition date of each conserved accession as reported in 2017.,,E,E,E,E,E,E,E,C,FAO-WIEWS,FAO-WIEWS,FAO-WIEWS,FAO-WIEWS,FAO-WIEWS,FAO-WIEWS,FAO-WIEWS,FAO-WIEWS,,,,,,,,,3214,7187,8746,10718,11393,11774,11902,12050,2017.0,12050
BLR,28.04940161,53.54193075,112,Belarus,2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.5,"By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed",2.5.1,Number of plant and animal genetic resources for food and agriculture secured in either medium or long-term conservation facilities,1,ER_GRF_PLNTSTOR,Plant breeds for which sufficient genetic resources are stored (number),2019.Q1.G.01,G,Global,NUMBER,Number,,,,Estimate based on the acquisition date of each conserved accession as reported in 2012.,,Estimate based on 2012 report.,Estimate based on 2012 report.,Estimate based on 2012 report.,NA,NA,NA,E,C,E,E,E,NA,NA,NA,FAO-WIEWS and EURISCO (http://eurisco.ipk-gatersleben.de),FAO-WIEWS and EURISCO (http://eurisco.ipk-gatersleben.de),FAO-WIEWS and EURISCO (http://eurisco.ipk-gatersleben.de),FAO-WIEWS and EURISCO (http://eurisco.ipk-gatersleben.de),FAO-WIEWS and EURISCO (http://eurisco.ipk-gatersleben.de),,,,,,,,,0,0,0,14,203,203,203,203,2017.0,203
CAN,-101.6575058,57.72360191,124,Canada,2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.5,"By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed",2.5.1,Number of plant and animal genetic resources for food and agriculture secured in either medium or long-term conservation facilities,1,ER_GRF_PLNTSTOR,Plant breeds for which sufficient genetic resources are stored (number),2019.Q1.G.01,G,Global,NUMBER,Number,Estimate based on the acquisition date of each conserved accession as reported in 2014.,Estimate based on the acquisition date of each conserved accession as reported in 2014.,Estimate based on the acquisition date of each conserved accession as reported in 2014.,Estimate based on the acquisition date of each conserved accession as reported in 2014.,Estimate based on the acquisition date of each conserved accession as reported in 2014.,,,Estimate based on 2016 report.,E,E,E,E,E,C,C,E,FAO-WIEWS,FAO-WIEWS,FAO-WIEWS,FAO-WIEWS,FAO-WIEWS,FAO-WIEWS,FAO-WIEWS,FAO-WIEWS,,,,,,,,,102075,106510,108299,109244,110363,110363,110363,110363,2017.0,110363
LKA,80.70489654,7.614693343,144,Sri Lanka,2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.5,"By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed",2.5.1,Number of plant and animal genetic resources for food and agriculture secured in either medium or long-term conservation facilities,1,ER_GRF_PLNTSTOR,Plant breeds for which sufficient genetic resources are stored (number),2019.Q1.G.01,G,Global,NUMBER,Number,Estimate based on the acquisition date of each conserved accession as reported in 2014.,Estimate based on the acquisition date of each conserved accession as reported in 2014.,Estimate based on the acquisition date of each conserved accession as reported in 2014.,Estimate based on the acquisition date of each conserved accession as reported in 2014.,Estimate based on the acquisition date of each conserved accession as reported in 2014.,,,,E,E,E,E,E,C,C,C,FAO-WIEWS,FAO-WIEWS,FAO-WIEWS,FAO-WIEWS,FAO-WIEWS,FAO-WIEWS,FAO-WIEWS,FAO-WIEWS,,,,,,,,,5593,6435,7375,8469,8589,8809,9944,10418,2017.0,10418
CHL,-71.23029019,-35.2652885,152,Chile,2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.5,"By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed",2.5.1,Number of plant and animal genetic resources for food and agriculture secured in either medium or long-term conservation facilities,1,ER_GRF_PLNTSTOR,Plant breeds for which sufficient genetic resources are stored (number),2019.Q1.G.01,G,Global,NUMBER,Number,Estimate based on the acquisition date of each conserved accession as reported in 2014.,Estimate based on the acquisition date of each conserved accession as reported in 2014.,Estimate based on the acquisition date of each conserved accession as reported in 2014.,Estimate based on the acquisition date of each conserved accession as reported in 2014.,Estimate based on the acquisition date of each conserved accession as reported in 2014.,,,Estimate based on 2016 report.,E,E,E,E,E,C,C,E,FAO-WIEWS,FAO-WIEWS,FAO-WIEWS,FAO-WIEWS,FAO-WIEWS,FAO-WIEWS,FAO-WIEWS,FAO-WIEWS,,,,,,,,,11594,13509,15569,15846,27145,33488,36563,36563,2017.0,36563
CRI,-84.19712782,9.970998683,188,Costa Rica,2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.5,"By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed",2.5.1,Number of plant and animal genetic resources for food and agriculture secured in either medium or long-term conservation facilities,1,ER_GRF_PLNTSTOR,Plant breeds for which sufficient genetic resources are stored (number),2019.Q1.G.01,G,Global,NUMBER,Number,Estimate based on the acquisition date of each conserved accession as reported in 2014.,Estimate based on the acquisition date of each conserved accession as reported in 2014.,Estimate based on the acquisition date of each conserved accession as reported in 2014.,Estimate based on the acquisition date of each conserved accession as reported in 2014.,Estimate based on the acquisition date of each conserved accession as reported in 2014.,,,Estimate based on 2016 report.,E,E,E,E,E,C,C,E,FAO-WIEWS,FAO-WIEWS,FAO-WIEWS,FAO-WIEWS,FAO-WIEWS,FAO-WIEWS,FAO-WIEWS,FAO-WIEWS,,,,,,,,,549,549,549,591,591,732,861,861,2017.0,861
HRV,17.95874553,45.45172212,191,Croatia,2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.5,"By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed",2.5.1,Number of plant and animal genetic resources for food and agriculture secured in either medium or long-term conservation facilities,1,ER_GRF_PLNTSTOR,Plant breeds for which sufficient genetic resources are stored (number),2019.Q1.G.01,G,Global,NUMBER,Number,Estimate based on the acquisition date of each conserved accession as reported in 2014.,Estimate based on the acquisition date of each conserved accession as reported in 2014.,Estimate based on the acquisition date of each conserved accession as reported in 2014.,Estimate based on the acquisition date of each conserved accession as reported in 2014.,Estimate based on the acquisition date of each conserved accession as reported in 2014.,,,,E,E,E,E,E,C,C,C,FAO-WIEWS and EURISCO (http://eurisco.ipk-gatersleben.de),FAO-WIEWS and EURISCO (http://eurisco.ipk-gatersleben.de),FAO-WIEWS and EURISCO (http://eurisco.ipk-gatersleben.de),FAO-WIEWS and EURISCO (http://eurisco.ipk-gatersleben.de),FAO-WIEWS and EURISCO (http://eurisco.ipk-gatersleben.de),FAO-WIEWS and EURISCO (http://eurisco.ipk-gatersleben.de),FAO-WIEWS and EURISCO (http://eurisco.ipk-gatersleben.de),FAO-WIEWS and EURISCO (http://eurisco.ipk-gatersleben.de),,,,,,,,,2279,2290,2404,3040,3073,3233,3423,3423,2017.0,3423
CUB,-79.54460144,22.10030366,192,Cuba,2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.5,"By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed",2.5.1,Number of plant and animal genetic resources for food and agriculture secured in either medium or long-term conservation facilities,1,ER_GRF_PLNTSTOR,Plant breeds for which sufficient genetic resources are stored (number),2019.Q1.G.01,G,Global,NUMBER,Number,Estimate based on the acquisition date of each conserved accession as reported in 2014.,Estimate based on the acquisition date of each conserved accession as reported in 2014.,Estimate based on the acquisition date of each conserved accession as reported in 2014.,Estimate based on the acquisition date of each conserved accession as reported in 2014.,Estimate based on the acquisition date of each conserved accession as reported in 2014.,,,,E,E,E,E,E,C,C,C,FAO-WIEWS,FAO-WIEWS,FAO-WIEWS,FAO-WIEWS,FAO-WIEWS,FAO-WIEWS,FAO-WIEWS,FAO-WIEWS,,,,,,,,,11533,13213,14953,16649,17945,18420,19018,19123,2017.0,19123
