"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2005.0","Value_2016.0","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"1","World","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","",""
"2","Africa","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","",""
"5","South America","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","",""
"9","Oceania","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","",""
"11","Western Africa","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","",""
"13","Central America","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","",""
"14","Eastern Africa","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","",""
"15","Northern Africa","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","",""
"17","Middle Africa","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","",""
"18","Southern Africa","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","",""
"19","Americas","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","",""
"21","Northern America","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","",""
"29","Caribbean","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","",""
"30","Eastern Asia","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","",""
"34","Southern Asia","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","",""
"35","South-Eastern Asia","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","",""
"39","Southern Europe","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","",""
"53","Australia and New Zealand","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","",""
"54","Melanesia","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","",""
"57","Micronesia","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","",""
"61","Polynesia","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","",""
"62","Central and Southern Asia","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","",""
"97","European Union","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","",""
