series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Units	Age description	Units description	years	value	valueType	time_detail	source	Nature
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	4	66.02688198	33.83160199	AFG	Afghanistan	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2000	0	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	4	66.02688198	33.83160199	AFG	Afghanistan	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2005	0.29875	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	4	66.02688198	33.83160199	AFG	Afghanistan	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2010	0.23432	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	4	66.02688198	33.83160199	AFG	Afghanistan	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2015	0.22457	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	4	66.02688198	33.83160199	AFG	Afghanistan	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2016	0.22081	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	8	20.06660928	41.13897007	ALB	Albania	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2000	6.83001	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	8	20.06660928	41.13897007	ALB	Albania	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2005	8.1808	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	8	20.06660928	41.13897007	ALB	Albania	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2010	7.90804	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	8	20.06660928	41.13897007	ALB	Albania	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2015	7.33718	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	8	20.06660928	41.13897007	ALB	Albania	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2016	7.46907	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	10	21.47585697	-80.40897662	ATA	Antarctica	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2000					
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	10	21.47585697	-80.40897662	ATA	Antarctica	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2005					
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	10	21.47585697	-80.40897662	ATA	Antarctica	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2010					
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	10	21.47585697	-80.40897662	ATA	Antarctica	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2015					
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	10	21.47585697	-80.40897662	ATA	Antarctica	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2016					
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	12	2.678164227	28.15940032	DZA	Algeria	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2000	0.54295	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	12	2.678164227	28.15940032	DZA	Algeria	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2005	0.88364	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	12	2.678164227	28.15940032	DZA	Algeria	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2010	0.68856	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	12	2.678164227	28.15940032	DZA	Algeria	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2015	0.92483	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	12	2.678164227	28.15940032	DZA	Algeria	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2016	0.92012	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2000					
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2005					
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2010					
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2015					
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2016					
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	20	1.576257417	42.54548611	AND	Andorra	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2000	13.39483	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	20	1.576257417	42.54548611	AND	Andorra	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2005	12.87741	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	20	1.576257417	42.54548611	AND	Andorra	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2010	11.36876	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	20	1.576257417	42.54548611	AND	Andorra	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2015	11.35273	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	20	1.576257417	42.54548611	AND	Andorra	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2016	11.28772	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	24	17.57817062	-12.33724746	AGO	Angola	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2000	3.86918	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	24	17.57817062	-12.33724746	AGO	Angola	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2005	6.78771	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	24	17.57817062	-12.33724746	AGO	Angola	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2010	9.04344	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	24	17.57817062	-12.33724746	AGO	Angola	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2015	8.22273	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	24	17.57817062	-12.33724746	AGO	Angola	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2016	6.39472	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2000	5.26646	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2005	6.259	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2010	6.05005	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2015	7.01993	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2016	7.01917	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2000	8.50608	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2005	3.07268	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2010	2.94245	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2015	1.61344	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2016	0.81804	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	32	-65.14563274	-35.19446255	ARG	Argentina	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2000	9.27113	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	32	-65.14563274	-35.19446255	ARG	Argentina	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2005	8.6163	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	32	-65.14563274	-35.19446255	ARG	Argentina	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2010	9.25045	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	32	-65.14563274	-35.19446255	ARG	Argentina	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2015	9.63155	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	32	-65.14563274	-35.19446255	ARG	Argentina	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2016	9.82001	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	36	134.3499412	-25.57717202	AUS	Australia	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2000	11.76298	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	36	134.3499412	-25.57717202	AUS	Australia	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2005	12.08463	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	36	134.3499412	-25.57717202	AUS	Australia	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2010	12.45253	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	36	134.3499412	-25.57717202	AUS	Australia	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2015	10.62128	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	36	134.3499412	-25.57717202	AUS	Australia	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2016	10.62128	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	40	14.14172472	47.58704857	AUT	Austria	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2000	13.61738	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	40	14.14172472	47.58704857	AUT	Austria	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2005	12.81204	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	40	14.14172472	47.58704857	AUT	Austria	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2010	12.00566	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	40	14.14172472	47.58704857	AUT	Austria	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2015	11.90698	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	40	14.14172472	47.58704857	AUT	Austria	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2016	11.64384	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	44	-78.05111663	24.69546597	BHS	Bahamas	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2000	5.1299	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	44	-78.05111663	24.69546597	BHS	Bahamas	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2005	4.88777	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
