series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Sex	Units	Age description	Sex description	Units description	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate (deaths per 1,000 live births)	4	66.02688198	33.83160199	AFG	Afghanistan	1	<1M	BOTHSEX	PER_1000_LIVE_BIRTHS	under 1 month old	Both	Per 1,000 live births	61.3	60.1	58.9	57.7	56.4	55.1	53.7	52.3	50.9	49.4	48	46.5	45.1	43.7	42.4	41.1	40	42.46	2016	40	Source: United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2017. 	NA
2018.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate (deaths per 1,000 live births)	8	20.06660928	41.13897007	ALB	Albania	1	<1M	BOTHSEX	PER_1000_LIVE_BIRTHS	under 1 month old	Both	Per 1,000 live births	11.3	11	10.7	10.3	9.9	9.5	9.1	8.7	8.4	8	7.7	7.5	7.2	6.9	6.7	6.5	6.2	6.7	2016	6.2	Source: United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2017. 	NA
2018.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate (deaths per 1,000 live births)	10	21.47585697	-80.40897662	ATA	Antarctica	1	<1M	BOTHSEX	PER_1000_LIVE_BIRTHS	under 1 month old	Both	Per 1,000 live births																						
2018.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate (deaths per 1,000 live births)	12	2.678164227	28.15940032	DZA	Algeria	1	<1M	BOTHSEX	PER_1000_LIVE_BIRTHS	under 1 month old	Both	Per 1,000 live births	21	20.9	20.6	20.2	19.7	19.3	18.8	18.3	17.7	17.3	16.8	16.4	16.1	16	15.8	15.7	15.6	15.84	2016	15.6	Source: United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2017. 	NA
2018.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate (deaths per 1,000 live births)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	<1M	BOTHSEX	PER_1000_LIVE_BIRTHS	under 1 month old	Both	Per 1,000 live births																						
2018.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate (deaths per 1,000 live births)	20	1.576257417	42.54548611	AND	Andorra	1	<1M	BOTHSEX	PER_1000_LIVE_BIRTHS	under 1 month old	Both	Per 1,000 live births	2	1.9	1.8	1.7	1.7	1.6	1.6	1.5	1.4	1.4	1.3	1.3	1.2	1.2	1.2	1.1	1.1	1.16	2016	1.1	Source: United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2017. 	NA
2018.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate (deaths per 1,000 live births)	24	17.57817062	-12.33724746	AGO	Angola	1	<1M	BOTHSEX	PER_1000_LIVE_BIRTHS	under 1 month old	Both	Per 1,000 live births	51.6	50.4	49.2	47.7	46.2	44.5	42.8	41.2	39.5	38	36.5	35.1	33.8	32.5	31.3	30.3	29.3	31.44	2016	29.3	Source: United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2017. 	NA
2018.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate (deaths per 1,000 live births)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	<1M	BOTHSEX	PER_1000_LIVE_BIRTHS	under 1 month old	Both	Per 1,000 live births	10.2	9.6	9.1	8.5	8	7.5	7	6.6	6.2	5.8	5.3	4.9	4.6	4.3	4.1	3.9	3.8	4.14	2016	3.8	Source: United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2017. 	NA
2018.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate (deaths per 1,000 live births)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	<1M	BOTHSEX	PER_1000_LIVE_BIRTHS	under 1 month old	Both	Per 1,000 live births	34.4	32.9	31.4	29.9	28.5	27.2	26	24.8	23.8	22.8	21.9	21.2	20.5	19.8	19.2	18.6	18.1	19.24	2016	18.1	Source: United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2017. 	NA
2018.Q2.G.01	SH_DYN_NMRT	Neonatal mortality rate (deaths per 1,000 live births)	32	-65.14563274	-35.19446255	ARG	Argentina	1	<1M	BOTHSEX	PER_1000_LIVE_BIRTHS	under 1 month old	Both	Per 1,000 live births	11.2	11	10.7	10.2	9.7	9.2	8.7	8.3	8.1	7.8	7.6	7.5	7.4	7.3	7	6.6	6.2	6.9	2016	6.2	Source: United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2017. 	NA
