"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_1990.0","Value_1991.0","Value_1992.0","Value_1993.0","Value_1994.0","Value_1995.0","Value_1996.0","Value_1997.0","Value_1998.0","Value_1999.0","Value_2000.0","Value_2001.0","Value_2002.0","Value_2003.0","Value_2004.0","Value_2005.0","Value_2006.0","Value_2007.0","Value_2008.0","Value_2009.0","Value_2010.0","Value_2011.0","Value_2012.0","Value_2013.0","Value_2014.0","Value_2015.0","Value_2016.0","Latest_Year","Latest_Value","Nature_Desc","Source"
"1","World","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.3","Mobilize additional financial resources for developing countries from multiple sources","17.3.2","Volume of remittances (in United States dollars) as a proportion of total GDP","1","BX_TRF_PWKR","Volume of remittances (in United States dollars) as a proportion of total GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.40","0.33","0.34","0.34","0.35","0.32","0.32","0.37","0.37","0.37","0.37","0.41","0.45","0.50","0.51","0.55","0.59","0.62","0.65","0.66","0.65","0.65","0.67","0.69","0.71","0.76","0.72",2016.0,"0.72","Data nature not available","World Development Indicators, World Bank"
"2","Africa","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.3","Mobilize additional financial resources for developing countries from multiple sources","17.3.2","Volume of remittances (in United States dollars) as a proportion of total GDP","1","BX_TRF_PWKR","Volume of remittances (in United States dollars) as a proportion of total GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","2.18","2.42","2.94","2.90","2.41","2.17","2.00","2.35","2.34","2.19","2.00","2.16","2.28","2.23","2.37","3.27","3.28","3.51","3.17","3.13","2.90","2.94","3.01","2.82","2.87","3.11","2.99",2016.0,"2.99","Data nature not available","World Development Indicators, World Bank"
"5","South America","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.3","Mobilize additional financial resources for developing countries from multiple sources","17.3.2","Volume of remittances (in United States dollars) as a proportion of total GDP","1","BX_TRF_PWKR","Volume of remittances (in United States dollars) as a proportion of total GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.16","0.24","0.35","0.28","0.39","0.38","0.30","0.27","0.26","0.43","0.41","0.50","0.73","0.83","0.77","0.69","0.69","0.63","0.55","0.49","0.41","0.36","0.34","0.34","0.33","0.46","0.49",2016.0,"0.49","Data nature not available","World Development Indicators, World Bank"
"9","Oceania","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.3","Mobilize additional financial resources for developing countries from multiple sources","17.3.2","Volume of remittances (in United States dollars) as a proportion of total GDP","1","BX_TRF_PWKR","Volume of remittances (in United States dollars) as a proportion of total GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.89","0.87","0.71","0.56","0.66","0.50","0.56","0.33","0.18","0.19","0.18","0.21","0.20","0.21","0.20","0.21","0.20","0.22","0.20","0.20","0.21","0.22","0.20","0.19","0.19","0.20","0.20",2016.0,"0.20","Data nature not available","World Development Indicators, World Bank"
"11","Western Africa","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.3","Mobilize additional financial resources for developing countries from multiple sources","17.3.2","Volume of remittances (in United States dollars) as a proportion of total GDP","1","BX_TRF_PWKR","Volume of remittances (in United States dollars) as a proportion of total GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.99","1.10","1.22","2.78","2.41","2.36","2.26","3.45","3.09","2.64","2.65","2.51","2.24","2.12","2.69","9.48","8.64","8.06","7.10","7.83","4.81","4.98","4.56","4.14","3.94","5.07","5.05",2016.0,"5.05","Data nature not available","World Development Indicators, World Bank"
"13","Central America","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.3","Mobilize additional financial resources for developing countries from multiple sources","17.3.2","Volume of remittances (in United States dollars) as a proportion of total GDP","1","BX_TRF_PWKR","Volume of remittances (in United States dollars) as a proportion of total GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","1.29","1.13","1.21","0.96","0.98","1.57","1.52","1.42","1.57","1.44","1.44","1.75","1.97","2.85","3.17","3.30","3.51","3.36","3.14","3.25","2.84","2.69","2.69","2.58","2.69","3.12","3.64",2016.0,"3.64","Data nature not available","World Development Indicators, World Bank"
"14","Eastern Africa","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.3","Mobilize additional financial resources for developing countries from multiple sources","17.3.2","Volume of remittances (in United States dollars) as a proportion of total GDP","1","BX_TRF_PWKR","Volume of remittances (in United States dollars) as a proportion of total GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","1.31","","0.86","1.66","1.67","2.01","1.94","0.91","1.11","0.90","1.34","1.34","1.39","1.54","1.48","1.95","2.22","2.51","2.60","2.30","2.38","2.33","2.16",2016.0,"2.16","Data nature not available","World Development Indicators, World Bank"
"15","Northern Africa","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.3","Mobilize additional financial resources for developing countries from multiple sources","17.3.2","Volume of remittances (in United States dollars) as a proportion of total GDP","1","BX_TRF_PWKR","Volume of remittances (in United States dollars) as a proportion of total GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","4.53","5.67","7.06","6.12","4.81","4.25","3.82","3.91","3.77","3.44","2.73","3.26","3.63","3.94","4.16","3.29","3.18","4.01","3.66","3.28","3.87","3.78","4.12","3.85","4.02","3.73","3.54",2016.0,"3.54","Data nature not available","World Development Indicators, World Bank"
"17","Middle Africa","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.3","Mobilize additional financial resources for developing countries from multiple sources","17.3.2","Volume of remittances (in United States dollars) as a proportion of total GDP","1","BX_TRF_PWKR","Volume of remittances (in United States dollars) as a proportion of total GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","0.12","","","","","","","","","","","","0.20","0.18","0.12","0.22","0.16","0.18","0.19","0.24","0.17",2016.0,"0.17","Data nature not available","World Development Indicators, World Bank"
"18","Southern Africa","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.3","Mobilize additional financial resources for developing countries from multiple sources","17.3.2","Volume of remittances (in United States dollars) as a proportion of total GDP","1","BX_TRF_PWKR","Volume of remittances (in United States dollars) as a proportion of total GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.63","0.58","0.55","0.47","0.39","0.39","0.37","0.42","0.46","0.46","0.60","0.57","0.57","0.55","0.51","0.52","0.52","0.50","0.48","0.50","0.45","0.44","0.42","0.40","0.39","0.39","0.39",2016.0,"0.39","Data nature not available","World Development Indicators, World Bank"
