"ISO3CD","X","Y","GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","ReportingType_Code","ReportingType_Desc","Units_Code","Units_Desc","Footnotes_2008","Footnotes_2009","Footnotes_2010","Footnotes_2011","Footnotes_2012","Footnotes_2013","Footnotes_2014","Footnotes_2015","Footnotes_2016","Nature_Code_2008","Nature_Code_2009","Nature_Code_2010","Nature_Code_2011","Nature_Code_2012","Nature_Code_2013","Nature_Code_2014","Nature_Code_2015","Nature_Code_2016","Source_2008","Source_2009","Source_2010","Source_2011","Source_2012","Source_2013","Source_2014","Source_2015","Source_2016","TimeDetail_2008","TimeDetail_2009","TimeDetail_2010","TimeDetail_2011","TimeDetail_2012","TimeDetail_2013","TimeDetail_2014","TimeDetail_2015","TimeDetail_2016","Value_2008","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Value_2016","Latest_Year","Latest_Value"
"","","","1","World","3","Ensure healthy lives and promote well-being for all at all ages","3.b","Support the research and development of vaccines and medicines for the communicable and non-communicable diseases that primarily affect developing countries, provide access to affordable essential medicines and vaccines, in accordance with the Doha Declaration on the TRIPS Agreement and Public Health, which affirms the right of developing countries to use to the full the provisions in the Agreement on Trade-Related Aspects of Intellectual Property Rights regarding flexibilities to protect public health, and, in particular, provide access to medicines for all","3.b.1","Proportion of the target population covered by all vaccines included in their national programme","2","SH_ACS_PCV3","Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","E","E","E","E","E","E","E","E","E","WHO/UNICEF coverage estimates 2016 revision, July 2017","WHO/UNICEF coverage estimates 2016 revision, July 2017","WHO/UNICEF coverage estimates 2016 revision, July 2017","WHO/UNICEF coverage estimates 2016 revision, July 2017","WHO/UNICEF coverage estimates 2016 revision, July 2017","WHO/UNICEF coverage estimates 2016 revision, July 2017","WHO/UNICEF coverage estimates 2016 revision, July 2017","WHO/UNICEF coverage estimates 2016 revision, July 2017","WHO/UNICEF coverage estimates 2016 revision, July 2017","","","","","","","","","","4","7","11","15","19","26","32","37","42",2016.0,"42"
"BGR","25.23763153","42.75731323","100","Bulgaria","3","Ensure healthy lives and promote well-being for all at all ages","3.b","Support the research and development of vaccines and medicines for the communicable and non-communicable diseases that primarily affect developing countries, provide access to affordable essential medicines and vaccines, in accordance with the Doha Declaration on the TRIPS Agreement and Public Health, which affirms the right of developing countries to use to the full the provisions in the Agreement on Trade-Related Aspects of Intellectual Property Rights regarding flexibilities to protect public health, and, in particular, provide access to medicines for all","3.b.1","Proportion of the target population covered by all vaccines included in their national programme","2","SH_ACS_PCV3","Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","E","E","E","E","E","E","E","","","WHO/UNICEF coverage estimates 2016 revision, July 2017","WHO/UNICEF coverage estimates 2016 revision, July 2017","WHO/UNICEF coverage estimates 2016 revision, July 2017","WHO/UNICEF coverage estimates 2016 revision, July 2017","WHO/UNICEF coverage estimates 2016 revision, July 2017","WHO/UNICEF coverage estimates 2016 revision, July 2017","WHO/UNICEF coverage estimates 2016 revision, July 2017","","","","","","","","","","","","69","94","94","94","92","90","90",2016.0,"90"
"MMR","96.51752295","21.19332882","104","Myanmar","3","Ensure healthy lives and promote well-being for all at all ages","3.b","Support the research and development of vaccines and medicines for the communicable and non-communicable diseases that primarily affect developing countries, provide access to affordable essential medicines and vaccines, in accordance with the Doha Declaration on the TRIPS Agreement and Public Health, which affirms the right of developing countries to use to the full the provisions in the Agreement on Trade-Related Aspects of Intellectual Property Rights regarding flexibilities to protect public health, and, in particular, provide access to medicines for all","3.b.1","Proportion of the target population covered by all vaccines included in their national programme","2","SH_ACS_PCV3","Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","E","","","","","","","","","WHO/UNICEF coverage estimates 2016 revision, July 2017","","","","","","","","","","","","","","","","","","14",2016.0,"14"
"BDI","29.89080992","-3.366387428","108","Burundi","3","Ensure healthy lives and promote well-being for all at all ages","3.b","Support the research and development of vaccines and medicines for the communicable and non-communicable diseases that primarily affect developing countries, provide access to affordable essential medicines and vaccines, in accordance with the Doha Declaration on the TRIPS Agreement and Public Health, which affirms the right of developing countries to use to the full the provisions in the Agreement on Trade-Related Aspects of Intellectual Property Rights regarding flexibilities to protect public health, and, in particular, provide access to medicines for all","3.b.1","Proportion of the target population covered by all vaccines included in their national programme","2","SH_ACS_PCV3","Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","E","E","E","E","E","E","","","","WHO/UNICEF coverage estimates 2016 revision, July 2017","WHO/UNICEF coverage estimates 2016 revision, July 2017","WHO/UNICEF coverage estimates 2016 revision, July 2017","WHO/UNICEF coverage estimates 2016 revision, July 2017","WHO/UNICEF coverage estimates 2016 revision, July 2017","WHO/UNICEF coverage estimates 2016 revision, July 2017","","","","","","","","","","","","","14","96","96","95","94","94",2016.0,"94"
"","","","11","Western Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.b","Support the research and development of vaccines and medicines for the communicable and non-communicable diseases that primarily affect developing countries, provide access to affordable essential medicines and vaccines, in accordance with the Doha Declaration on the TRIPS Agreement and Public Health, which affirms the right of developing countries to use to the full the provisions in the Agreement on Trade-Related Aspects of Intellectual Property Rights regarding flexibilities to protect public health, and, in particular, provide access to medicines for all","3.b.1","Proportion of the target population covered by all vaccines included in their national programme","2","SH_ACS_PCV3","Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","E","E","E","E","E","E","E","E","E","WHO/UNICEF coverage estimates 2016 revision, July 2017","WHO/UNICEF coverage estimates 2016 revision, July 2017","WHO/UNICEF coverage estimates 2016 revision, July 2017","WHO/UNICEF coverage estimates 2016 revision, July 2017","WHO/UNICEF coverage estimates 2016 revision, July 2017","WHO/UNICEF coverage estimates 2016 revision, July 2017","WHO/UNICEF coverage estimates 2016 revision, July 2017","WHO/UNICEF coverage estimates 2016 revision, July 2017","WHO/UNICEF coverage estimates 2016 revision, July 2017","","","","","","","","","","0","0","1","6","11","14","26","39","50",2016.0,"50"
"KHM","104.922836","12.71163737","116","Cambodia","3","Ensure healthy lives and promote well-being for all at all ages","3.b","Support the research and development of vaccines and medicines for the communicable and non-communicable diseases that primarily affect developing countries, provide access to affordable essential medicines and vaccines, in accordance with the Doha Declaration on the TRIPS Agreement and Public Health, which affirms the right of developing countries to use to the full the provisions in the Agreement on Trade-Related Aspects of Intellectual Property Rights regarding flexibilities to protect public health, and, in particular, provide access to medicines for all","3.b.1","Proportion of the target population covered by all vaccines included in their national programme","2","SH_ACS_PCV3","Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","E","E","","","","","","","","WHO/UNICEF coverage estimates 2016 revision, July 2017","WHO/UNICEF coverage estimates 2016 revision, July 2017","","","","","","","","","","","","","","","","","68","87",2016.0,"87"
"DZA","2.678164227","28.15940032","12","Algeria","3","Ensure healthy lives and promote well-being for all at all ages","3.b","Support the research and development of vaccines and medicines for the communicable and non-communicable diseases that primarily affect developing countries, provide access to affordable essential medicines and vaccines, in accordance with the Doha Declaration on the TRIPS Agreement and Public Health, which affirms the right of developing countries to use to the full the provisions in the Agreement on Trade-Related Aspects of Intellectual Property Rights regarding flexibilities to protect public health, and, in particular, provide access to medicines for all","3.b.1","Proportion of the target population covered by all vaccines included in their national programme","2","SH_ACS_PCV3","Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","E","","","","","","","","","WHO/UNICEF coverage estimates 2016 revision, July 2017","","","","","","","","","","","","","","","","","","61",2016.0,"61"
"CMR","12.7419827","5.692387031","120","Cameroon","3","Ensure healthy lives and promote well-being for all at all ages","3.b","Support the research and development of vaccines and medicines for the communicable and non-communicable diseases that primarily affect developing countries, provide access to affordable essential medicines and vaccines, in accordance with the Doha Declaration on the TRIPS Agreement and Public Health, which affirms the right of developing countries to use to the full the provisions in the Agreement on Trade-Related Aspects of Intellectual Property Rights regarding flexibilities to protect public health, and, in particular, provide access to medicines for all","3.b.1","Proportion of the target population covered by all vaccines included in their national programme","2","SH_ACS_PCV3","Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","E","E","E","E","E","E","","","","WHO/UNICEF coverage estimates 2016 revision, July 2017","WHO/UNICEF coverage estimates 2016 revision, July 2017","WHO/UNICEF coverage estimates 2016 revision, July 2017","WHO/UNICEF coverage estimates 2016 revision, July 2017","WHO/UNICEF coverage estimates 2016 revision, July 2017","WHO/UNICEF coverage estimates 2016 revision, July 2017","","","","","","","","","","","","","23","84","88","87","85","84",2016.0,"84"
"CAN","-101.6575058","57.72360191","124","Canada","3","Ensure healthy lives and promote well-being for all at all ages","3.b","Support the research and development of vaccines and medicines for the communicable and non-communicable diseases that primarily affect developing countries, provide access to affordable essential medicines and vaccines, in accordance with the Doha Declaration on the TRIPS Agreement and Public Health, which affirms the right of developing countries to use to the full the provisions in the Agreement on Trade-Related Aspects of Intellectual Property Rights regarding flexibilities to protect public health, and, in particular, provide access to medicines for all","3.b.1","Proportion of the target population covered by all vaccines included in their national programme","2","SH_ACS_PCV3","Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","E","E","E","E","E","E","E","E","E","WHO/UNICEF coverage estimates 2016 revision, July 2017","WHO/UNICEF coverage estimates 2016 revision, July 2017","WHO/UNICEF coverage estimates 2016 revision, July 2017","WHO/UNICEF coverage estimates 2016 revision, July 2017","WHO/UNICEF coverage estimates 2016 revision, July 2017","WHO/UNICEF coverage estimates 2016 revision, July 2017","WHO/UNICEF coverage estimates 2016 revision, July 2017","WHO/UNICEF coverage estimates 2016 revision, July 2017","WHO/UNICEF coverage estimates 2016 revision, July 2017","","","","","","","","","","42","50","58","66","73","79","79","79","79",2016.0,"79"
"","","","13","Central America","3","Ensure healthy lives and promote well-being for all at all ages","3.b","Support the research and development of vaccines and medicines for the communicable and non-communicable diseases that primarily affect developing countries, provide access to affordable essential medicines and vaccines, in accordance with the Doha Declaration on the TRIPS Agreement and Public Health, which affirms the right of developing countries to use to the full the provisions in the Agreement on Trade-Related Aspects of Intellectual Property Rights regarding flexibilities to protect public health, and, in particular, provide access to medicines for all","3.b.1","Proportion of the target population covered by all vaccines included in their national programme","2","SH_ACS_PCV3","Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","E","E","E","E","E","E","E","E","E","WHO/UNICEF coverage estimates 2016 revision, July 2017","WHO/UNICEF coverage estimates 2016 revision, July 2017","WHO/UNICEF coverage estimates 2016 revision, July 2017","WHO/UNICEF coverage estimates 2016 revision, July 2017","WHO/UNICEF coverage estimates 2016 revision, July 2017","WHO/UNICEF coverage estimates 2016 revision, July 2017","WHO/UNICEF coverage estimates 2016 revision, July 2017","WHO/UNICEF coverage estimates 2016 revision, July 2017","WHO/UNICEF coverage estimates 2016 revision, July 2017","","","","","","","","","","10","33","70","83","85","78","88","92","91",2016.0,"91"
