"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2006","Value_2007","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Value_2016","Value_2017","Latest_Year","Latest_Value","Nature_Desc","Source"
"4","Afghanistan","AFG","66.02688198","33.83160199","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.5","Substantially reduce corruption and bribery in all their forms","16.5.2","Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months","1","IC_FRM_BRIB","Bribery incidence (% of firms experiencing at least one bribe payment request)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","46.8","","","",2014.0,"46.8","Estimated data","World Development Indicators database, World Bank"
"8","Albania","ALB","20.06660928","41.13897007","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.5","Substantially reduce corruption and bribery in all their forms","16.5.2","Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months","1","IC_FRM_BRIB","Bribery incidence (% of firms experiencing at least one bribe payment request)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","19.5","","","","",2013.0,"19.5","Estimated data","World Development Indicators database, World Bank"
"10","Antarctica","ATA","21.47585697","-80.40897662","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.5","Substantially reduce corruption and bribery in all their forms","16.5.2","Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months","1","IC_FRM_BRIB","Bribery incidence (% of firms experiencing at least one bribe payment request)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","",""
"12","Algeria","DZA","2.678164227","28.15940032","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.5","Substantially reduce corruption and bribery in all their forms","16.5.2","Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months","1","IC_FRM_BRIB","Bribery incidence (% of firms experiencing at least one bribe payment request)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","",""
"16","American Samoa","ASM","-170.7187269","-14.30587306","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.5","Substantially reduce corruption and bribery in all their forms","16.5.2","Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months","1","IC_FRM_BRIB","Bribery incidence (% of firms experiencing at least one bribe payment request)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","",""
"20","Andorra","AND","1.576257417","42.54548611","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.5","Substantially reduce corruption and bribery in all their forms","16.5.2","Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months","1","IC_FRM_BRIB","Bribery incidence (% of firms experiencing at least one bribe payment request)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","",""
"24","Angola","AGO","17.57817062","-12.33724746","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.5","Substantially reduce corruption and bribery in all their forms","16.5.2","Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months","1","IC_FRM_BRIB","Bribery incidence (% of firms experiencing at least one bribe payment request)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","51.3","","","","","","","",2010.0,"51.3","Estimated data","World Development Indicators database, World Bank"
"28","Antigua and Barbuda","ATG","-61.7999755","17.07761471","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.5","Substantially reduce corruption and bribery in all their forms","16.5.2","Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months","1","IC_FRM_BRIB","Bribery incidence (% of firms experiencing at least one bribe payment request)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","6.9","","","","","","","",2010.0,"6.9","Estimated data","World Development Indicators database, World Bank"
"31","Azerbaijan","AZE","50.01064725","40.39229544","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.5","Substantially reduce corruption and bribery in all their forms","16.5.2","Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months","1","IC_FRM_BRIB","Bribery incidence (% of firms experiencing at least one bribe payment request)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","15.9","","","","",2013.0,"15.9","Estimated data","World Development Indicators database, World Bank"
"32","Argentina","ARG","-65.14563274","-35.19446255","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.5","Substantially reduce corruption and bribery in all their forms","16.5.2","Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months","1","IC_FRM_BRIB","Bribery incidence (% of firms experiencing at least one bribe payment request)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","10.3","","","","","","","",2010.0,"10.3","Estimated data","World Development Indicators database, World Bank"
