series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Type of product	Units description	Type of product description	2016	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	4	66.02688198	33.83160199	AFG	Afghanistan	1	INDEX	WHE	Index	wheat	-0.21	2016	-0.21	FAO/GIEWS/FPMA-Tool	G
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	4	66.02688198	33.83160199	AFG	Afghanistan	2	INDEX	MAZ	Index	maize					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	4	66.02688198	33.83160199	AFG	Afghanistan	3	INDEX	RIC	Index	rice					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	4	66.02688198	33.83160199	AFG	Afghanistan	4	INDEX	SOR	Index	sorghum					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	4	66.02688198	33.83160199	AFG	Afghanistan	5	INDEX	MIL	Index	millet					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	8	20.06660928	41.13897007	ALB	Albania	1	INDEX	WHE	Index	wheat					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	8	20.06660928	41.13897007	ALB	Albania	2	INDEX	MAZ	Index	maize					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	8	20.06660928	41.13897007	ALB	Albania	3	INDEX	RIC	Index	rice					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	8	20.06660928	41.13897007	ALB	Albania	4	INDEX	SOR	Index	sorghum					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	8	20.06660928	41.13897007	ALB	Albania	5	INDEX	MIL	Index	millet					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	10	21.47585697	-80.40897662	ATA	Antarctica	1	INDEX	WHE	Index	wheat					
