series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	SL_TLF_MANF	Manufacturing employment as a proportion of total employment (%)	4	66.02688198	33.83160199	AFG	Afghanistan	1	PERCENT	Percentage									4.55				6.77							2012	6.77	ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Living Condition Survey	CA
2018.Q2.G.01	SL_TLF_MANF	Manufacturing employment as a proportion of total employment (%)	8	20.06660928	41.13897007	ALB	Albania	1	PERCENT	Percentage								4.82	7.07	8.05	8.23	7.66	7.16	7.49	8.65	9.25			8.46333333333333	2015	9.25	ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Labour Force Survey	C
2018.Q2.G.01	SL_TLF_MANF	Manufacturing employment as a proportion of total employment (%)	10	21.47585697	-80.40897662	ATA	Antarctica	1	PERCENT	Percentage																							
2018.Q2.G.01	SL_TLF_MANF	Manufacturing employment as a proportion of total employment (%)	12	2.678164227	28.15940032	DZA	Algeria	1	PERCENT	Percentage		10.14		9.23	10.86										11.32				11.32	2014	11.32	ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Enquête Emploi auprès des Ménages	C
2018.Q2.G.01	SL_TLF_MANF	Manufacturing employment as a proportion of total employment (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	PERCENT	Percentage																							
2018.Q2.G.01	SL_TLF_MANF	Manufacturing employment as a proportion of total employment (%)	20	1.576257417	42.54548611	AND	Andorra	1	PERCENT	Percentage																							
2018.Q2.G.01	SL_TLF_MANF	Manufacturing employment as a proportion of total employment (%)	24	17.57817062	-12.33724746	AGO	Angola	1	PERCENT	Percentage					3.03							1.65								2011	1.65	ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) - être	CA
2018.Q2.G.01	SL_TLF_MANF	Manufacturing employment as a proportion of total employment (%)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	PERCENT	Percentage																							
2018.Q2.G.01	SL_TLF_MANF	Manufacturing employment as a proportion of total employment (%)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	PERCENT	Percentage				4.86			3.7	4.83	4.82	5.01	4.83	4.81	4.85	4.96	4.93	4.92	5.09		4.975	2016	5.09	ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Labour Force Survey	C
2018.Q2.G.01	SL_TLF_MANF	Manufacturing employment as a proportion of total employment (%)	32	-65.14563274	-35.19446255	ARG	Argentina	1	PERCENT	Percentage	13.99	13.9	13.17	13.74	14.12	14.28	14.26	14.32	14.06	13.26	13.6	13.37	13.13	13.21	13.14				13.175	2014	13.14	ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Encuesta Permanente de Hogares (Urban)	CA
2018.Q2.G.01	SL_TLF_MANF	Manufacturing employment as a proportion of total employment (%)	36	134.3499412	-25.57717202	AUS	Australia	1	PERCENT	Percentage	12.09	11.58	11.52	11.02	10.92	10.37	10.51	10.39	10.25	9.26	8.9	8.47	8.38	8.05	8.69	8.23	8.16	7.16	8.058	2017	7.16	ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Labour Force Survey	C
2018.Q2.G.01	SL_TLF_MANF	Manufacturing employment as a proportion of total employment (%)	40	14.14172472	47.58704857	AUT	Austria	1	PERCENT	Percentage	20.57	19.93	19.51	19.41	18.4	18.35	18.91	18.19	15.71	14.95	15.24	15.84	15.79	15.66	15.64	15.98	15.95	15.63	15.772	2017	15.63	ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  EU Labour Force Survey	C
2018.Q2.G.01	SL_TLF_MANF	Manufacturing employment as a proportion of total employment (%)	44	-78.05111663	24.69546597	BHS	Bahamas	1	PERCENT	Percentage		4.07	4.03	4.37	3.9	4.73	4.45	3.74	3.57	3.37		2.79								2011	2.79	ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Labour Force & Household Survey	C
2018.Q2.G.01	SL_TLF_MANF	Manufacturing employment as a proportion of total employment (%)	48	50.5490754	26.04407747	BHR	Bahrain	1	PERCENT	Percentage		17.15									12									2010	12	ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Population Census	C
2018.Q2.G.01	SL_TLF_MANF	Manufacturing employment as a proportion of total employment (%)	50	89.17660788	22.86961622	BGD	Bangladesh	1	PERCENT	Percentage	7.31			9.8		11.03	11.03				12.39			16.36			14.44	14.41	15.07	2017	14.41	ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Labour Force Survey	CA
2018.Q2.G.01	SL_TLF_MANF	Manufacturing employment as a proportion of total employment (%)	51	44.93839317	40.29499741	ARM	Armenia	1	PERCENT	Percentage								6.86		6.08	5.73	7.17	7.99	8.29	8.34	7.85	8.27		8.1875	2016	8.27	ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Household Labour Force Survey	CA
2018.Q2.G.01	SL_TLF_MANF	Manufacturing employment as a proportion of total employment (%)	52	-59.5346489	13.13648273	BRB	Barbados	1	PERCENT	Percentage	8.14	7.1	7	6.1	5.76	5.11	4.2	4.72	5.13	5.8	6.94	6.7	6.71	7.13	7.61	7.64	7.07		7.3625	2016	7.07	ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Labour Force Survey	C
2018.Q2.G.01	SL_TLF_MANF	Manufacturing employment as a proportion of total employment (%)	56	4.660976456	50.64104975	BEL	Belgium	1	PERCENT	Percentage	18.75	18.32	18.3	17.76	17.45	17.17	16.77	16.54	15.98	14.84	14.55	14.22	13.15	13	12.8	12.95	12.44	12.38	12.714	2017	12.38	ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  EU Labour Force Survey	C
2018.Q2.G.01	SL_TLF_MANF	Manufacturing employment as a proportion of total employment (%)	60	-64.78155012	32.27881922	BMU	Bermuda	1	PERCENT	Percentage																							
2018.Q2.G.01	SL_TLF_MANF	Manufacturing employment as a proportion of total employment (%)	64	90.45098484	27.39598568	BTN	Bhutan	1	PERCENT	Percentage				1.19		1.96	2.98			4.7	3.88	5.22	5.02	6.15	7.03	6.48			6.55333333333333	2015	6.48	ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Labour Force Survey Report	C
2018.Q2.G.01	SL_TLF_MANF	Manufacturing employment as a proportion of total employment (%)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	PERCENT	Percentage	10.1	9.2	11.17	11.21	11.21	10.93	10.5	11.02	11.31	11.67		10.64	10.12	10.39	9.56	10.47	9.77	10.25	10.088	2017	10.25	ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Encuesta de Hogares	CA
2018.Q2.G.01	SL_TLF_MANF	Manufacturing employment as a proportion of total employment (%)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	PERCENT	Percentage															16.05				16.05	2014	16.05	ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Labour Force Survey	C
2018.Q2.G.01	SL_TLF_MANF	Manufacturing employment as a proportion of total employment (%)	72	23.81380223	-22.18810073	BWA	Botswana	1	PERCENT	Percentage	8.82	8.67		9.64			6.67			6.55	2.48									2010	2.48	ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Botswana Core Welfare Indicators (Poverty) Survey	C
2018.Q2.G.01	SL_TLF_MANF	Manufacturing employment as a proportion of total employment (%)	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	PERCENT	Percentage																							
2018.Q2.G.01	SL_TLF_MANF	Manufacturing employment as a proportion of total employment (%)	76	-53.08432878	-10.77668561	BRA	Brazil	1	PERCENT	Percentage		13.87	13.61	13.62	13.89	14.16	14.01	14.42	14.42	13.87		12.65	13.07	12.64	12.82	12.54	11.43	11.49	12.184	2017	11.49	ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Pesquisa Nacional por Amostra de Domicílios Contínua	CA
2018.Q2.G.01	SL_TLF_MANF	Manufacturing employment as a proportion of total employment (%)	84	-88.70199554	17.19965901	BLZ	Belize	1	PERCENT	Percentage						9.71										8.01	7.13		7.57	2016	7.13	ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Labour force survey	C
2018.Q2.G.01	SL_TLF_MANF	Manufacturing employment as a proportion of total employment (%)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	PERCENT	Percentage																							
2018.Q2.G.01	SL_TLF_MANF	Manufacturing employment as a proportion of total employment (%)	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	PERCENT	Percentage																							
2018.Q2.G.01	SL_TLF_MANF	Manufacturing employment as a proportion of total employment (%)	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	PERCENT	Percentage																							
2018.Q2.G.01	SL_TLF_MANF	Manufacturing employment as a proportion of total employment (%)	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	PERCENT	Percentage		8.52													3.68				3.68	2014	3.68	ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Labour force survey	CA
2018.Q2.G.01	SL_TLF_MANF	Manufacturing employment as a proportion of total employment (%)	100	25.23763153	42.75731323	BGR	Bulgaria	1	PERCENT	Percentage	23.42	24.06	23.81	23.34	23.87	24.45	23.96	23.56	22.9	21.94	20.53	20	20.57	19.64	19.61	19.71	19.52	19.1	19.516	2017	19.1	ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  EU Labour Force Survey	C
2018.Q2.G.01	SL_TLF_MANF	Manufacturing employment as a proportion of total employment (%)	104	96.51752295	21.19332882	MMR	Myanmar	1	PERCENT	Percentage																10.87			10.87	2015	10.87	ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Labour force survey	CA
2018.Q2.G.01	SL_TLF_MANF	Manufacturing employment as a proportion of total employment (%)	108	29.89080992	-3.366387428	BDI	Burundi	1	PERCENT	Percentage															12.72				12.72	2014	12.72	ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Enquête sur les conditions de vie des ménages au Burundi	C
2018.Q2.G.01	SL_TLF_MANF	Manufacturing employment as a proportion of total employment (%)	112	28.04940161	53.54193075	BLR	Belarus	1	PERCENT	Percentage										22.15							18.07		18.07	2016	18.07	ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Sample survey of households in order to study employment problems	C
2018.Q2.G.01	SL_TLF_MANF	Manufacturing employment as a proportion of total employment (%)	116	104.922836	12.71163737	KHM	Cambodia	1	PERCENT	Percentage	6.96	8.73			3.33				6.23		10.89		17.42							2012	17.42	ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Labour force survey	CA
2018.Q2.G.01	SL_TLF_MANF	Manufacturing employment as a proportion of total employment (%)	120	12.7419827	5.692387031	CMR	Cameroon	1	PERCENT	Percentage		6.77						8.56												2007	8.56	ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Enquête camerounaise auprès des ménages	CA
2018.Q2.G.01	SL_TLF_MANF	Manufacturing employment as a proportion of total employment (%)	124	-101.6575058	57.72360191	CAN	Canada	1	PERCENT	Percentage	15.19	14.88	14.97	14.54	14.43	13.67	12.82	12.08	11.33	10.43	10.08	10	10.02	9.74	9.61	9.54	9.64	9.37	9.58	2017	9.37	ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Labour Force Survey	C
2018.Q2.G.01	SL_TLF_MANF	Manufacturing employment as a proportion of total employment (%)	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	PERCENT	Percentage																							
2018.Q2.G.01	SL_TLF_MANF	Manufacturing employment as a proportion of total employment (%)	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	PERCENT	Percentage																							
2018.Q2.G.01	SL_TLF_MANF	Manufacturing employment as a proportion of total employment (%)	140	20.93559492	7.003720791	CAF	Central African Republic	1	PERCENT	Percentage																							
2018.Q2.G.01	SL_TLF_MANF	Manufacturing employment as a proportion of total employment (%)	144	80.70489654	7.614693343	LKA	Sri Lanka	1	PERCENT	Percentage			16.45	16.49	17.68	18.43	19.18	18.91	18.88	17.73	17.11	16.93	17.68	17.99	18.22				18.105	2014	18.22	ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Sri Lanka Labour Force Survey	C
2018.Q2.G.01	SL_TLF_MANF	Manufacturing employment as a proportion of total employment (%)	148	18.66618401	15.36279341	TCD	Chad	1	PERCENT	Percentage																							
2018.Q2.G.01	SL_TLF_MANF	Manufacturing employment as a proportion of total employment (%)	152	-71.23029019	-35.2652885	CHL	Chile	1	PERCENT	Percentage	14.01	14.27	14.11	14.05	13.73	13.12	13.07	13.05	12.84	0.51	11.26	11.49	11.56	11.33	11.36	11.14	11	10.77	11.12	2017	10.77	ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Encuesta Nacional de Empleo	CA
2018.Q2.G.01	SL_TLF_MANF	Manufacturing employment as a proportion of total employment (%)	156	104.1403375	32.30955217	CHN	China	1	PERCENT	Percentage																							
2018.Q2.G.01	SL_TLF_MANF	Manufacturing employment as a proportion of total employment (%)	162	105.6426067	-10.4882473	CXR	Christmas Island	1	PERCENT	Percentage																							
2018.Q2.G.01	SL_TLF_MANF	Manufacturing employment as a proportion of total employment (%)	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	PERCENT	Percentage																							
2018.Q2.G.01	SL_TLF_MANF	Manufacturing employment as a proportion of total employment (%)	170	-73.07446751	3.888209046	COL	Colombia	1	PERCENT	Percentage	20.21	12.84	13.38	13.38	1.19	13.69	13.13	13.45	13.27	13.12	13.03	13.24	13.08	12.3	12.18	12.11	11.83	12.03	12.09	2017	12.03	ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Gran Encuesta Integrada de Hogares	CA
2018.Q2.G.01	SL_TLF_MANF	Manufacturing employment as a proportion of total employment (%)	174	43.34234565	-11.66121732	COM	Comoros	1	PERCENT	Percentage					7.33															2004	7.33	ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Enquête Intégrale auprès des Ménages	CA
2018.Q2.G.01	SL_TLF_MANF	Manufacturing employment as a proportion of total employment (%)	175	45.14015057	-12.82217691	MYT	Mayotte	1	PERCENT	Percentage																							
2018.Q2.G.01	SL_TLF_MANF	Manufacturing employment as a proportion of total employment (%)	178	15.22052612	-0.840544119	COG	Congo	1	PERCENT	Percentage						16.46														2005	16.46	ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) - être	CA
2018.Q2.G.01	SL_TLF_MANF	Manufacturing employment as a proportion of total employment (%)	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	PERCENT	Percentage						3.64														2005	3.64	ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) - 3 sur l'Emploi, le Secteur Informel et les Conditions de Vie des Ménages	CA
2018.Q2.G.01	SL_TLF_MANF	Manufacturing employment as a proportion of total employment (%)	184	-159.7711391	-21.22696458	COK	Cook Islands	1	PERCENT	Percentage																							
2018.Q2.G.01	SL_TLF_MANF	Manufacturing employment as a proportion of total employment (%)	188	-84.19712782	9.970998683	CRI	Costa Rica	1	PERCENT	Percentage	14.43	15	14.26	14.02	13.88	13.66	13.33	13.07	12.24		11.97	11.02	9.94	8.95	9.3	10.86	10.22	10.14	9.894	2017	10.14	ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Encuesta Continua de Empleo	CA
