"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Sex_Code","Sex_Desc","Value_2000","Value_2001","Value_2002","Value_2003","Value_2004","Value_2005","Value_2006","Value_2007","Value_2008","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Value_2016","Value_2017","Value_2018","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"4","Afghanistan","AFG","66.02688198","33.83160199","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARL","Proportion of seats held by women in national parliaments (% of total number of seats)","2019.Q1.G.01","PERCENT","Percentage","G","Global","FEMALE","Female","","","","","","","27.3092","27.3092","27.686","27.686","27.3092","27.7108","27.7108","27.7108","27.7108","27.7108","27.7108","27.7108","27.7108",2018.0,"27.7108","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"8","Albania","ALB","20.06660928","41.13897007","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARL","Proportion of seats held by women in national parliaments (% of total number of seats)","2019.Q1.G.01","PERCENT","Percentage","G","Global","FEMALE","Female","5.1613","5.1613","5.7143","5.7143","5.7143","6.4286","7.1429","7.1429","7.1429","7.1429","16.4286","16.4286","15.7143","15.7143","20","20.7143","20.7143","22.8571","27.8571",2018.0,"27.8571","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"10","Antarctica","ATA","21.47585697","-80.40897662","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARL","Proportion of seats held by women in national parliaments (% of total number of seats)","2019.Q1.G.01","PERCENT","Percentage","G","Global","FEMALE","Female","","","","","","","","","","","","","","","","","","","","","","","",""
"12","Algeria","DZA","2.678164227","28.15940032","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARL","Proportion of seats held by women in national parliaments (% of total number of seats)","2019.Q1.G.01","PERCENT","Percentage","G","Global","FEMALE","Female","3.1579","3.4211","3.4211","6.1697","6.1697","6.1697","6.1697","6.1697","7.7121","7.7121","7.7121","7.7121","7.9692","31.6017","31.6017","31.6017","31.6017","31.6017","25.7576",2018.0,"25.7576","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"16","American Samoa","ASM","-170.7187269","-14.30587306","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARL","Proportion of seats held by women in national parliaments (% of total number of seats)","2019.Q1.G.01","PERCENT","Percentage","G","Global","FEMALE","Female","","","","","","","","","","","","","","","","","","","","","","","",""
"20","Andorra","AND","1.576257417","42.54548611","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARL","Proportion of seats held by women in national parliaments (% of total number of seats)","2019.Q1.G.01","PERCENT","Percentage","G","Global","FEMALE","Female","7.1429","7.1429","14.2857","14.2857","14.2857","14.2857","28.5714","28.5714","25","25","35.7143","35.7143","50","50","50","50","39.2857","32.1429","32.1429",2018.0,"32.1429","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"24","Angola","AGO","17.57817062","-12.33724746","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARL","Proportion of seats held by women in national parliaments (% of total number of seats)","2019.Q1.G.01","PERCENT","Percentage","G","Global","FEMALE","Female","15.4545","15.4545","15.4545","15.4545","15.4545","15","15","15","15","37.2727","38.6364","38.6364","38.1818","34.0909","36.8182","36.8182","36.8182","38.1818","30.4545",2018.0,"30.4545","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"28","Antigua and Barbuda","ATG","-61.7999755","17.07761471","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARL","Proportion of seats held by women in national parliaments (% of total number of seats)","2019.Q1.G.01","PERCENT","Percentage","G","Global","FEMALE","Female","5.2632","5.2632","5.2632","5.2632","5.2632","10.5263","10.5263","10.5263","10.5263","10.5263","10.5263","10.5263","10.5263","10.5263","10.5263","11.1111","11.1111","11.1111","11.1111",2018.0,"11.1111","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"31","Azerbaijan","AZE","50.01064725","40.39229544","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARL","Proportion of seats held by women in national parliaments (% of total number of seats)","2019.Q1.G.01","PERCENT","Percentage","G","Global","FEMALE","Female","10.4","10.4","10.4839","10.4839","10.4839","10.4839","12","11.2903","11.3821","11.3821","11.3821","16","16","16","15.5738","15.5738","16.9355","16.8","16.8",2018.0,"16.8","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"32","Argentina","ARG","-65.14563274","-35.19446255","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARL","Proportion of seats held by women in national parliaments (% of total number of seats)","2019.Q1.G.01","PERCENT","Percentage","G","Global","FEMALE","Female","28.0156","26.4591","30.7393","30.7393","30.7393","33.7255","36.1868","35.0195","40","40","38.5214","38.5214","37.3541","37.3541","36.5759","36.1868","35.7977","38.9105","38.9105",2018.0,"38.9105","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
