GoalCode,GoalDesc,TargetCode,TargetDesc,IndicatorCode,IndicatorDesc,IndicatorTier,SeriesCode,SeriesDesc,SeriesRelease,Level/Status_Code,Level/Status_Desc,ReportingType_Code,ReportingType_Desc,Nature_Code,Nature_Desc,Units_Code,Units_Desc,GeoArea_Code,GeoArea_Desc,Year,TimeDetail,Value,ValueType,Source,Footnotes
6,Ensure availability and sustainable management of water and sanitation for all,6.5,"By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate",6.5.1,Degree of integrated water resources management implementation (0-100),1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),2019.Q1.G.01,VHIGIMP,Very high level of implementation,G,Global,C,Country data,PERCENT,Percentage,53,Australia and New Zealand,2017.0,,0,Float,UN Environment,
6,Ensure availability and sustainable management of water and sanitation for all,6.5,"By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate",6.5.1,Degree of integrated water resources management implementation (0-100),1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),2019.Q1.G.01,HIGIMP,High level of implementation,G,Global,C,Country data,PERCENT,Percentage,53,Australia and New Zealand,2017.0,,50,Float,UN Environment,
6,Ensure availability and sustainable management of water and sanitation for all,6.5,"By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate",6.5.1,Degree of integrated water resources management implementation (0-100),1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),2019.Q1.G.01,MHIGIMP,Medium-high level of implementation,G,Global,C,Country data,PERCENT,Percentage,53,Australia and New Zealand,2017.0,,50,Float,UN Environment,
6,Ensure availability and sustainable management of water and sanitation for all,6.5,"By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate",6.5.1,Degree of integrated water resources management implementation (0-100),1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),2019.Q1.G.01,MLOWIMP,Medium-low level of implementation,G,Global,C,Country data,PERCENT,Percentage,53,Australia and New Zealand,2017.0,,0,Float,UN Environment,
6,Ensure availability and sustainable management of water and sanitation for all,6.5,"By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate",6.5.1,Degree of integrated water resources management implementation (0-100),1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),2019.Q1.G.01,LOWIMP,Low level of implementation,G,Global,C,Country data,PERCENT,Percentage,53,Australia and New Zealand,2017.0,,0,Float,UN Environment,
6,Ensure availability and sustainable management of water and sanitation for all,6.5,"By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate",6.5.1,Degree of integrated water resources management implementation (0-100),1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),2019.Q1.G.01,VLOWIMP,Very low level of implementation,G,Global,C,Country data,PERCENT,Percentage,53,Australia and New Zealand,2017.0,,0,Float,UN Environment,
6,Ensure availability and sustainable management of water and sanitation for all,6.5,"By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate",6.5.1,Degree of integrated water resources management implementation (0-100),1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),2019.Q1.G.01,NODATA,No data available,G,Global,C,Country data,PERCENT,Percentage,53,Australia and New Zealand,2017.0,,0,Float,UN Environment,
6,Ensure availability and sustainable management of water and sanitation for all,6.5,"By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate",6.5.1,Degree of integrated water resources management implementation (0-100),1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),2019.Q1.G.01,MHIGIMP,Medium-high level of implementation,G,Global,C,Country data,PERCENT,Percentage,62,Central and Southern Asia,2017.0,,7.14,Float,UN Environment,
6,Ensure availability and sustainable management of water and sanitation for all,6.5,"By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate",6.5.1,Degree of integrated water resources management implementation (0-100),1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),2019.Q1.G.01,HIGIMP,High level of implementation,G,Global,C,Country data,PERCENT,Percentage,62,Central and Southern Asia,2017.0,,0,Float,UN Environment,
6,Ensure availability and sustainable management of water and sanitation for all,6.5,"By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate",6.5.1,Degree of integrated water resources management implementation (0-100),1,ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),2019.Q1.G.01,VHIGIMP,Very high level of implementation,G,Global,C,Country data,PERCENT,Percentage,62,Central and Southern Asia,2017.0,,0,Float,UN Environment,
