"ISO3CD","X","Y","GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Age_Code","Age_Desc","Sex_Code","Sex_Desc","ReportingType_Code","ReportingType_Desc","Units_Code","Units_Desc","Footnotes_2000","Footnotes_2001","Footnotes_2002","Footnotes_2003","Footnotes_2004","Footnotes_2005","Footnotes_2006","Footnotes_2007","Footnotes_2008","Footnotes_2009","Footnotes_2010","Footnotes_2011","Footnotes_2012","Footnotes_2013","Footnotes_2014","Footnotes_2015","Footnotes_2016","Footnotes_2017","Footnotes_2018","Nature_Code_2000","Nature_Code_2001","Nature_Code_2002","Nature_Code_2003","Nature_Code_2004","Nature_Code_2005","Nature_Code_2006","Nature_Code_2007","Nature_Code_2008","Nature_Code_2009","Nature_Code_2010","Nature_Code_2011","Nature_Code_2012","Nature_Code_2013","Nature_Code_2014","Nature_Code_2015","Nature_Code_2016","Nature_Code_2017","Nature_Code_2018","Source_2000","Source_2001","Source_2002","Source_2003","Source_2004","Source_2005","Source_2006","Source_2007","Source_2008","Source_2009","Source_2010","Source_2011","Source_2012","Source_2013","Source_2014","Source_2015","Source_2016","Source_2017","Source_2018","TimeDetail_2000","TimeDetail_2001","TimeDetail_2002","TimeDetail_2003","TimeDetail_2004","TimeDetail_2005","TimeDetail_2006","TimeDetail_2007","TimeDetail_2008","TimeDetail_2009","TimeDetail_2010","TimeDetail_2011","TimeDetail_2012","TimeDetail_2013","TimeDetail_2014","TimeDetail_2015","TimeDetail_2016","TimeDetail_2017","TimeDetail_2018","Value_2000","Value_2001","Value_2002","Value_2003","Value_2004","Value_2005","Value_2006","Value_2007","Value_2008","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Value_2016","Value_2017","Value_2018","Latest_Year","Latest_Value"
"","","","1","World","3","Ensure healthy lives and promote well-being for all at all ages","3.7","By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes","3.7.2","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","1","SP_DYN_ADKL","Adolescent birth rate (per 1,000 women aged 15-19 years)","2019.Q1.G.01","15-19","15 to 19 years old","FEMALE","Female","G","Global","PER_1000_POP","Per 1,000 population","","","","","","","","","","","","","","","","","","","","E","","","","","E","","","","","E","","","","","E","","","E","United Nations, Department of Economic and Social Affairs, Population Division (2017). World Population Prospects: The 2017 Revision, Special aggregates: https://esa.un.org/unpd/wpp/Download/SpecialAggregates/UNrelated/","","","","","United Nations, Department of Economic and Social Affairs, Population Division (2017). World Population Prospects: The 2017 Revision, Special aggregates: https://esa.un.org/unpd/wpp/Download/SpecialAggregates/UNrelated/","","","","","United Nations, Department of Economic and Social Affairs, Population Division (2017). World Population Prospects: The 2017 Revision, Special aggregates: https://esa.un.org/unpd/wpp/Download/SpecialAggregates/UNrelated/","","","","","United Nations, Department of Economic and Social Affairs, Population Division (2017). World Population Prospects: The 2017 Revision, Special aggregates: https://esa.un.org/unpd/wpp/Download/SpecialAggregates/UNrelated/","","","United Nations, Department of Economic and Social Affairs, Population Division (2017). World Population Prospects: The 2017 Revision, Special aggregates: https://esa.un.org/unpd/wpp/Download/SpecialAggregates/UNrelated/","","","","","","","","","","","","","","","","","","","","56","","","","","50.6","","","","","47.5","","","","","45.2","","","43.9",2018.0,"43.9"
"BGR","25.23763153","42.75731323","100","Bulgaria","3","Ensure healthy lives and promote well-being for all at all ages","3.7","By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes","3.7.2","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","1","SP_DYN_ADKL","Adolescent birth rate (per 1,000 women aged 15-19 years)","2019.Q1.G.01","15-19","15 to 19 years old","FEMALE","Female","G","Global","PER_1000_POP","Per 1,000 population","","","","","","","","","","","","","","","","","","","","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","","","","Registration National Statistics (Eurostat)","Registration National Statistics (Eurostat)","Registration National Statistics (Eurostat)","Registration National Statistics (Eurostat)","Registration National Statistics (Eurostat)","Registration National Statistics (Eurostat)","Registration National Statistics (Eurostat)","Registration National Statistics (Eurostat)","Registration National Statistics (Eurostat)","Registration National Statistics (Eurostat)","Registration National Statistics (Eurostat)","Registration National Statistics (Eurostat)","Registration National Statistics","Registration National Statistics (Eurostat)","Registration National Statistics (Eurostat)","Registration National Statistics (Eurostat)","","","","","","","","","","","","","","","","","","","","","","","45.56","42.76","40.87","39.83","41.14","39.31","41.19","42.07","44.21","47.53","42.02","41.66","42.5","42.02","41.3","39.36","","","",2015.0,"39.36"
"MMR","96.51752295","21.19332882","104","Myanmar","3","Ensure healthy lives and promote well-being for all at all ages","3.7","By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes","3.7.2","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","1","SP_DYN_ADKL","Adolescent birth rate (per 1,000 women aged 15-19 years)","2019.Q1.G.01","15-19","15 to 19 years old","FEMALE","Female","G","Global","PER_1000_POP","Per 1,000 population","","","","","","","","","","","","","","","","","","","","C","C","","","","C","C","C","","","","","","C","C","","","","","Myanmar 2001 Fertility and Reproductive Health Survey","Myanmar 2001 Fertility and Reproductive Health Survey","","","","Myanmar 2007 Fertility and Reproductive Health Survey","Myanmar 2007 Fertility and Reproductive Health Survey","Myanmar 2007 Fertility and Reproductive Health Survey","","","","","","Myanmar 2014 Census","Myanmar 2015-2016 Demographic and Health Survey","","","","","","","","","","","","","","","","","","","","","","","","22.7","17.4","","","","18.5","16.9","16.7","","","","","","33","36","","","","",2014.0,"36"
"BDI","29.89080992","-3.366387428","108","Burundi","3","Ensure healthy lives and promote well-being for all at all ages","3.7","By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes","3.7.2","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","1","SP_DYN_ADKL","Adolescent birth rate (per 1,000 women aged 15-19 years)","2019.Q1.G.01","15-19","15 to 19 years old","FEMALE","Female","G","Global","PER_1000_POP","Per 1,000 population","","","","","","","","","","","","","","","","","","","","","C","","","","C","","","C","C","","C","","","","C","","","","","Burundi 2002 Enquête Socio-démographique et de Santé de la Reproduction","","","","Burundi 2005 Multiple Indicator Cluster Survey","","","Burundi 2008 Census","Burundi 2010 Demographic and Health Survey","","Burundi 2012 Malaria Indicators Survey (MIS)","","","","Burundi 2016 Demographic and Health Survey (DHS)","","","","","","","","","","","","","","","","","","","","","","","","30","","","","73.51064","","","50.39936","65","","85","","","","58","","","",2015.0,"58"
"BLR","28.04940161","53.54193075","112","Belarus","3","Ensure healthy lives and promote well-being for all at all ages","3.7","By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes","3.7.2","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","1","SP_DYN_ADKL","Adolescent birth rate (per 1,000 women aged 15-19 years)","2019.Q1.G.01","15-19","15 to 19 years old","FEMALE","Female","G","Global","PER_1000_POP","Per 1,000 population","","","","","","","","","","","","","","","","","","","","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","","","Registration National Statistics","Registration National Statistics","Registration National Statistics","Registration National Statistics","Registration National Statistics","Registration National Statistics","Registration National Statistics","Registration National Statistics","Registration National Statistics","Registration National Statistics","Registration National Statistics","Registration National Statistics","Registration National Statistics","Registration National Statistics","Registration National Statistics (Eurostat)","Registration National Statistics (Eurostat)","Registration National Statistics (Eurostat)","","","","","","","","","","","","","","","","","","","","","","27","25.8","24","23.8","22.6","21.7","22.5","22.1","22.3","22.4","20.7","20.9","22.4","22.1","20.45","18.1","16.1","","",2016.0,"16.1"
"KHM","104.922836","12.71163737","116","Cambodia","3","Ensure healthy lives and promote well-being for all at all ages","3.7","By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes","3.7.2","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","1","SP_DYN_ADKL","Adolescent birth rate (per 1,000 women aged 15-19 years)","2019.Q1.G.01","15-19","15 to 19 years old","FEMALE","Female","G","Global","PER_1000_POP","Per 1,000 population","","","","","","","","","","","","","","","","","","","","","","","C","C","","","","C","C","","","C","C","","","","","","","","","Cambodia 2005 Demographic and Health Survey","Cambodia 2005 Demographic and Health Survey","","","","Cambodia 2010 Demographic and Health Survey","Cambodia 2010 Demographic and Health Survey","","","Cambodia 2013 Inter-censal Population Survey","Cambodia 2014 Demographic and Health Survey","","","","","","","","","","","","","","","","","","","","","","","","","","","","52","47","","","","48","46","","","30","57","","","","","",2013.0,"57"
"DZA","2.678164227","28.15940032","12","Algeria","3","Ensure healthy lives and promote well-being for all at all ages","3.7","By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes","3.7.2","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","1","SP_DYN_ADKL","Adolescent birth rate (per 1,000 women aged 15-19 years)","2019.Q1.G.01","15-19","15 to 19 years old","FEMALE","Female","G","Global","PER_1000_POP","Per 1,000 population","","","","","","","","","","","","","","","","","","","","C","","","","","C","","C","C","C","C","C","C","C","","","","","","Algeria 2002 Enquête sur la santé de la famille","","","","","Algeria 2006 Multiple Indicator Cluster Survey","","Algeria 2008 Census","Registration National Statistics","Registration National Statistics","Registration National Statistics","Registration National Statistics","Registration National Statistics","Registration National Statistics","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","4.4","","9","8.8","9.6","10.2","10.7","11.8","12.4","","","","","",2013.0,"12.4"
"CMR","12.7419827","5.692387031","120","Cameroon","3","Ensure healthy lives and promote well-being for all at all ages","3.7","By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes","3.7.2","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","1","SP_DYN_ADKL","Adolescent birth rate (per 1,000 women aged 15-19 years)","2019.Q1.G.01","15-19","15 to 19 years old","FEMALE","Female","G","Global","PER_1000_POP","Per 1,000 population","","","","","","","","","","","","","","","","","","","","C","C","C","","","C","","","C","C","","","","","C","","","","","Cameroon 2000 Multiple Indicator Cluster Survey","Cameroon 2004 Demographic and Health Survey","Cameroon 2004 Demographic and Health Survey","","","Cameroon 2005 Census","","","Cameroon 2011 Demographic and Health Survey","Cameroon 2011 Demographic and Health Survey","","","","","Cameroon 2014 Multiple Indicator Cluster Survey","","","","","","","","","","","","","","","","","","","","","","","","136.4","141","138","","","150.06483","","","128","127","","","","","119","","","","",2014.0,"119"
"CAN","-101.6575058","57.72360191","124","Canada","3","Ensure healthy lives and promote well-being for all at all ages","3.7","By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes","3.7.2","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","1","SP_DYN_ADKL","Adolescent birth rate (per 1,000 women aged 15-19 years)","2019.Q1.G.01","15-19","15 to 19 years old","FEMALE","Female","G","Global","PER_1000_POP","Per 1,000 population","","","","","","","","","","","","","","","","","","","","C","C","C","C","C","C","C","C","C","C","C","C","C","C","","","","","","Registration National Statistics","Registration National Statistics","Registration National Statistics","Registration National Statistics","Registration National Statistics","Registration National Statistics","Registration National Statistics","Registration National Statistics","Registration National Statistics","Registration National Statistics","Registration National Statistics","Registration National Statistics","Registration National Statistics","Registration National Statistics","","","","","","","","","","","","","","","","","","","","","","","","","17.3","16.3","15","14.5","13.7","13.4","13.7","14","14.3","14.2","13.5","12.6","12","11.1","","","","","",2013.0,"11.1"
"CPV","-23.63544151","15.07791834","132","Cabo Verde","3","Ensure healthy lives and promote well-being for all at all ages","3.7","By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes","3.7.2","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","1","SP_DYN_ADKL","Adolescent birth rate (per 1,000 women aged 15-19 years)","2019.Q1.G.01","15-19","15 to 19 years old","FEMALE","Female","G","Global","PER_1000_POP","Per 1,000 population","","","","","","","","","","","","","","","","","","","","C","","","C","C","","","","","C","C","","","","","","","","","Cape Verde 2000 Census","","","Cape Verde 2005 Demographic and Reproductive Health Survey","Cape Verde 2005 Demographic and Reproductive Health Survey","","","","","Cape Verde 2010 Census","Registration National Statistics","","","","","","","","","","","","","","","","","","","","","","","","","","","","92","","","92","90","","","","","62.4","80","","","","","","","","",2010.0,"80"
