ISO3CD,X,Y,GeoArea_Code,GeoArea_Desc,GoalCode,GoalDesc,TargetCode,TargetDesc,IndicatorCode,IndicatorDesc,IndicatorTier,SeriesCode,SeriesDesc,SeriesRelease,Age_Code,Age_Desc,Bounds_Code,Bounds_Desc,ReportingType_Code,ReportingType_Desc,Units_Code,Units_Desc,Footnotes_2015,Nature_Code_2015,Source_2015,TimeDetail_2015,Value_2015,Latest_Year,Latest_Value
,,,1,World,2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.1,"By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round",2.1.2,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",1,AG_PRD_FIESSI,Prevalence of severe food insecurity in the adult population (%),2019.Q1.G.01,15+,15 years old and over,LB,Lower bound,G,Global,PERCENT,Percentage,"When population distribution of interest is not available, country results by age, gender and/or urban/rural are weighted by total population in the computation of the regional/sub-regional aggregates. The observation value represents the 3-year average of the period 2014-2016.",E,Food and Agriculture Organisation of the United Nations (FAO),,8.8,2015.0,8.8
,,,1,World,2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.1,"By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round",2.1.2,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",1,AG_PRD_FIESSI,Prevalence of severe food insecurity in the adult population (%),2019.Q1.G.01,15+,15 years old and over,MP,Mid-point,G,Global,PERCENT,Percentage,"When population distribution of interest is not available, country results by age, gender and/or urban/rural are weighted by total population in the computation of the regional/sub-regional aggregates. The observation value represents the 3-year average of the period 2014-2016.",E,Food and Agriculture Organisation of the United Nations (FAO),,9.1,2015.0,9.1
,,,1,World,2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.1,"By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round",2.1.2,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",1,AG_PRD_FIESSI,Prevalence of severe food insecurity in the adult population (%),2019.Q1.G.01,15+,15 years old and over,UB,Upper bound,G,Global,PERCENT,Percentage,"When population distribution of interest is not available, country results by age, gender and/or urban/rural are weighted by total population in the computation of the regional/sub-regional aggregates. The observation value represents the 3-year average of the period 2014-2016.",E,Food and Agriculture Organisation of the United Nations (FAO),,9.4,2015.0,9.4
MMR,96.51752295,21.19332882,104,Myanmar,2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.1,"By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round",2.1.2,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",1,AG_PRD_FIESSI,Prevalence of severe food insecurity in the adult population (%),2019.Q1.G.01,15+,15 years old and over,LB,Lower bound,G,Global,PERCENT,Percentage,The observation value represents the 3-year average of the period 2014-2016.,G,Food and Agriculture Organisation of the United Nations (FAO),,1.5,2015.0,1.5
MMR,96.51752295,21.19332882,104,Myanmar,2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.1,"By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round",2.1.2,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",1,AG_PRD_FIESSI,Prevalence of severe food insecurity in the adult population (%),2019.Q1.G.01,15+,15 years old and over,MP,Mid-point,G,Global,PERCENT,Percentage,The observation value represents the 3-year average of the period 2014-2016.,G,Food and Agriculture Organisation of the United Nations (FAO),,2.1,2015.0,2.1
MMR,96.51752295,21.19332882,104,Myanmar,2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.1,"By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round",2.1.2,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",1,AG_PRD_FIESSI,Prevalence of severe food insecurity in the adult population (%),2019.Q1.G.01,15+,15 years old and over,UB,Upper bound,G,Global,PERCENT,Percentage,The observation value represents the 3-year average of the period 2014-2016.,G,Food and Agriculture Organisation of the United Nations (FAO),,2.7,2015.0,2.7
,,,11,Western Africa,2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.1,"By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round",2.1.2,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",1,AG_PRD_FIESSI,Prevalence of severe food insecurity in the adult population (%),2019.Q1.G.01,15+,15 years old and over,LB,Lower bound,G,Global,PERCENT,Percentage,The observation value represents the 3-year average of the period 2014-2016.,E,Food and Agriculture Organisation of the United Nations (FAO),,24.4,2015.0,24.4
,,,11,Western Africa,2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.1,"By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round",2.1.2,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",1,AG_PRD_FIESSI,Prevalence of severe food insecurity in the adult population (%),2019.Q1.G.01,15+,15 years old and over,MP,Mid-point,G,Global,PERCENT,Percentage,The observation value represents the 3-year average of the period 2014-2016.,E,Food and Agriculture Organisation of the United Nations (FAO),,25.8,2015.0,25.8
,,,11,Western Africa,2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.1,"By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round",2.1.2,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",1,AG_PRD_FIESSI,Prevalence of severe food insecurity in the adult population (%),2019.Q1.G.01,15+,15 years old and over,UB,Upper bound,G,Global,PERCENT,Percentage,The observation value represents the 3-year average of the period 2014-2016.,E,Food and Agriculture Organisation of the United Nations (FAO),,27.2,2015.0,27.2
BLR,28.04940161,53.54193075,112,Belarus,2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.1,"By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round",2.1.2,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",1,AG_PRD_FIESSI,Prevalence of severe food insecurity in the adult population (%),2019.Q1.G.01,15+,15 years old and over,LB,Lower bound,G,Global,PERCENT,Percentage,The observation value represents the 3-year average of the period 2014-2016.,G,Food and Agriculture Organisation of the United Nations (FAO),,0.3,2015.0,0.3
