GoalCode,GoalDesc,TargetCode,TargetDesc,IndicatorCode,IndicatorDesc,IndicatorTier,SeriesCode,SeriesDesc,SeriesRelease,Sex_Code,Sex_Desc,TypeOfSkill_Code,TypeOfSkill_Desc,ReportingType_Code,ReportingType_Desc,Nature_Code,Nature_Desc,Units_Code,Units_Desc,GeoArea_Code,GeoArea_Desc,Year,TimeDetail,Value,ValueType,Source,Footnotes,ISO3CD,X,Y
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.4,"By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.1,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)",2019.Q1.G.01,BOTHSEX,Both sexes,PCPR,Writing a computer program using a specialized programming language,G,Global,C,Country data,PERCENT,Percentage,40,Austria,2016.0,,6.1,Float,ITU World Telecommunication/ICT Indicators database.,,AUT,14.14172472,47.58704857
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.4,"By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.1,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)",2019.Q1.G.01,MALE,Male,PCPR,Writing a computer program using a specialized programming language,G,Global,C,Country data,PERCENT,Percentage,40,Austria,2016.0,,9.7,Float,ITU World Telecommunication/ICT Indicators database.,,AUT,14.14172472,47.58704857
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.4,"By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.1,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)",2019.Q1.G.01,FEMALE,Female,CMFL,Copying or moving a file or folder,G,Global,C,Country data,PERCENT,Percentage,40,Austria,2016.0,,60.0,Float,ITU World Telecommunication/ICT Indicators database.,,AUT,14.14172472,47.58704857
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.4,"By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.1,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)",2019.Q1.G.01,MALE,Male,CMFL,Copying or moving a file or folder,G,Global,C,Country data,PERCENT,Percentage,40,Austria,2016.0,,71.4,Float,ITU World Telecommunication/ICT Indicators database.,,AUT,14.14172472,47.58704857
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.4,"By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.1,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)",2019.Q1.G.01,MALE,Male,TRAF,Transferring files between a computer and other devices,G,Global,C,Country data,PERCENT,Percentage,40,Austria,2016.0,,65.8,Float,ITU World Telecommunication/ICT Indicators database.,,AUT,14.14172472,47.58704857
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.4,"By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.1,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)",2019.Q1.G.01,FEMALE,Female,TRAF,Transferring files between a computer and other devices,G,Global,C,Country data,PERCENT,Percentage,40,Austria,2016.0,,53.5,Float,ITU World Telecommunication/ICT Indicators database.,,AUT,14.14172472,47.58704857
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.4,"By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.1,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)",2019.Q1.G.01,BOTHSEX,Both sexes,TRAF,Transferring files between a computer and other devices,G,Global,C,Country data,PERCENT,Percentage,40,Austria,2016.0,,59.6,Float,ITU World Telecommunication/ICT Indicators database.,,AUT,14.14172472,47.58704857
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.4,"By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.1,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)",2019.Q1.G.01,FEMALE,Female,PCPR,Writing a computer program using a specialized programming language,G,Global,C,Country data,PERCENT,Percentage,40,Austria,2016.0,,2.5,Float,ITU World Telecommunication/ICT Indicators database.,,AUT,14.14172472,47.58704857
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.4,"By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.1,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)",2019.Q1.G.01,FEMALE,Female,EPRS,Creating electronic presentations with presentation software,G,Global,C,Country data,PERCENT,Percentage,40,Austria,2016.0,,40.2,Float,ITU World Telecommunication/ICT Indicators database.,,AUT,14.14172472,47.58704857
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.4,"By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.1,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)",2019.Q1.G.01,MALE,Male,EPRS,Creating electronic presentations with presentation software,G,Global,C,Country data,PERCENT,Percentage,40,Austria,2016.0,,48.1,Float,ITU World Telecommunication/ICT Indicators database.,,AUT,14.14172472,47.58704857
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.4,"By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.1,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)",2019.Q1.G.01,BOTHSEX,Both sexes,EPRS,Creating electronic presentations with presentation software,G,Global,C,Country data,PERCENT,Percentage,40,Austria,2016.0,,44.1,Float,ITU World Telecommunication/ICT Indicators database.,,AUT,14.14172472,47.58704857
