series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Sex	Units	Age description	Sex description	Units description	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	SH_DYN_IMRT	Infant mortality rate (deaths per 1,000 live births)	4	66.02688198	33.83160199	AFG	Afghanistan	1	<1Y	BOTHSEX	PER_1000_LIVE_BIRTHS	under 1 year old	Both	Per 1,000 live births	90.8	88.4	86.1	83.6	81.1	78.5	76	73.4	70.8	68.2	65.7	63.3	61	58.8	56.8	54.9	53.2	56.94	2016	53.2	Source: United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2017. 	
2018.Q2.G.01	SH_DYN_IMRT	Infant mortality rate (deaths per 1,000 live births)	8	20.06660928	41.13897007	ALB	Albania	1	<1Y	BOTHSEX	PER_1000_LIVE_BIRTHS	under 1 year old	Both	Per 1,000 live births	23.1	22	20.9	20	19	18.2	17.4	16.7	16	15.4	14.8	14.3	13.8	13.3	12.9	12.5	12	12.9	2016	12	Source: United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2017. 	
2018.Q2.G.01	SH_DYN_IMRT	Infant mortality rate (deaths per 1,000 live births)	10	21.47585697	-80.40897662	ATA	Antarctica	1	<1Y	BOTHSEX	PER_1000_LIVE_BIRTHS	under 1 year old	Both	Per 1,000 live births																						
2018.Q2.G.01	SH_DYN_IMRT	Infant mortality rate (deaths per 1,000 live births)	12	2.678164227	28.15940032	DZA	Algeria	1	<1Y	BOTHSEX	PER_1000_LIVE_BIRTHS	under 1 year old	Both	Per 1,000 live births	33.9	33.3	32.4	31.3	30.1	28.8	27.6	26.4	25.3	24.3	23.5	22.9	22.4	22.2	22	21.9	21.6	22.02	2016	21.6	Source: United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2017. 	
2018.Q2.G.01	SH_DYN_IMRT	Infant mortality rate (deaths per 1,000 live births)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	<1Y	BOTHSEX	PER_1000_LIVE_BIRTHS	under 1 year old	Both	Per 1,000 live births																						
2018.Q2.G.01	SH_DYN_IMRT	Infant mortality rate (deaths per 1,000 live births)	20	1.576257417	42.54548611	AND	Andorra	1	<1Y	BOTHSEX	PER_1000_LIVE_BIRTHS	under 1 year old	Both	Per 1,000 live births	4	3.8	3.7	3.6	3.5	3.3	3.3	3.2	3.1	3	2.9	2.9	2.8	2.7	2.6	2.5	2.4	2.6	2016	2.4	Source: United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2017. 	
2018.Q2.G.01	SH_DYN_IMRT	Infant mortality rate (deaths per 1,000 live births)	24	17.57817062	-12.33724746	AGO	Angola	1	<1Y	BOTHSEX	PER_1000_LIVE_BIRTHS	under 1 year old	Both	Per 1,000 live births	122.9	119.6	115.8	111.3	106.6	101.5	96.3	90.9	85.6	80.3	75.4	70.7	66.5	62.7	59.5	56.9	54.6	60.04	2016	54.6	Source: United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2017. 	
2018.Q2.G.01	SH_DYN_IMRT	Infant mortality rate (deaths per 1,000 live births)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	<1Y	BOTHSEX	PER_1000_LIVE_BIRTHS	under 1 year old	Both	Per 1,000 live births	13.1	12.3	11.7	11.1	10.5	9.9	9.4	8.9	8.4	7.9	7.4	6.9	6.5	6.1	5.7	5.3	5.1	5.74	2016	5.1	Source: United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2017. 	
2018.Q2.G.01	SH_DYN_IMRT	Infant mortality rate (deaths per 1,000 live births)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	<1Y	BOTHSEX	PER_1000_LIVE_BIRTHS	under 1 year old	Both	Per 1,000 live births	60.8	57	53.3	49.9	46.9	44.1	41.7	39.5	37.5	35.7	34.1	32.6	31.4	30.2	29.1	28.2	27.2	29.22	2016	27.2	Source: United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2017. 	
2018.Q2.G.01	SH_DYN_IMRT	Infant mortality rate (deaths per 1,000 live births)	32	-65.14563274	-35.19446255	ARG	Argentina	1	<1Y	BOTHSEX	PER_1000_LIVE_BIRTHS	under 1 year old	Both	Per 1,000 live births	17.3	16.7	16.2	15.7	15.2	14.8	14.4	14.1	13.7	13.4	12.9	12.4	11.9	11.3	10.8	10.3	9.9	10.84	2016	9.9	Source: United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2017. 	
2018.Q2.G.01	SH_DYN_IMRT	Infant mortality rate (deaths per 1,000 live births)	36	134.3499412	-25.57717202	AUS	Australia	1	<1Y	BOTHSEX	PER_1000_LIVE_BIRTHS	under 1 year old	Both	Per 1,000 live births	5.1	5	5	4.9	4.8	4.7	4.7	4.5	4.3	4.2	4	3.9	3.6	3.5	3.4	3.2	3.1	3.36	2016	3.1	Source: United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2017. 	
2018.Q2.G.01	SH_DYN_IMRT	Infant mortality rate (deaths per 1,000 live births)	40	14.14172472	47.58704857	AUT	Austria	1	<1Y	BOTHSEX	PER_1000_LIVE_BIRTHS	under 1 year old	Both	Per 1,000 live births	4.6	4.5	4.4	4.3	4.2	4.1	4	3.8	3.8	3.7	3.5	3.5	3.4	3.2	3	3	2.9	3.1	2016	2.9	Source: United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2017. 	
2018.Q2.G.01	SH_DYN_IMRT	Infant mortality rate (deaths per 1,000 live births)	44	-78.05111663	24.69546597	BHS	Bahamas	1	<1Y	BOTHSEX	PER_1000_LIVE_BIRTHS	under 1 year old	Both	Per 1,000 live births	13.3	13.3	13.4	13.4	13.4	13.3	13.2	12.8	12.4	11.9	11.3	10.8	10.3	9.8	9.4	9	8.6	9.42	2016	8.6	Source: United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2017. 	
2018.Q2.G.01	SH_DYN_IMRT	Infant mortality rate (deaths per 1,000 live births)	48	50.5490754	26.04407747	BHR	Bahrain	1	<1Y	BOTHSEX	PER_1000_LIVE_BIRTHS	under 1 year old	Both	Per 1,000 live births	10.8	10.3	10	9.7	9.4	9.1	8.8	8.4	8	7.7	7.3	7.1	6.9	6.8	6.7	6.6	6.5	6.7	2016	6.5	Source: United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2017. 	
2018.Q2.G.01	SH_DYN_IMRT	Infant mortality rate (deaths per 1,000 live births)	50	89.17660788	22.86961622	BGD	Bangladesh	1	<1Y	BOTHSEX	PER_1000_LIVE_BIRTHS	under 1 year old	Both	Per 1,000 live births	64	61	58.2	55.6	53.1	50.6	48.2	45.8	43.5	41.3	39.1	37	35	33.2	31.4	29.7	28.2	31.5	2016	28.2	Source: United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2017. 	
2018.Q2.G.01	SH_DYN_IMRT	Infant mortality rate (deaths per 1,000 live births)	51	44.93839317	40.29499741	ARM	Armenia	1	<1Y	BOTHSEX	PER_1000_LIVE_BIRTHS	under 1 year old	Both	Per 1,000 live births	26.6	25.3	24.1	23	21.9	20.8	19.8	18.8	17.9	17	16.2	15.3	14.6	13.8	13.2	12.5	11.9	13.2	2016	11.9	Source: United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2017. 	
2018.Q2.G.01	SH_DYN_IMRT	Infant mortality rate (deaths per 1,000 live births)	52	-59.5346489	13.13648273	BRB	Barbados	1	<1Y	BOTHSEX	PER_1000_LIVE_BIRTHS	under 1 year old	Both	Per 1,000 live births	13.4	13.6	13.8	14	14.1	14.1	13.9	13.8	13.5	13.3	13.1	12.8	12.6	12.3	12	11.7	11.4	12	2016	11.4	Source: United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2017. 	
2018.Q2.G.01	SH_DYN_IMRT	Infant mortality rate (deaths per 1,000 live births)	56	4.660976456	50.64104975	BEL	Belgium	1	<1Y	BOTHSEX	PER_1000_LIVE_BIRTHS	under 1 year old	Both	Per 1,000 live births	4.9	4.7	4.5	4.3	4.3	4.1	4	3.9	3.8	3.7	3.7	3.6	3.5	3.4	3.3	3.2	3.1	3.3	2016	3.1	Source: United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2017. 	
2018.Q2.G.01	SH_DYN_IMRT	Infant mortality rate (deaths per 1,000 live births)	60	-64.78155012	32.27881922	BMU	Bermuda	1	<1Y	BOTHSEX	PER_1000_LIVE_BIRTHS	under 1 year old	Both	Per 1,000 live births																						
2018.Q2.G.01	SH_DYN_IMRT	Infant mortality rate (deaths per 1,000 live births)	64	90.45098484	27.39598568	BTN	Bhutan	1	<1Y	BOTHSEX	PER_1000_LIVE_BIRTHS	under 1 year old	Both	Per 1,000 live births	57.6	54.9	52.4	49.8	47.4	44.9	42.6	40.4	38.3	36.2	34.4	32.7	31.3	30	28.8	27.8	26.8	28.94	2016	26.8	Source: United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2017. 	
2018.Q2.G.01	SH_DYN_IMRT	Infant mortality rate (deaths per 1,000 live births)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	<1Y	BOTHSEX	PER_1000_LIVE_BIRTHS	under 1 year old	Both	Per 1,000 live births	58.5	55.9	53.4	51	48.6	46.4	44.1	42	40	38.1	36.5	35.1	33.8	32.6	31.5	30.5	29.5	31.58	2016	29.5	Source: United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2017. 	
