series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	SH_ACS_DTP3	Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) (%)	4	66.02688198	33.83160199	AFG	Afghanistan	1	PERCENT	Percentage	24	33	36	41	50	58	58	63	64	63	66	68	67	64	62	65	65	64.6	2016	65	WHO/UNICEF coverage estimates 2016 revision, July 2017	E
2018.Q2.G.01	SH_ACS_DTP3	Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) (%)	8	20.06660928	41.13897007	ALB	Albania	1	PERCENT	Percentage	97	97	98	97	97	98	97	98	99	98	99	99	99	99	98	99	98	98.6	2016	98	WHO/UNICEF coverage estimates 2016 revision, July 2017	E
2018.Q2.G.01	SH_ACS_DTP3	Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) (%)	10	21.47585697	-80.40897662	ATA	Antarctica	1	PERCENT	Percentage																						
2018.Q2.G.01	SH_ACS_DTP3	Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) (%)	12	2.678164227	28.15940032	DZA	Algeria	1	PERCENT	Percentage	86	89	86	87	86	88	95	95	93	95	95	95	95	95	95	95	91	94.2	2016	91	WHO/UNICEF coverage estimates 2016 revision, July 2017	E
2018.Q2.G.01	SH_ACS_DTP3	Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	PERCENT	Percentage																						
2018.Q2.G.01	SH_ACS_DTP3	Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) (%)	20	1.576257417	42.54548611	AND	Andorra	1	PERCENT	Percentage	98	96	97	99	99	98	93	96	99	99	99	99	99	96	97	97	98	97.4	2016	98	WHO/UNICEF coverage estimates 2016 revision, July 2017	E
2018.Q2.G.01	SH_ACS_DTP3	Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) (%)	24	17.57817062	-12.33724746	AGO	Angola	1	PERCENT	Percentage	28	38	41	40	40	38	34	73	69	60	77	71	75	77	64	64	64	68.8	2016	64	WHO/UNICEF coverage estimates 2016 revision, July 2017	E
2018.Q2.G.01	SH_ACS_DTP3	Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) (%)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	PERCENT	Percentage	95	97	98	99	97	99	99	99	99	99	98	99	98	99	99	99	99	98.8	2016	99	WHO/UNICEF coverage estimates 2016 revision, July 2017	E
2018.Q2.G.01	SH_ACS_DTP3	Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) (%)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	PERCENT	Percentage	76	77	76	77	77	75	78	79	81	81	81	87	89	93	94	96	97	93.8	2016	97	WHO/UNICEF coverage estimates 2016 revision, July 2017	E
2018.Q2.G.01	SH_ACS_DTP3	Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) (%)	32	-65.14563274	-35.19446255	ARG	Argentina	1	PERCENT	Percentage	83	83	93	96	98	98	91	91	93	94	94	91	91	94	94	94	92	93	2016	92	WHO/UNICEF coverage estimates 2016 revision, July 2017	E
2018.Q2.G.01	SH_ACS_DTP3	Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) (%)	36	134.3499412	-25.57717202	AUS	Australia	1	PERCENT	Percentage	90	92	92	93	92	92	92	92	92	92	92	92	92	91	92	93	94	92.4	2016	94	WHO/UNICEF coverage estimates 2016 revision, July 2017	E
2018.Q2.G.01	SH_ACS_DTP3	Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) (%)	40	14.14172472	47.58704857	AUT	Austria	1	PERCENT	Percentage	81	84	83	84	83	86	83	85	83	83	86	89	92	95	98	93	87	93	2016	87	WHO/UNICEF coverage estimates 2016 revision, July 2017	E
2018.Q2.G.01	SH_ACS_DTP3	Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) (%)	44	-78.05111663	24.69546597	BHS	Bahamas	1	PERCENT	Percentage	99	99	94	92	93	93	95	95	93	96	99	98	98	97	96	95	94	96	2016	94	WHO/UNICEF coverage estimates 2016 revision, July 2017	E
2018.Q2.G.01	SH_ACS_DTP3	Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) (%)	48	50.5490754	26.04407747	BHR	Bahrain	1	PERCENT	Percentage	97	99	98	97	98	98	98	97	97	98	99	99	99	99	98	98	99	98.6	2016	99	WHO/UNICEF coverage estimates 2016 revision, July 2017	E
2018.Q2.G.01	SH_ACS_DTP3	Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) (%)	50	89.17660788	22.86961622	BGD	Bangladesh	1	PERCENT	Percentage	82	85	83	87	99	93	94	94	96	97	94	96	94	96	97	97	97	96.2	2016	97	WHO/UNICEF coverage estimates 2016 revision, July 2017	E
2018.Q2.G.01	SH_ACS_DTP3	Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) (%)	51	44.93839317	40.29499741	ARM	Armenia	1	PERCENT	Percentage	93	94	94	94	91	90	87	88	89	93	94	95	95	95	93	94	94	94.2	2016	94	WHO/UNICEF coverage estimates 2016 revision, July 2017	E
2018.Q2.G.01	SH_ACS_DTP3	Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) (%)	52	-59.5346489	13.13648273	BRB	Barbados	1	PERCENT	Percentage	93	84	87	89	93	92	84	93	85	93	86	91	87	91	94	97	97	93.2	2016	97	WHO/UNICEF coverage estimates 2016 revision, July 2017	E
2018.Q2.G.01	SH_ACS_DTP3	Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) (%)	56	4.660976456	50.64104975	BEL	Belgium	1	PERCENT	Percentage	95	95	95	95	95	97	98	98	99	98	98	98	99	99	99	99	98	98.8	2016	98	WHO/UNICEF coverage estimates 2016 revision, July 2017	E
2018.Q2.G.01	SH_ACS_DTP3	Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) (%)	60	-64.78155012	32.27881922	BMU	Bermuda	1	PERCENT	Percentage																						
2018.Q2.G.01	SH_ACS_DTP3	Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) (%)	64	90.45098484	27.39598568	BTN	Bhutan	1	PERCENT	Percentage	92	88	86	95	89	95	95	95	96	93	91	95	97	97	99	99	98	98	2016	98	WHO/UNICEF coverage estimates 2016 revision, July 2017	E
2018.Q2.G.01	SH_ACS_DTP3	Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) (%)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	PERCENT	Percentage	75	71	77	88	84	85	83	84	88	93	91	95	93	94	98	99	99	96.6	2016	99	WHO/UNICEF coverage estimates 2016 revision, July 2017	E
2018.Q2.G.01	SH_ACS_DTP3	Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) (%)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	PERCENT	Percentage	85	91	80	87	84	93	87	95	91	90	89	88	92	89	86	82	78	85.4	2016	78	WHO/UNICEF coverage estimates 2016 revision, July 2017	E
2018.Q2.G.01	SH_ACS_DTP3	Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) (%)	72	23.81380223	-22.18810073	BWA	Botswana	1	PERCENT	Percentage	97	97	97	96	96	96	96	96	96	96	95	95	95	95	95	95	95	95	2016	95	WHO/UNICEF coverage estimates 2016 revision, July 2017	E
2018.Q2.G.01	SH_ACS_DTP3	Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) (%)	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	PERCENT	Percentage																						
2018.Q2.G.01	SH_ACS_DTP3	Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) (%)	76	-53.08432878	-10.77668561	BRA	Brazil	1	PERCENT	Percentage	98	98	99	99	99	99	99	99	99	99	99	99	95	97	93	96	86	93.4	2016	86	WHO/UNICEF coverage estimates 2016 revision, July 2017	E
2018.Q2.G.01	SH_ACS_DTP3	Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) (%)	84	-88.70199554	17.19965901	BLZ	Belize	1	PERCENT	Percentage	91	96	89	96	97	96	98	96	94	97	96	95	98	95	95	94	95	95.4	2016	95	WHO/UNICEF coverage estimates 2016 revision, July 2017	E
2018.Q2.G.01	SH_ACS_DTP3	Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) (%)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	PERCENT	Percentage																						
2018.Q2.G.01	SH_ACS_DTP3	Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) (%)	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	PERCENT	Percentage	86	84	78	84	90	89	99	90	89	92	90	99	99	94	88	98	99	95.6	2016	99	WHO/UNICEF coverage estimates 2016 revision, July 2017	E
2018.Q2.G.01	SH_ACS_DTP3	Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) (%)	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	PERCENT	Percentage																						
