"GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","ReportingType_Code","ReportingType_Desc","Nature_Code","Nature_Desc","Units_Code","Units_Desc","GeoArea_Code","GeoArea_Desc","Year","TimeDetail","Value","ValueType","Source","Footnotes"
"6","Ensure availability and sustainable management of water and sanitation for all","6.b","Support and strengthen the participation of local communities in improving water and sanitation management","6.b.1","Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management","1","ER_WAT_PARTIC","Proportion of countries with high level of users/communities participating in planning programs in water resources planning and management (%)","2019.Q1.G.01","G","Global","E","Estimated data","PERCENT","Percentage","62","Central and Southern Asia",2017.0,"","10","Float","Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.",""
"6","Ensure availability and sustainable management of water and sanitation for all","6.b","Support and strengthen the participation of local communities in improving water and sanitation management","6.b.1","Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management","1","ER_WAT_PARTIC","Proportion of countries with high level of users/communities participating in planning programs in water resources planning and management (%)","2019.Q1.G.01","G","Global","E","Estimated data","PERCENT","Percentage","143","Central Asia",2017.0,"","0","Float","Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.",""
"6","Ensure availability and sustainable management of water and sanitation for all","6.b","Support and strengthen the participation of local communities in improving water and sanitation management","6.b.1","Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management","1","ER_WAT_PARTIC","Proportion of countries with high level of users/communities participating in planning programs in water resources planning and management (%)","2019.Q1.G.01","G","Global","E","Estimated data","PERCENT","Percentage","753","Eastern and South-Eastern Asia",2017.0,"","0","Float","Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.",""
"6","Ensure availability and sustainable management of water and sanitation for all","6.b","Support and strengthen the participation of local communities in improving water and sanitation management","6.b.1","Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management","1","ER_WAT_PARTIC","Proportion of countries with high level of users/communities participating in planning programs in water resources planning and management (%)","2019.Q1.G.01","G","Global","E","Estimated data","PERCENT","Percentage","30","Eastern Asia",2017.0,"","0","Float","Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.",""
"6","Ensure availability and sustainable management of water and sanitation for all","6.b","Support and strengthen the participation of local communities in improving water and sanitation management","6.b.1","Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management","1","ER_WAT_PARTIC","Proportion of countries with high level of users/communities participating in planning programs in water resources planning and management (%)","2019.Q1.G.01","G","Global","E","Estimated data","PERCENT","Percentage","150","Europe",2017.0,"","16.66667","Float","Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.",""
"6","Ensure availability and sustainable management of water and sanitation for all","6.b","Support and strengthen the participation of local communities in improving water and sanitation management","6.b.1","Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management","1","ER_WAT_PARTIC","Proportion of countries with high level of users/communities participating in planning programs in water resources planning and management (%)","2019.Q1.G.01","G","Global","E","Estimated data","PERCENT","Percentage","513","Europe and Northern America",2017.0,"","16.66667","Float","Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.",""
"6","Ensure availability and sustainable management of water and sanitation for all","6.b","Support and strengthen the participation of local communities in improving water and sanitation management","6.b.1","Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management","1","ER_WAT_PARTIC","Proportion of countries with high level of users/communities participating in planning programs in water resources planning and management (%)","2019.Q1.G.01","G","Global","E","Estimated data","PERCENT","Percentage","432","Landlocked developing countries (LLDCs)",2017.0,"","13.63636","Float","Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.",""
"6","Ensure availability and sustainable management of water and sanitation for all","6.b","Support and strengthen the participation of local communities in improving water and sanitation management","6.b.1","Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management","1","ER_WAT_PARTIC","Proportion of countries with high level of users/communities participating in planning programs in water resources planning and management (%)","2019.Q1.G.01","G","Global","E","Estimated data","PERCENT","Percentage","419","Latin America and the Caribbean",2017.0,"","9.09091","Float","Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.",""
"6","Ensure availability and sustainable management of water and sanitation for all","6.b","Support and strengthen the participation of local communities in improving water and sanitation management","6.b.1","Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management","1","ER_WAT_PARTIC","Proportion of countries with high level of users/communities participating in planning programs in water resources planning and management (%)","2019.Q1.G.01","G","Global","E","Estimated data","PERCENT","Percentage","199","Least Developed Countries (LDCs)",2017.0,"","7.14286","Float","Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.",""
"6","Ensure availability and sustainable management of water and sanitation for all","6.b","Support and strengthen the participation of local communities in improving water and sanitation management","6.b.1","Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management","1","ER_WAT_PARTIC","Proportion of countries with high level of users/communities participating in planning programs in water resources planning and management (%)","2019.Q1.G.01","G","Global","E","Estimated data","PERCENT","Percentage","747","Northern Africa and Western Asia",2017.0,"","0","Float","Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.",""
"6","Ensure availability and sustainable management of water and sanitation for all","6.b","Support and strengthen the participation of local communities in improving water and sanitation management","6.b.1","Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management","1","ER_WAT_PARTIC","Proportion of countries with high level of users/communities participating in planning programs in water resources planning and management (%)","2019.Q1.G.01","G","Global","E","Estimated data","PERCENT","Percentage","9","Oceania",2017.0,"","16.66667","Float","Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.",""
"6","Ensure availability and sustainable management of water and sanitation for all","6.b","Support and strengthen the participation of local communities in improving water and sanitation management","6.b.1","Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management","1","ER_WAT_PARTIC","Proportion of countries with high level of users/communities participating in planning programs in water resources planning and management (%)","2019.Q1.G.01","G","Global","E","Estimated data","PERCENT","Percentage","543","Oceania (exc. Australia and New Zealand)",2017.0,"","16.66667","Float","Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.",""
"6","Ensure availability and sustainable management of water and sanitation for all","6.b","Support and strengthen the participation of local communities in improving water and sanitation management","6.b.1","Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management","1","ER_WAT_PARTIC","Proportion of countries with high level of users/communities participating in planning programs in water resources planning and management (%)","2019.Q1.G.01","G","Global","E","Estimated data","PERCENT","Percentage","722","Small island developing States (SIDS)",2017.0,"","7.14286","Float","Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.",""
"6","Ensure availability and sustainable management of water and sanitation for all","6.b","Support and strengthen the participation of local communities in improving water and sanitation management","6.b.1","Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management","1","ER_WAT_PARTIC","Proportion of countries with high level of users/communities participating in planning programs in water resources planning and management (%)","2019.Q1.G.01","G","Global","E","Estimated data","PERCENT","Percentage","35","South-Eastern Asia",2017.0,"","0","Float","Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.",""
"6","Ensure availability and sustainable management of water and sanitation for all","6.b","Support and strengthen the participation of local communities in improving water and sanitation management","6.b.1","Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management","1","ER_WAT_PARTIC","Proportion of countries with high level of users/communities participating in planning programs in water resources planning and management (%)","2019.Q1.G.01","G","Global","E","Estimated data","PERCENT","Percentage","34","Southern Asia",2017.0,"","14.28571","Float","Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.",""
"6","Ensure availability and sustainable management of water and sanitation for all","6.b","Support and strengthen the participation of local communities in improving water and sanitation management","6.b.1","Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management","1","ER_WAT_PARTIC","Proportion of countries with high level of users/communities participating in planning programs in water resources planning and management (%)","2019.Q1.G.01","G","Global","E","Estimated data","PERCENT","Percentage","202","Sub-Saharan Africa",2017.0,"","8","Float","Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.",""
"6","Ensure availability and sustainable management of water and sanitation for all","6.b","Support and strengthen the participation of local communities in improving water and sanitation management","6.b.1","Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management","1","ER_WAT_PARTIC","Proportion of countries with high level of users/communities participating in planning programs in water resources planning and management (%)","2019.Q1.G.01","G","Global","E","Estimated data","PERCENT","Percentage","145","Western Asia",2017.0,"","0","Float","Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.",""
"6","Ensure availability and sustainable management of water and sanitation for all","6.b","Support and strengthen the participation of local communities in improving water and sanitation management","6.b.1","Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management","1","ER_WAT_PARTIC","Proportion of countries with high level of users/communities participating in planning programs in water resources planning and management (%)","2019.Q1.G.01","G","Global","E","Estimated data","PERCENT","Percentage","1","World",2017.0,"","8.53659","Float","Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.",""
