series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Sex	Units	Age description	Sex description	Units description	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	SH_DYN_MORTN	Under-five deaths (number)	4	66.02688198	33.83160199	AFG	Afghanistan	1	<5Y	BOTHSEX	NUMBER	under 5 years old	Both	Number	121929	122472	122365	121625	120397	118457	116101	113091	109682	105715	101626	97426	93356	89403	85863	82759	79856	86247.4	2016	79856	Source: United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2017. 	
2018.Q2.G.01	SH_DYN_MORTN	Under-five deaths (number)	8	20.06660928	41.13897007	ALB	Albania	1	<5Y	BOTHSEX	NUMBER	under 5 years old	Both	Number	1379	1247	1120	1012	919	833	757	699	653	614	585	560	537	519	502	486	467	502.2	2016	467	Source: United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2017. 	
2018.Q2.G.01	SH_DYN_MORTN	Under-five deaths (number)	10	21.47585697	-80.40897662	ATA	Antarctica	1	<5Y	BOTHSEX	NUMBER	under 5 years old	Both	Number																						
2018.Q2.G.01	SH_DYN_MORTN	Under-five deaths (number)	12	2.678164227	28.15940032	DZA	Algeria	1	<5Y	BOTHSEX	NUMBER	under 5 years old	Both	Number	24571	23778	23159	22745	22540	22418	22570	22786	23050	23362	23603	23877	24086	24252	24274	24172	23692	24095.2	2016	23692	Source: United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2017. 	
2018.Q2.G.01	SH_DYN_MORTN	Under-five deaths (number)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	<5Y	BOTHSEX	NUMBER	under 5 years old	Both	Number																						
2018.Q2.G.01	SH_DYN_MORTN	Under-five deaths (number)	20	1.576257417	42.54548611	AND	Andorra	1	<5Y	BOTHSEX	NUMBER	under 5 years old	Both	Number	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2016	2	Source: United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2017. 	
2018.Q2.G.01	SH_DYN_MORTN	Under-five deaths (number)	24	17.57817062	-12.33724746	AGO	Angola	1	<5Y	BOTHSEX	NUMBER	under 5 years old	Both	Number	159712	158944	157497	155006	151982	147753	143254	138102	132623	126683	120914	115151	109906	105160	101340	98314	95905	102125	2016	95905	Source: United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2017. 	
2018.Q2.G.01	SH_DYN_MORTN	Under-five deaths (number)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	<5Y	BOTHSEX	NUMBER	under 5 years old	Both	Number	25	24	23	22	22	21	20	19	18	18	17	16	16	15	15	14	14	14.8	2016	14	Source: United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2017. 	
2018.Q2.G.01	SH_DYN_MORTN	Under-five deaths (number)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	<5Y	BOTHSEX	NUMBER	under 5 years old	Both	Number	10723	9680	8783	8071	7505	7058	6741	6519	6377	6281	6223	6163	6100	5989	5827	5618	5369	5780.6	2016	5369	Source: United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2017. 	
2018.Q2.G.01	SH_DYN_MORTN	Under-five deaths (number)	32	-65.14563274	-35.19446255	ARG	Argentina	1	<5Y	BOTHSEX	NUMBER	under 5 years old	Both	Number	13892	13452	13089	12794	12489	12174	11849	11666	11407	11148	10811	10397	9974	9542	9102	8727	8346	9138.2	2016	8346	Source: United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2017. 	
