"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","Age_Code","Age_Desc","ReportingType_Code","ReportingType_Desc","Sex_Code","Sex_Desc","Value_2014","Value_2015","Value_2016","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"4","Afghanistan","AFG","66.02688198","33.83160199","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","1","VC_VAW_DIST","Age and sex distribution of detected victims of trafficking in persons (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","FEMALE","Female","","","","","","","",""
"4","Afghanistan","AFG","66.02688198","33.83160199","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","1","VC_VAW_DIST","Age and sex distribution of detected victims of trafficking in persons (%)","2019.Q1.G.01","PERCENT","Percentage","<15Y","under 15 years old","G","Global","FEMALE","Female","","","","","","","",""
"4","Afghanistan","AFG","66.02688198","33.83160199","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","1","VC_VAW_DIST","Age and sex distribution of detected victims of trafficking in persons (%)","2019.Q1.G.01","PERCENT","Percentage","<15Y","under 15 years old","G","Global","MALE","Male","","","","","","","",""
"4","Afghanistan","AFG","66.02688198","33.83160199","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","1","VC_VAW_DIST","Age and sex distribution of detected victims of trafficking in persons (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","MALE","Male","","","","","","","",""
"8","Albania","ALB","20.06660928","41.13897007","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","1","VC_VAW_DIST","Age and sex distribution of detected victims of trafficking in persons (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","FEMALE","Female","","","","","","","",""
"8","Albania","ALB","20.06660928","41.13897007","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","1","VC_VAW_DIST","Age and sex distribution of detected victims of trafficking in persons (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","MALE","Male","","","","","","","",""
"8","Albania","ALB","20.06660928","41.13897007","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","1","VC_VAW_DIST","Age and sex distribution of detected victims of trafficking in persons (%)","2019.Q1.G.01","PERCENT","Percentage","<15Y","under 15 years old","G","Global","FEMALE","Female","","","","","","","",""
"8","Albania","ALB","20.06660928","41.13897007","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","1","VC_VAW_DIST","Age and sex distribution of detected victims of trafficking in persons (%)","2019.Q1.G.01","PERCENT","Percentage","<15Y","under 15 years old","G","Global","MALE","Male","","","","","","","",""
"10","Antarctica","ATA","21.47585697","-80.40897662","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","1","VC_VAW_DIST","Age and sex distribution of detected victims of trafficking in persons (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","FEMALE","Female","","","","","","","",""
"10","Antarctica","ATA","21.47585697","-80.40897662","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","1","VC_VAW_DIST","Age and sex distribution of detected victims of trafficking in persons (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","MALE","Male","","","","","","","",""
