"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_1990.0","Value_1991.0","Value_1992.0","Value_1993.0","Value_1994.0","Value_1995.0","Value_1996.0","Value_1997.0","Value_1998.0","Value_1999.0","Value_2000.0","Value_2001.0","Value_2002.0","Value_2003.0","Value_2004.0","Value_2005.0","Value_2006.0","Value_2007.0","Value_2008.0","Value_2009.0","Value_2010.0","Value_2011.0","Value_2012.0","Value_2013.0","Value_2014.0","Value_2015.0","Value_2016.0","Latest_Year","Latest_Value","Nature_Desc","Source"
"1","World","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","Africa","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","27.77","","","14.16","13.59","13.51","12.31","13.69","10.90","10.94","11.60","9.89","9.39","7.14","9.16","9.67","4.19","3.35","4.20","3.09","3.02","3.48","4.29","4.52","5.16","7.67",2016.0,"7.67","Data nature not available","World Development Indicators, World Bank"
"5","South America","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","22.99","20.99","19.18","19.47","17.64","21.31","21.11","21.65","25.47","33.72","29.09","24.42","28.52","33.16","19.16","20.98","15.99","10.04","7.93","9.10","7.14","6.34","4.82","6.83","6.67","11.65","12.82",2016.0,"12.82","Data nature not available","World Development Indicators, World Bank"
"9","Oceania","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11","Western Africa","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","21.32","19.63","16.73","13.35","18.53","16.63","15.76","14.42","15.98","9.78","9.89","12.24","8.11","6.49","5.55","12.56","9.08","2.63","2.55","2.38","1.39","1.23","1.26","1.80","1.92","2.60","4.06",2016.0,"4.06","Data nature not available","World Development Indicators, World Bank"
"13","Central America","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","17.09","18.77","25.91","16.99","16.03","22.37","32.28","31.81","13.52","13.34","15.42","13.31","11.11","11.98","11.88","9.88","13.56","7.17","6.96","7.01","5.95","5.32","8.63","5.60","4.54","6.28","9.26",2016.0,"9.26","Data nature not available","World Development Indicators, World Bank"
"14","Eastern Africa","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","22.90","24.66","20.99","15.85","15.09","15.00","15.44","12.86","12.85","12.71","14.35","9.56","9.38","11.06","8.21","6.69","4.76","3.05","2.55","2.62","2.08","2.18","2.58","3.16","4.42","5.20","6.79",2016.0,"6.79","Data nature not available","World Development Indicators, World Bank"
"15","Northern Africa","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","39.33","40.24","27.35","23.91","22.92","23.34","20.27","17.95","17.78","17.28","15.91","14.63","16.14","16.67","11.38","10.37","14.20","4.93","4.06","4.85","4.41","4.63","4.44","4.73","5.98","6.26","8.72",2016.0,"8.72","Data nature not available","World Development Indicators, World Bank"
"17","Middle Africa","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","11.11","11.67","9.49","7.67","14.52","13.23","16.03","15.07","22.80","18.84","14.17","20.15","12.72","11.66","11.04","8.81","10.42","8.14","2.96","8.24","4.10","3.82","5.19","5.96","8.70","11.73","20.59",2016.0,"20.59","Data nature not available","World Development Indicators, World Bank"
"18","Southern Africa","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","4.78","4.88","6.04","6.37","7.94","3.00","5.25","6.22","4.44","4.10","2.93","5.01","4.59","2.52","3.46","3.39","2.79","2.59","4.01","6.11","2.75","2.94","4.33",2016.0,"4.33","Data nature not available","World Development Indicators, World Bank"
